,2021-12-31,2021年A股年终盘点：十大“水逆”板块在哪里？,Wind
0,2021-12-27,环旭电子(601231.SH)资深副总经理刘鸿祺等三人退休,智通财经
1,2021-12-27,环旭电子：高级管理人员退休,Wind
2,2021-12-27,环旭电子：关注SiP模组在AR/VR/MR硬件产品方面的应用机会，已有实施中的研发项目,每日经济新闻
3,2021-12-27,环旭电子：已获得欧美日等客户的订单,每日经济新闻
4,2021-12-27,环旭电子：公司已量产WiFi 6、WiFi 6E等SiP模组产品,财联社
5,2021-12-27,环旭电子：公司的SiP模组是一种异构集成术,每日经济新闻
6,2021-12-27,环旭电子：公司提供电子产品制造服务，需要向全球知名芯片厂商大量采购芯片,每日经济新闻
7,2021-12-27,环旭电子：产业链上下游的公司在产品、业务模式、客户结构、经营策略方面都有差异,每日经济新闻
8,2021-12-24,携手私募基金+操盘CVC，上市公司谋求新增长点,Wind
9,2021-12-23,环旭电子与Symlink为自助型无接触购物开发一体式智慧POS机eOrder,美通社
10,2021-12-22,环旭电子(601231.SH)第二期核心员工持股计划完成股票非交易过户,智通财经
11,2021-12-22,环旭电子(601231.SH)：回购账户中的178.005万股已过户至第二期核心员工持股计划证券账户,格隆汇
12,2021-12-20,环旭电子(601231.SH)拟认购基金份额布局物联网与人工智能行业的芯片等领域,智通财经
13,2021-12-16,环旭电子(601231.SH)：第二期核心员工持股计划的受让价为12.665元/股,格隆汇
14,2021-12-16,环旭电子(601231.SH)：拟以3000万元投资苏州耀途股权投资合伙企业,格隆汇
15,2021-12-15,环旭电子(601231.SH)：子公司FAFG拟吸收合并其全资子公司AFG,格隆汇
16,2021-12-10,环旭电子股份有限公司 2021年11月营业收入简报,证券日报
17,2021-12-09,环旭电子11月合并营业收入69.48亿元，同比增加10.33%,乐居财经
18,2021-12-09,环旭电子：11月合并营收同比增加10.33%,中证网
19,2021-12-09,环旭电子：11月合并营业收入环比增加33.68%,e公司
20,2021-12-09,环旭电子：11月合并营收同比增加10.33%、环比增加33.68%,第一财经
21,2021-12-09,环旭电子(601231.SH)前11个月合并营收同比增长16.56%至486.62亿元,智通财经
22,2021-12-09,环旭电子：11月合并营业收入同比增长10.33%,财联社
23,2021-12-09,环旭电子：11月合并营收69.475亿元，同比增超10%、环比增33.68%,Wind
24,2021-12-08,环旭电子：公司从2020年四季度开始量产出货TWS SiP模组，今年出货量将大幅成长,每日经济新闻
25,2021-12-08,环旭电子：公司生产的5G毫米波AiP模组目前主要用于智能手机,Wind
26,2021-12-08,环旭电子：今年公司耳机SiP模组产品的出货量较去年会有较大幅度增长,格隆汇
27,2021-12-08,环旭电子：公司目前量产和研发的逆变器相关的功率模组主要应用在电动汽车,Wind
28,2021-12-08,环旭电子：今年公司电子烟业务占营收比例不超过0.5%,Wind
29,2021-12-08,环旭电子：飞旭苏州公司负责电子烟组件及整机组装的EMS业务，主要服务一家北美市场的知名客户，目前电子烟业务占公司整体营收很少,每日经济新闻
30,2021-12-08,环旭电子：2021年11月，惠州厂顺利完成电子产品生产项目的客户验证，通过验证的生产线可开始量产出货,每日经济新闻
31,2021-12-08,环旭电子：公司实施中的AR/VR SiP研发项目，属于与客户共同合作开发的项目，目前对公司营收的贡献很小,每日经济新闻
32,2021-12-08,环旭电子：今年公司电子烟业务占营收比例不超过0.5%,每日经济新闻
33,2021-12-08,环旭电子：公司生产的5G毫米波AiP模组目前主要用于智能手机,每日经济新闻
34,2021-12-08,环旭电子：目前量产和研发的逆变器相关的功率模组主要应用在电动汽车,财联社
35,2021-12-08,环旭电子：公司一直关注SiP模组在AR/VR产品方面的应用机会，已有实施中的研发项目,Wind
36,2021-12-06,微小化技术需求日涨 环旭电子以SiP创新技术持续发力可穿戴领域,美通社
37,2021-12-05,环旭电子、京东方遥遥领先！ESG500强电子行业榜单发布,新浪
38,2021-12-03,环旭电子(601231.SH)：“环旭转债”自12月10日起开始转股,格隆汇
39,2021-12-03,环旭电子(601231.SH)：“环旭转债”自12月10日起可转股 转股价为19.75元/股,智通财经
40,2021-12-02,环旭电子(601231.SH)累计回购1604.23万股 耗资2.31亿元,智通财经
41,2021-12-02,再创佳绩——智路资本14.6亿美元收购日月光大陆四大封测工厂，紫光重组入围方智路建广联合体再下一城,北国网
42,2021-12-02,环旭电子最新公告：截至11月底已累计回购0.73%股份,证券之星
43,2021-12-02,环旭电子(601231.SH)：截至11月底已累计回购0.73%股份,格隆汇
44,2021-12-02,中邮证券：北交所开市提振高科技题材，关注两大相关行业,每日经济新闻
45,2021-12-01,12月1日环旭电子涨停分析：UWB超宽带，电子烟，WiFi概念热股,证券之星
46,2021-12-01,环旭电子、兆易创新涨停，5G50ETF（159811）三连阳,资本邦
47,2021-12-01,快讯：环旭电子涨停 报于16.92元,金融界
48,2021-12-01,异动快报：环旭电子（601231）12月1日13点0分封涨停板,中金在线
49,2021-11-29,环旭电子(601231.SH)：惠州厂电子产品生产项目正式投产,格隆汇
50,2021-11-29,环旭电子最新公告：全资子公司惠州厂正式投产,证券之星
51,2021-11-29,环旭电子：全资子公司惠州厂正式投产,财联社
52,2021-11-29,东方证券维持环旭电子买入评级：投资氮化镓公司，增强汽车电子竞争力,每日经济新闻
53,2021-11-29,东方证券：给予环旭电子买入评级，目标价位21.96元,证券之星
