,2021-12-30,玲珑轮胎今日大宗交易成交64.40万股，成交价36.18元溢价0.0%,Wind
0,2021-12-30,A股共发生275宗大宗交易成交59.59亿元（12月30日）,Wind
1,2021-12-30,"玲珑轮胎现1笔大宗交易 共成交1,165.00万元",新浪
2,2021-12-30,玲珑轮胎今日大宗交易成交32.20万股，成交价36.18元溢价0.0%,Wind
3,2021-12-30,大化工策划稿七|压制因素缓解+竞争格局优化 轮胎行业有望重回景气周期,财联社
4,2021-12-29,玲珑轮胎湖北基地三期项目启动 “7+5”战略加速推进,e公司
5,2021-12-27,“双碳”背景下，玲珑轮胎积极探索和改变！,中国橡胶网
6,2021-12-27,轮胎企业“瘦身”在即：原材料涨价承压 产业转型在即,中国经营报
7,2021-12-25,[隆众聚焦]：产能继续扩张 轮胎行业“内卷”加剧,隆众资讯
8,2021-12-25,中国轮胎安全周专访：山东玲珑轮胎股份有限公司,中国橡胶网
9,2021-12-24,2022年化工年度策略：逆周期选股 碳中和寻机,新浪
10,2021-12-23,吉林玲珑轮胎法定代表人变更 董监高成员变化,轮胎世界网
11,2021-12-21,玲珑轮胎12月21日大宗交易成交2506.25万元,证券时报网
12,2021-12-21,玲珑轮胎今日大宗交易成交67.30万股，成交价37.24元溢价0.0%,Wind
13,2021-12-21,"玲珑轮胎现1笔大宗交易 共成交2,506.25万元",新浪
14,2021-12-20,玲珑轮胎“7+5”战略加快逆周期布局 长春基地首条产品下线,e公司
15,2021-12-20,化工周报：原油价格继续下挫；周期龙头、折叠屏材料相关标的表现活跃,新浪
16,2021-12-17,轮胎再迎涨价潮！行业利润下滑近4成，明年或将反转？,Wind
17,2021-12-17,轮胎涨价难敌成本高企，玲珑轮胎毛利率环比持续下滑 盈利能力下降,阿尔法工场
18,2021-12-17,【机会挖掘】轮胎价格多次上涨 机构看好头部企业迎来戴维斯双击,证券时报网
19,2021-12-16,玲珑轮胎：携手北化成立研究院,中国橡胶网
20,2021-12-15,推进智能制造 玲珑轮胎吉林基地全钢一期首条轮胎下线,e公司
21,2021-12-15,玲珑轮胎携手北京化工大学成立轮胎与橡胶绿色低碳技术研究院,e公司
22,2021-12-15,玲珑轮胎吉林公司全钢一期首条轮胎顺利下线,经济日报
23,2021-12-13,"玲珑轮胎现1笔大宗交易 共成交3,326.90万元",新浪
24,2021-12-13,玲珑轮胎跌3% 东方红李竞与兴全谢治宇旗下基金持股,中国经济网
25,2021-12-13,玲珑轮胎今日大宗交易成交85万股，成交价39.14元溢价0.0%,Wind
26,2021-12-10,35股获券商买入评级，恒为科技目标涨幅达96.28%,Wind
27,2021-12-08,玲珑轮胎：目前公司智能轮胎产品已在国内部分物流车队应用,每日经济新闻
28,2021-12-08,玲珑轮胎塞尔维亚项目进展顺利,轮胎世界网
29,2021-12-08,玲珑轮胎董事长访问大业股份,轮胎世界网
30,2021-12-07,两大主席团主席会晤，推动配套合作！,中国橡胶网
31,2021-12-06,化工周报：周期品价格逐步企稳 静待春旺归来,新浪
32,2021-12-06,强化研发助力汽车产业“新四化” 玲珑轮胎再获铃轩奖,证券日报网
33,2021-12-06,玲珑轮胎助力汽车行业“新四化”再获铃轩奖,上证报
34,2021-12-06,轮胎也能“新零售”？独家详解行业第一的新玩法,亿邦动力
35,2021-12-06,汽车行业第49周周报：新势力11月销量高增长 新能源车延续高景气度,新浪
36,2021-12-05,助力“新四化” 玲珑轮胎再获铃轩奖,中证网
37,2021-12-03,"玲珑轮胎现1笔大宗交易 共成交2,056.31万元",新浪
38,2021-12-03,玲珑轮胎今日大宗交易成交53.30万股，成交价38.58元溢价0.0%,Wind
39,2021-12-03,深耕非公路轮胎 玲珑轮胎配套国内首台无人驾驶装载机,证券日报网
40,2021-12-03,加码非公路轮胎布局 玲珑轮胎配套柳工无人驾驶装载机,中证网
41,2021-12-03,山东玲珑轮胎股份有限公司关于非公开发行A股股票申请获得中国证监会受理的公告,中证报
42,2021-12-02,玲珑轮胎(601966.SH)：非公开发行股票申请获证监会受理,格隆汇
43,2021-12-01,基础化工行业2022年上半年投资策略：偏下游板块边际改善可期 新能源上游材料依旧景气,新浪
44,2021-11-30,玲珑轮胎：2017年至2020年海外配套量翻三番,每日经济新闻
45,2021-11-30,国产轮胎企业的原配路,轮胎商业网
46,2021-11-29,玲珑轮胎2021乘用车轮胎经销商会议召开,车质网
47,2021-11-29,化工：海外尿素价格持续上涨 全球谷物产量面临氮肥紧缺压力,新浪
48,2021-11-29,化工周报：DMC、甘氨酸持续上涨 关注一线龙头及偏下游产品,新浪
49,2021-11-26,基础化工行业2022年年度投资策略：坚守价值 聚焦成长,新浪
50,2021-11-24,橡胶轮胎销量下滑 利润普降 盈利能力下降,天然橡胶网
51,2021-11-23,化工行业周报：农药价格部分回归理性 多氟多与比亚迪签订战略协议,新浪
52,2021-11-23,基础化工行业：需求驱动仍是主旋律,新浪
53,2021-11-22,配套本田纯电动车e:NP1亮相广州车展 玲珑轮胎发力新能源轮胎领域,e公司
54,2021-11-22,玲珑轮胎GREEN-Max HP200助力本田纯电动车e:NP1闪亮广州车展,上证报
55,2021-11-22,玲珑轮胎：携手腾讯云打造工业互联网平台“新零售”,中证网
56,2021-11-22,化工周报：北交所正式开盘；双碳系列政策持续落地、煤化工行业频出新动态,新浪
57,2021-11-22,化工行业动态：金属硅触底反弹 甘氨酸支撑草甘膦高位,新浪
58,2021-11-22,这种产品已涨价几轮，有厂家已调价到明年！股价会跟着动吗？,上证报
59,2021-11-21,省市部门两大利好玲珑轮胎,轮胎世界网
60,2021-11-20,轮胎企业迎“大考”：原材料涨价承压，三季度利润普降,Wind
61,2021-11-20,轮胎企业迎“大考”：原材料涨价承压 三季度利润普降 盈利能力下降,中国经营报
62,2021-11-19,1520万高性能子午胎项目，敲定,轮胎商业网
63,2021-11-18,玲珑轮胎董事长王峰到访比亚迪,轮胎世界网
64,2021-11-15,新能源车胎需求大增 头部轮胎企业争夺车企配套市场,e公司
65,2021-11-15,汽车行业第46周周报：10月汽车产销降幅收窄 自主品牌份额提升,新浪
66,2021-11-15,化工行业动态：化工布局磷酸铁梳理 看好三氯蔗糖高景气,新浪
67,2021-11-15,玲珑轮胎持续技术创新 积极强化新能源汽车布局,上证报
68,2021-11-15,中金：化工产品价格或已筑顶，战略性看好偏下游企业,中金点睛
69,2021-11-15,化工周报：维生素、磷化工价格上涨 周期品整体企稳 关注白马龙头和轮胎、农化产业链,新浪
70,2021-11-13,科技“拥抱”实体，中国互联网4.0时代的必然路径,中访网
71,2021-11-12,玲珑轮胎：全力打造新能源汽车轮胎配套引领者,上证报
72,2021-11-10,国元·转债|走向世界的中国麒麟,致我们深爱的债券市场
73,2021-11-10,【兴证固收·转债】全球化布局&产能扩张的优质轮胎品种 ——麒麟转债投资价值分析,兴证固收研究
74,2021-11-10,玲珑轮胎(601966)：步入新一轮产能释放期 继续看好中长期确定性,新浪
75,2021-11-10,每日报告回放,新浪
76,2021-11-10,化工行业周报：轮胎景气度回升 石大胜华积极布局新能源,新浪
77,2021-11-10,玲珑轮胎：获“2021工信千家优秀企业社会责任报告”评级A级,中证网
78,2021-11-09,行业动态|开启新一轮涨价 轮胎头部企业毛利有望触底反弹,财联社
79,2021-11-09,国产轮胎没品牌，到底意味着什么？,轮胎商业网
80,2021-11-08,【中银化工行业点评】化工能耗政策追踪,点化成金
81,2021-11-05,汽车行业2021年三季报业绩综述：渡过芯片和原材料最大压力时刻 后续有望企稳回升,新浪
82,2021-11-04,玲珑轮胎今日大宗交易成交39.87万股，成交价43.0元溢价0.0%,Wind
83,2021-11-04,玲珑轮胎：前三季度营收143.15亿元,中国橡胶网
84,2021-11-04,玲珑轮胎铜川项目取得实质进展,轮胎世界网
85,2021-11-04,84家轮胎企业密集提价背后,证券日报
86,2021-11-04,出口产业链多行业联合分析：集装箱货代端运价回落 产业链利润有望向中游转移,新浪
87,2021-11-03,玲珑轮胎今日大宗交易成交14万股，成交价43.21元溢价0.0%,Wind
88,2021-11-03,玲珑轮胎现1笔大宗交易 共成交604.94万元,新浪
89,2021-11-03,玲珑轮胎(601966.SH)股价异动 不存在未披露事项,智通财经
90,2021-11-03,交易异动！玲珑轮胎：近3个交易日上涨22.48%，无未披露的重大信息,每日经济新闻
91,2021-11-03,基础化工行业2021年三季报总结：原材料价格持续提升 短期影响21Q3行业盈利能力,新浪
92,2021-11-03,吉林构筑工业走廊 锻造振兴腾飞之翼,中经导报
93,2021-11-02,三季报总结|供需改善+涨价潮 头部轮胎企业四季度盈利空间望改善,财联社
94,2021-11-02,玲珑轮胎现1笔大宗交易 共成交498.60万元,新浪
95,2021-11-02,玲珑轮胎今日大宗交易成交12万股，成交价41.55元溢价0.0%,Wind
96,2021-11-02,【国海化工】轮胎系列深度之二：海运价格松动，轮胎拐点已现,靠谱化工股
97,2021-11-02,玲珑轮胎第三季度净利润大幅下降 盈利能力下降,天然橡胶网
98,2021-11-02,A股早报2021年11月2日星期二,Wind
99,2021-11-01,智通A股机构动向参考(11.01) | 多头旗帜还得靠“宁指数”,智通财经
100,2021-11-01,玲珑轮胎今日涨停 3家机构合计净买入6725.26万元,格隆汇
101,2021-11-01,11月1日玲珑轮胎涨停分析：轮胎，足球概念热股,证券之星
102,2021-11-01,图解玲珑轮胎三季报：第三季度单季净利润同比减77.96% 盈利能力下降,证券之星
103,2021-11-01,轮胎价格“撑杆跳”：原材料大涨开工率下滑,中国经营报
104,2021-11-01,玲珑轮胎涨停，谢治宇新进前十大流通股东,证券之星
105,2021-11-01,快讯：玲珑轮胎涨停 报于38.81元,金融界
106,2021-11-01,基础化工行业：把握需求确定的方向,新浪
107,2021-10-29,玲珑轮胎公布三季报 前三季净利减少41.91% 盈利能力下降,新浪
108,2021-10-29,玲珑轮胎(601966.SH)前三季度归母净利润同比下降41.91%至9.29亿元 盈利能力下降,智通财经
109,2021-10-29,玲珑轮胎：第三季度净利润1.55亿元 同比下降77.96% 盈利能力下降,财联社
110,2021-10-29,玲珑轮胎：前三季度净利润同比减少41.91% 盈利能力下降,Wind
111,2021-10-29,山东玲珑轮胎股份有限公司 2021年第三季度报告,证券日报
112,2021-10-29,麻了！玲珑轮胎领衔第三次涨价！！！,轮胎商业网
113,2021-10-28,玲珑轮胎：德州和柳州工厂限电限产,天然橡胶网
114,2021-10-26,玲珑亮相世界工业设计大会，力现中国水平,中国橡胶网
115,2021-10-26,玲珑轮胎：公司目前没有涉及汽车密封条的业务,Wind
116,2021-10-26,玲珑轮胎：公司根据当地政府下发的相关文件进行限电限产，本次限电主要是德州工厂和柳州工厂,每日经济新闻
117,2021-10-26,市委书记一行到玲珑参观交流,轮胎世界网
118,2021-10-25,废旧轮胎价格飞速上涨,天然橡胶网
119,2021-10-20,玲珑出资，探索废旧轮胎再利用,中国橡胶网
120,2021-10-19,探索废旧轮胎循环利用推动绿色发展,天然橡胶网
121,2021-10-18,玲珑轮胎入资克林泰尔 推进废旧轮胎回收再利用,e公司
122,2021-10-18,玲珑轮胎：与克林泰尔达成战略合作 推进绿色发展探索废旧轮胎循环利用,中证网
123,2021-10-18,汽车行业周报：9月产销好于预期 新能源渗透率持续提升,新浪
124,2021-10-18,玲珑轮胎入资克林泰尔 为轮胎“闭式循环”提出新方案,中国网
125,2021-10-18,化工行业周报：化工板块持续调整 轮胎企业基本面有望边际改善,新浪
126,2021-10-18,化工周报：能源价格上行强化周期品景气 坚定看好泛碳中和板块 关注受益海运费下降的轮胎行业,新浪
127,2021-10-18,基础化工行业：把握确定性强的子赛道,新浪
128,2021-10-18,玲珑轮胎与克林泰尔达成战略合作,e公司
129,2021-10-14,政府花钱帮这些轮胎企业改造升级,轮胎商业网
130,2021-10-13,玲珑轮胎：今年上半年纯电动新车原配轮胎品牌中玲珑轮胎位于国内品牌第一,每日经济新闻
131,2021-10-13,汽车行业周报：缺芯持续 新能源车交付亮眼,新浪
132,2021-10-13,安徽玲珑完成工商注册登记,轮胎世界网
133,2021-10-13,汽车行业9月汽车产销分析：芯片短缺略有缓解 产销环比呈正增长,新浪
134,2021-10-12,东吴证券维持玲珑轮胎买入评级：配套业务里程碑突破，国内七大生产基地布局已成,每日经济新闻
135,2021-10-12,玲珑轮胎(601966)：配套业务里程碑突破 国内七大生产基地布局已成,新浪
136,2021-10-11,出口旺盛有望带动需求持续回暖 玲珑轮胎近5个交易日大涨25%,中证网
137,2021-10-11,化工周报：受双控及国内外能源成本推动 化工品节前价格大幅上涨 Q4看好煤化工、农化以及氯碱板块,新浪
138,2021-10-11,煤炭石化行业周报：粘胶有望触底反弹 政策层强力保供动力煤,新浪
139,2021-10-10,玲珑轮胎配套广汽本田凌派车型,轮胎世界网
140,2021-10-09,玲珑轮胎再获世界级车企认可 实现新突破,车质网
141,2021-10-08,基础化工行业：重视高盈利的持续性,新浪
142,2021-10-08,基础化工行业：能耗双控下看好低估值涨价超预期个股,国金证券股份有限公司
143,2021-10-08,基础化工行业周报：利好因素显现 轮胎板块反弹,新浪
144,2021-10-08,化工行业周报：板块内部表现将分化 继续关注新能源上游化工材料,新浪
145,2021-10-08,汽车股市值骤减近万亿！这个“金九”有点冷,ZAKER
146,2021-10-06,长江大宗2021年10月金股推荐,新浪
147,2021-10-01,玲珑轮胎助力迪拜世博会中国馆开馆,卡车之家
148,2021-09-30,玲珑王锋为郑州暴雨中投车司机发放资助金,中国橡胶网
149,2021-09-30,2021年度中国轮胎企业产能产量数据析评,中国橡胶网
150,2021-09-29,玲珑轮胎龙虎榜数据(9月29日）,Wind
151,2021-09-29,玲珑轮动三日涨超20%，机构净买2.8亿，北向资金净卖2亿,证券之星
152,2021-09-29,交易异动！玲珑轮胎：近3个交易日上涨22.96%,每日经济新闻
153,2021-09-29,龙虎榜丨玲珑轮胎近三日反弹近23% 四机构累计买入4.19亿元,格隆汇
154,2021-09-29,玲珑轮胎近三日反弹近23%，四机构累计买入4.19亿元,Wind
155,2021-09-28,化工行业周报：双控政策影响蔓延 硅产业链全线上涨,新浪
156,2021-09-28,怎么回事？2400亿锂电白马大跌，千亿龙头大涨40%,Wind
157,2021-09-28,轮胎企业开启涨价潮 赛轮轮胎和玲珑轮胎涨停,格隆汇
158,2021-09-28,快讯：玲珑轮胎涨停 报于34.27元,金融界
159,2021-09-28,懂得把握时代 企业才能屹立潮头,证券时报
160,2021-09-27,基础化工行业：供给预期扰动 板块波动加大,新浪
161,2021-09-27,汽车行业周报：缺芯将持续 关注强势新品车型,新浪
162,2021-09-27,玲珑轮胎入围2021亚洲品牌500强榜单,中证网
163,2021-09-27,化工行业周报：万华荣获年度工业信息化领军奖 玲珑荣登亚洲品牌500强榜单,国海证券
164,2021-09-27,煤炭石化行业周报：化纤行业迎来利好 煤焦价格高位震荡,新浪
165,2021-09-26,汽车行业：复苏时点临近,新浪
166,2021-09-23,玲珑轮胎：拟定增募资25亿元继续扩产 流动性压力需关注,面包财经
167,2021-09-22,又有一批上市公司能耗双控停产！互动平台回应投资者忙 经营问题,Wind
168,2021-09-22,化工行业周报：万华荣获中国质量奖提名 玲珑逆境中坚持扩张,国海证券
169,2021-09-22,汽车行业第38周周报：缺芯影响超预期 乘用车9月前两周批发同比-36%,新浪
170,2021-09-22,玲珑轮胎：目前公司的国内个别工厂产能利用率受限电等政策影响略有下滑 政策恶化,Wind
171,2021-09-22,玲珑轮胎：目前公司的国内个别工厂产能利用率受限电等政策影响略有下滑，但公司总体产能利用率仍保持在80%左右,每日经济新闻
172,2021-09-22,汽车行业周报：传统旺季来临 静待车企补库,新浪
173,2021-09-18,化工行业周报：磷氟硅电石纯碱等泛“碳中和”板块持续景气 关注相关标的,新浪
174,2021-09-17,玲珑轮胎成立一家新子公司,轮胎世界网
175,2021-09-17,玲珑轮胎(601966)：逆势扩张 长期战略清晰 关注中长期成长性,新浪
176,2021-09-16,25亿，玲珑轮胎将有大动作,轮胎商业网
177,2021-09-15,化工行业周报：磷化工产业链高位上行 双碱板块景气延续,新浪
178,2021-09-15,9月14日玲珑轮胎融资余额1.71亿元,天然橡胶网
179,2021-09-15,玲珑轮胎完善“7+5”全球布局,天然橡胶网
180,2021-09-15,8股获券商买入评级，齐翔腾达目标涨幅达50.81%,Wind
181,2021-09-14,基础化工行业：MDI价格上行 PVDF涨势不减,新浪
