,2021-12-31,恩捷股份、天赐材料、璞泰来，谁是盈利能力最强的电池化学品企业？,Ofweek
0,2021-12-31,璞泰来14亿扩产完善产业闭环,长江商报
1,2021-12-30,追加14亿元投资！璞泰来重金砸向PVDF产能,上海有色
2,2021-12-30,【焦点】拟斥资14亿元，璞泰来加码PVDF产能一体化项目！,财华社
3,2021-12-30,追投14亿！璞泰来加码锂电热门材料,长江有色
4,2021-12-30,浙商证券：电动车销量持续高增 重点把握三大投资主线,证券时报网
5,2021-12-29,璞泰来14亿落子PVDF等项目,Ofweek
6,2021-12-29,璞泰来：约75.45万股限售股1月6日解禁，占比0.11% 解禁,每日经济新闻
7,2021-12-29,璞泰来(603659.SH)：75.45万股限制性股票将于2022年1月6日上市流通,智通财经
8,2021-12-29,抓牢锂电池涂覆材料图谋业绩股价长虹 璞泰来向60%控股子公司追加投资14亿元,电鳗快报
9,2021-12-28,负极龙头璞泰来14亿元“追加”PVDF产能，远期2.5万吨规划产能位居行业首位,21世纪经济报道
10,2021-12-28,晚间重要公告2021年12月28日星期二,Wind
11,2021-12-28,璞泰来：控股子公司拟14亿扩建PVDF产能,e公司
12,2021-12-28,北向资金假期后首日加仓近13亿，兴业银行、宁德时代净买入均超5亿元,Wind
13,2021-12-28,璞泰来(603659.SH)拟投资约14亿元在乳源新建2万吨/年PVDF与4.5万吨/年R142b项目,智通财经
14,2021-12-28,璞泰来(603659.SH)：子公司拟在乳源新建2万吨/年PVDF与4.5万吨/年R142b项目,格隆汇
15,2021-12-28,干货！2021年中国锂电池负极材料市场竞争格局——璞泰来：市场份额有望持续上升,前瞻研究院
16,2021-12-28,璞泰来：拟新建2万吨/年PVDF与4.5万吨/年R142b项目,Wind
17,2021-12-28,财华盘点|牛股辈出！锂电池板块“高景气度”下是否蕴藏新机遇？,财华社
18,2021-12-27,璞泰来：聘任韩钟伟为公司董事会秘书,每日经济新闻
19,2021-12-27,璞泰来(603659.SH)聘任韩钟伟为董秘、张小全为证券事务代表,智通财经
20,2021-12-26,【德邦金工|周报】新能源集体回调，避险情绪升温 20211226,微信
21,2021-12-24,宁王罕见崩了，大跌1000亿，爆文成重磅利空？,Wind
22,2021-12-22,开源晨会1222丨11月电商数据分析：行业表现疲软，龙头均价增长；璞泰来,开源证券研究所
23,2021-12-21,深度！2021年中国锂电池负极材料行业竞争格局及市场份额分析 市场集中度较高,前瞻研究院
24,2021-12-21,开源证券：给予璞泰来买入评级,证券之星
25,2021-12-21,开源证券首次给予璞泰来买入评级：打造锂电综合业务平台，多业务共迎高增长,每日经济新闻
26,2021-12-19,2021年A股年终盘点：十大超级牛股关键词,Wind
27,2021-12-17,【异动股】PVDF概念板块下挫，璞泰来(603659.CN)跌4.49%,财华社
28,2021-12-15,国产包揽全球前四，负极材料“四小龙”如何炼成,全天候科技
29,2021-12-15,干货！2021年中国锂电池负极材料市场竞争格局——贝特瑞：新增产能将达26万吨,前瞻研究院
30,2021-12-15,东莞证券：预计汽车12月产销有望延续环比增长势头,Wind
31,2021-12-15,东莞证券：预计汽车12月产销有望延续环比增长势头,证券时报网
32,2021-12-14,2分钟读财报 | 大跌9%！千亿龙头璞泰来市值缩水200亿，发生了什么？,新浪
33,2021-12-14,璞泰来：委托加工物资主要是委托进行石墨化加工的负极材料,每日经济新闻
34,2021-12-14,A股早报2021年12月14日星期二,Wind
35,2021-12-13,今天市场的重点信息,证券之星
36,2021-12-13,2021年12月13日龙虎榜机构买入和卖出的个股一览,搜狐
37,2021-12-13,锂电负极龙头突然下跌，机构与北向资金共同出逃逾5亿元，扫货中国重汽（名单）,21世纪经济报道
38,2021-12-13,股价闪崩，锂电龙头璞泰来逻辑变了？,格隆汇
39,2021-12-13,全面注册制来临！茅台暴涨 8000 亿！锂电牛股闪崩，新能源不香了？,ZAKER
40,2021-12-13,【异动股】电池板块下挫，璞泰来(603659.CN)跌7.52%,财华社
41,2021-12-13,大跌9%！千亿龙头市值缩水200亿，发生了什么？,搜狐
42,2021-12-13,A股午盘综述：沪指放量涨1%，时隔3个月重返3700点！元宇宙概念再度爆发,Wind
43,2021-12-13,锂电池产业下挫，中科电气、璞泰来、新宙邦、永太科技等深度回调,Wind
44,2021-12-13,【异动股】电池板块下挫，璞泰来(603659.CN)跌9.37%,财华社
45,2021-12-12,多数海外中国地区基金收益为负，重仓茅台的回撤20%,Wind
46,2021-12-10,2021年11月中国A股电池行业上市企业市值排行榜：宁德时代总市值突破1.5万亿元,智研咨询
47,2021-12-08,电力设备与新能源行业专题策略报告：电动车蓬勃发展 风光储吹响碳中和冲锋号角,新浪
48,2021-12-07,璞泰来(603659.SH)：拟使用最高额度不超30亿元暂时闲置资金进行现金管理,格隆汇
49,2021-12-07,干货！2021年中国锂电池负极材料行业龙头企业市场竞争格局分析 贝特瑞PK杉杉股份PK璞泰来,前瞻研究院
50,2021-12-07,璞泰来：截至2021年11月30日，扣除已履行到期的担保，公司实际担保余额为48.01亿元人民币 大额借贷担保,每日经济新闻
51,2021-12-07,金银河：锂电成色不足,证券市场周刊
52,2021-12-07,璞泰来(603659.SH)拟开展远期外汇业务,智通财经
53,2021-12-07,电气设备行业周报：光伏硅片下调报价 产业博弈出现拐点,新浪
54,2021-12-06,璞泰来(603659.SH)选举方祺为职工代表监事,智通财经
55,2021-12-06,电气设备行业周报：11月新势力销量大超预期 欧洲销量环比回暖,新浪
