,2021-12-31,光伏低谷期已过，光伏50ETF（516880）涨超4%，福斯特、通威股份涨超7%,资本邦
0,2021-12-30,福斯特、福莱特、联泓新科，谁是成长能力最强的光伏辅材企业？,Ofweek
1,2021-12-29,光伏行业2022年投资策略：全球需求维持高景气 关注边际改善环节,新浪
2,2021-12-29,福斯特盘中快速上涨,新浪
3,2021-12-28,【行情】光伏股午后集体走强，其中，捷佳伟创涨5%，东方日升、福斯特、隆基股份、中来股份涨超4%，中环股份和上能电气涨超3%，锦浪科技、阳光电源、秀强股份涨超2%，通威股份涨近2%,金十数据
4,2021-12-27,福斯特(603806.SH)选举周环清为职工代表监事,智通财经
5,2021-12-27,电力设备行业周报：关注氢能环节,新浪
6,2021-12-23,福斯特：实控人累计减持0.27%股份，减持时间过半 减持股份,Wind
7,2021-12-23,福斯特(603806.SH)：实控人减持期过半 累计减持256.8万股 减持股份,格隆汇
8,2021-12-23,福斯特(603806.SH)实控人林建华累计减持256.8万股 减持时间过半 减持股份,智通财经
9,2021-12-23,产能过剩PK技术变革，光伏行业风险与机遇共存,Wind
10,2021-12-22,从苹果总部到火星基地： 福斯特展示可持续建筑理念,第一财经
11,2021-12-20,A股早报2021年12月20日星期一,Wind
12,2021-12-17,A股共发生144宗大宗交易成交57.17亿元（12月17日）,Wind
13,2021-12-17,福斯特跌5.21% 招商证券高点喊买入,中国经济网
14,2021-12-17,"福斯特现3笔大宗交易 共成交31,653.16万元",新浪
15,2021-12-17,福斯特今日大宗交易成交256.80万股，成交价123.26元折价2.94%,Wind
16,2021-12-17,福斯特李赫：紧抓国产替代黄金期风口，大量投入生产设备——2021中国物联网产业大会高端访谈,慧聪电子网
17,2021-12-14,实地调研“光伏之都”：琅琊山间绽放千亿产业群,上证报
18,2021-12-14,小小石英砂，育出千亿产业链,Wind
19,2021-12-13,北上资金上周净买入金额创新高，重点加仓白酒与金融股,Wind
20,2021-12-10,福斯特(603806.SH)：拟使用1.5亿元募集资金向滁州福斯特增资,格隆汇
21,2021-12-10,福斯特涨超7%，碳中和50ETF（159861）涨超1.3%,资本邦
22,2021-12-10,福斯特、晶科科技涨超4%，光伏50ETF（159864）涨超1.3%,资本邦
23,2021-12-10,光伏题材异动拉升，易事特、福斯特、通威股份领衔攀升,Wind
24,2021-12-09,中国加入世贸组织20周年丨蔡司扎根中国64年以本土创新惠及全球,新华网
25,2021-12-08,电力设备及新能源行业2022年度投资策略：双碳元年风电光伏坚定成长 储能行业蓄势待发,新浪
26,2021-12-08,电力设备与新能源行业专题策略报告：电动车蓬勃发展 风光储吹响碳中和冲锋号角,新浪
27,2021-12-07,电气设备新能源行业2022年投资策略：风光蓄势待发、电力设备迎新机遇,新浪
28,2021-12-07,电气设备行业周报：光伏硅片下调报价 产业博弈出现拐点,新浪
29,2021-12-06,电力设备及新能源行业周报：风光大基地二期再加码 装机需求或将迎复苏,新浪
30,2021-12-06,基金收益跑不过银行定期，易方达付浩选择直接“躺下”？,新浪
31,2021-12-06,电气设备行业周报：11月新势力销量大超预期 欧洲销量环比回暖,新浪
32,2021-12-06,电力设备新能源行业周报：“蔚小理哪”11月销量破万 第二批风光大基地启动,新浪
33,2021-12-06,2021年基金，买了个“寂寞”,Wind
34,2021-12-06,电力设备行业第49周周报：第二批新能源大基地开始申报 光伏绿氢首个万吨级项目启动建设,新浪
35,2021-12-05,电气设备行业周报：硅片加速尺寸变革推动降本 11月国内外电车销量持续向上,新浪
36,2021-12-05,新能源行业每周观察：行业趋势已成：详解长沙国际储能大会四大看点,新浪
37,2021-12-04,深度*行业*新能源发电行业2022年度策略：奋楫扬帆正当时 抖擞精神再出发,新浪
38,2021-11-30,化工行业周报：欧盟实行欧洲芯片法 目标2030年全球市占率增至20%,新浪
39,2021-11-30,基础化工行业周报：甘氨酸、萤石等价格延续涨势 DMC、人造石墨负极、尿素、黄磷等价格上涨,新浪
40,2021-11-30,电力设备及新能源行业周报：政策推动分布式规范发展 提升电网智能化水平,新浪
41,2021-11-29,中证指数光伏力量：隆基股份、通威股份、特变电工、福斯特、正泰电器,Ofweek
42,2021-11-29,电气设备行业周报：关注分布式光伏及逆变器环节,新浪
43,2021-11-29,新材料行业周报-风电材料系列三：风电叶片拉挤梁技术日趋成熟 酸酐型固化剂大有可为,新浪
44,2021-11-29,电力电气设备、公用事业：硅片跌幅扩大 政策首提分布式规范化,新浪
45,2021-11-25,光伏股二次下探，德业股份、晶澳科技领跌,Wind
46,2021-11-24,东北固收转债深度：光伏行业转债怎么看？,新浪
47,2021-11-24,资金流向分析,新浪
48,2021-11-23,IPO专题：新股精要-光伏接线盒行业龙头通灵股份,新浪
49,2021-11-23,【中银电新】新能源发电：美众议院通过刺激法案，新能源需求有望提升,老成之见
50,2021-11-23,中金：2022年将迎来光伏装机需求大年,Wind
51,2021-11-23,东南网架：与福斯特合资公司整体项目正在稳步推进中,Wind
52,2021-11-23,东南网架：与福斯特合资公司整体项目正在稳步推进中,e公司
53,2021-11-23,东南网架：东南网架与福斯特共同出资成立的浙江东南网架福斯特碳中和科技有限公司先后与杭州市萧山经济技术开发区管理委员会和天津港保税区管理委员会签署了合作协议，目前整体项目正在稳步推进中，且部分项目已进入设计阶段,每日经济新闻
54,2021-11-23,华创证券：全年硅料仍保持供需紧平衡状态，关注四条主线,Wind
55,2021-11-22,通灵股份市占率徘徊不前 关联方频现经营混淆异象“忙”换号,金融界
56,2021-11-22,新能源行业每周观察：刚柔并济、海陆共进 直流输电开启新时代,新浪
57,2021-11-22,电力设备及新能源行业周报：国内户用光伏装机持续景气 双面组件重获美国关税豁免权,新浪
58,2021-11-22,新能源行业周报：10月出口数据强劲 国内外需求依然无忧,华安证券
59,2021-11-22,蔡司：将提供汽车“三电”系统质量管理解决方案,观察者网
60,2021-11-22,百年“蔡司镜头”里的中国机遇,浦东时报
61,2021-11-21,【东吴电新】2021Q3新能源板块总结：光伏持续分化，龙头恒强，风电一超多强,新兴产业汇
62,2021-11-21,碳中和行业(电新+环保)周报：美国新能源车刺激政策有望出台 10月新增光伏装机环比增速转正,光大证券
63,2021-11-18,电力设备新能源行业周报：恩捷宁德强强联合 当升合作芬兰矿业 央行推出绿色金融工具,新浪
64,2021-11-18,资金流向分析,新浪
65,2021-11-17,十年大浪淘沙，全面平价时代终到来，光伏是新能源全村的希望？,Ofweek
66,2021-11-17,2022年光伏行业投资策略：格局向好成长加速-光伏行业2022年投资策略,新浪
67,2021-11-17,电力设备及新能源行业：央行碳减排支持工具助力风光发展 全球海风规划空间逐步展现,新浪
68,2021-11-15,环保新能源事件点评：两大“双碳”指导性文件落地,新浪
69,2021-11-15,电新行业周报：碳减排支持工具助力新能源发展 三元和铁锂占比短期趋于平衡,新浪
70,2021-11-15,电力电气设备 公用事业行业动态：产业链现跌势 中美光伏贸易摩擦或缓和,新浪
71,2021-11-13,光伏板块反弹上行，福斯特股价大涨10.28%,华夏时报
72,2021-11-13,光伏胶膜的中场战事：2022年供需缺口或将加大,中国经营报
73,2021-11-12,电力设备及新能源行业：国家能源局积极推动新能源发展 海外PPA电价走高需求有望持续展开,新浪
74,2021-11-11,光伏“军备竞赛”进行时，海优新材拟发行可转债募资10亿元扩产,21世纪经济报道
75,2021-11-10,光伏板块午后异动，东方日升暴拉逾11%,Wind
76,2021-11-09,央行推出碳减排支持工具，中信建投最新解读来了！,Wind
77,2021-11-08,新能源又迎利好？央行推出碳减排支持工具，哪些股望受益？,财联社
78,2021-11-08,电气设备行业周报：十月欧洲销量平稳 硅料供需转向紧平衡,新浪
79,2021-11-08,电力设备及新能源行业周报：光伏行业国家博弈长期存在 海风大基地规划展开,新浪
80,2021-11-08,西部证券：维持福斯特(603806.SH)“买入”评级 胶膜出货稳步增长,智通财经
81,2021-11-08,中信建投新能源行业每周观察：供不应求 隔膜环节盈利持续提升,新浪
82,2021-11-07,福斯特(603806)：业绩基本符合预期 成本上升Q3毛利率承压,新浪
83,2021-11-03,电力设备及新能源行业N型产业链专题报告一：N型产业化将提速 关注全产业链变化,新浪
84,2021-11-03,化工新材料行业周报：海力士三季度业绩创历史新高 雅克科技前驱体有望国产化弯道超车,新浪
85,2021-11-03,非公开发行股票申请获批 东南网架加速发展再添新动能,中金在线
86,2021-11-02,星空行研︱光伏的下半场，如何抓住稳稳的幸福？,星空财富
87,2021-11-02,电力设备与新能源行业周报：铁锂动力电池渗透率进一步提升 双碳“1+N”体系逐步构建,新浪
88,2021-11-02,电力设备及新能源行业周报：硅片价格呈现松动迹象 风电三季度招标同比增长,新浪
89,2021-11-02,电力设备新能源行业周报：2030碳达峰行动方案出台 政策刺激新能源板块行情,新浪
90,2021-11-02,光伏板块震荡休整，上机数控封住跌停板,Wind
91,2021-11-01,东南网架：目前公司已设立浙江东南碳中和科技有限公司和浙江东南网架福斯特碳中和科技有限公司，主要涉足业务为屋面与光伏一体化建筑的开发、建设与投资，提供光伏技术与绿色建筑的一揽子解决方案与集成服务,每日经济新闻
92,2021-10-31,电气设备行业：三季报好于预期 重视一体化组件公司的重要投资价值,新浪
93,2021-10-31,华金证券维持福斯特买入评级：业绩基本符合预期，成本上升Q3毛利率承压,每日经济新闻
94,2021-10-31,华金证券：给予福斯特买入评级,证券之星
