,2021-12-31,福耀玻璃董事长曹德旺呼吁企业家们把钱拿出来分享,阿尔法工场
0,2021-12-26,汽车玻璃行业跟踪专题之五：调光玻璃接棒天幕 前景可期,新浪
1,2021-12-24,福耀玻璃(03606.HK)涨4.4%,钢企网
2,2021-12-24,港股异动丨利好叠加 福耀玻璃(3606.HK)连续第4日上涨,格隆汇
3,2021-12-24,【港股通】福耀玻璃(03606)升4.65% 20亿元超短期融资券获准注册,和讯
4,2021-12-23,福耀玻璃最新公告：超短期融资券获准注册,证券之星
5,2021-12-23,港股异动 | 福耀玻璃(03606)反弹5% 前11月汽车玻璃出口额增长25%,智通财经
6,2021-12-23,【行情】港股特斯拉概念股走高，亿和控股涨近10%，力劲科技涨超3%，比亚迪股份、福耀玻璃涨超2%,金十数据
7,2021-12-22,“中国品牌向上”跟踪系列报告之二：新能源拉动效应继续增强,广发证券
8,2021-12-22,世界海关组织增列“汽车车窗”子目 利好福耀玻璃出口,中新网
9,2021-12-21,宋志平会长赴福耀玻璃、宁德时代调研,中上协
10,2021-12-20,福耀玻璃(600660.SH)20亿元超短期融资券获准注册,智通财经
11,2021-12-20,好敢说的曹德旺！许家印李嘉诚潘石屹都没逃过他的嘴,搜狐
12,2021-12-20,【异动股】福耀玻璃 (03606.HK)跌4.03%,财华社
13,2021-12-18,数据解放生产力——琰究汽车数据系列（2021年11月）【华西汽车 崔琰团队】,汽车琰究
14,2021-12-16,外资巨头增持A股核心资产，这些股被大幅增持！风格要变了？,Wind
15,2021-12-16,什么信号？外资巨头增持A股核心资产，这些股被大幅增持！风格要变了？,证券时报
16,2021-12-16,福耀玻璃：目前海外子公司正常生产经营,每日经济新闻
17,2021-12-14,小摩减持福耀玻璃(03606)约63万股，每股作价约41.95港元 减持股份,智通财经
18,2021-12-13,注册资本仅39亿，负债却近2万亿，曹德旺批评许家印！ 偿债能力下降,搜狐
19,2021-12-13,【权益变动】福耀玻璃(03606.HK)被摩根大通减持63.0001万股 减持股份,财华社
20,2021-12-13,汽车行业2022年投资策略：自主崛起，电动智能【国信汽车】,微信
21,2021-12-11,75岁出资百亿建大学，富豪榜前100却没有他，曹德旺：钱都捐掉了,搜狐
22,2021-12-10,港股盘前必读：外汇存款准备金率上调，腾盛博药召开媒体发布会,Wind
23,2021-12-10,福耀玻璃遭新加坡政府投资有限公司减持30.67万股H股 减持股份,Wind
24,2021-12-09,【权益变动】福耀玻璃(03606.HK)被新加坡政府投资有限公司减持30.67万股 减持股份,财华社
25,2021-12-09,【异动股】福耀玻璃 (03606.HK)涨3.1%,财华社
26,2021-12-08,福耀玻璃：公司研制的透明显示数字车窗已经应用于福州地铁,财联社
27,2021-12-08,GIC Private Limited增持福耀玻璃(03606)11.36万股，每股作价约42.06港元,智通财经
28,2021-12-08,福耀玻璃(03606.HK)遭摩根大通减持63万股 减持股份,格隆汇
29,2021-12-07,【中证盘前】央行宣布将全面降准，释放资金1.2万亿元；“猪茅”拟申请不超700亿元授信额度,中证报
30,2021-12-07,【中证盘前】央行宣布将全面降准，释放资金1.2万亿元；“猪茅”拟申请不超700亿元授信额度；双良节能签121亿元大单,中证报
31,2021-12-07,曹德旺捐百亿要办中国最有钱大学，住七千万豪宅，身家 240 亿,ZAKER
32,2021-12-06,汽车周报：新能源头部车企销量再超预期 持续看好产业链机遇,新浪
33,2021-12-06,晚间公告｜12月6日这些公告有看头,第一财经
34,2021-12-06,福耀玻璃(03606)股东河仁基金会提前终止减持计划 累计减持约2580.02万股,智通财经
35,2021-12-06,福耀玻璃：河仁基金会决定提前终止本次减持计划 拟减持股份,每日经济新闻
36,2021-12-06,福耀玻璃(600660.SH)：河仁基金会累计减持0.99%股份 提前终止减持计划,智通财经
37,2021-12-06,福耀玻璃：河仁基金会累计减持2580.02万股，提前终止减持 减持股份,Wind
38,2021-12-06,对话曹德旺：我不会把福耀科技大学用于盈利,新浪
39,2021-12-06,【异动股】福耀玻璃 (03606.HK)跌3.03%,财华社
40,2021-12-06,汽车行业周报：比亚迪11月新能源销量创新高 埃安引入战投,新浪
41,2021-12-06,【行情】港股特斯拉概念股走低，敏实集团(00425.HK)跌近4%，赣锋锂业(01772.HK)跌超3%，亿和控股(00838.HK)、福耀玻璃(03606.HK)跌超2%,金十数据
42,2021-12-06,曹德旺称要办中国最有钱大学 凑百亿做学校奖励基金,红周刊
43,2021-12-06,汽车行业周报：自主品牌销量加速向上,国海证券
44,2021-12-05,汽车行业周报：11月前三周累计批发环比+15% 看好自主崛起,新浪
45,2021-12-04,福耀科技大学预计2-3年建成，学区房先火！曹德旺把校训都想好了,时代周报
46,2021-12-03,汽车行业2022年度策略报告：智能车1.0迈入加法时代,新浪
47,2021-12-03,汽车事件点评：新势力引领自主崛起,国海证券
48,2021-12-02,汽车板块持续火爆，3张图比一比汽车零部件和整车公司谁更佳？,Wind
49,2021-12-01,【汽车】汽车行业2022年投资策略—景气回升，持续看好智能电动汽车赛道,中银证券研究
50,2021-12-01,【中原汽车】汽车行业年度策略：供需错配有望缓解，把握电动智能化赛道,中原证券研究所
51,2021-11-30,汽车零部件数据跟踪：动力电池装机量环比下降16% 智能化建议关注空气悬架、全景玻璃车顶及HUD,新浪
52,2021-11-29,A股地图看福建：“宁王”领头，还有4家市值破千亿,雪球
53,2021-11-29,浙商证券汽车行业周报：特斯拉扩产 产业链受益,新浪
54,2021-11-29,汽车行业周报：小鹏Q3业绩创新高 22年入局ROBOTAXI,新浪
55,2021-11-29,【异动股】福耀玻璃 (03606.HK)跌3.24%,财华社
56,2021-11-29,港股特斯拉概念股走高，力劲科技涨近5%，耐世特涨超3%，福耀玻璃、赣锋锂业,新浪
57,2021-11-29,“喝酒”的张坤、刘彦春、萧楠、王宗合能翻身吗？,Wind
58,2021-11-29,汽车行业周报：11月前三周累计批发环比+15% 看好自主崛起,新浪
59,2021-11-29,汽车行业周报：特斯拉上海工厂再度扩建 小米汽车落户北京,新浪
60,2021-11-26,【权益变动】福耀玻璃(03606.HK)被新加坡政府投资有限公司减持2.44万股 减持股份,财华社
61,2021-11-26,结构市场延续：国产化、新能源化、智能化,新浪
62,2021-11-26,光伏“跨界潮”：56家企业巨资涌入，光伏玻璃、HJT、分布式成跨界新宠,索比光伏网
63,2021-11-25,【券商聚焦】招证维持汽车汽配行业“推荐”评级 指电动化加速渗透 智能化竞争升级,和讯
64,2021-11-24,致敬A股“最良心企业家”曹德旺！100亿办福耀科技大学,深水财经社
65,2021-11-24,比元宇宙还牛！低调板块走出一批慢牛,Wind
66,2021-11-23,数据解放生产力——琰究汽车数据系列（2021年10月）【华西汽车 崔琰团队】,汽车琰究
67,2021-11-23,比元宇宙还牛！低调板块走出一批慢牛，最牛股悄悄大涨329%，聪明资金重仓名单揭秘（附股）,证券时报网
68,2021-11-23,汽车行业投资策略：从稀缺性角度把握本轮汽车向上三大周期,新浪
69,2021-11-22,汽车行业周报：广州车展：电动智能加速 自主品牌向上,新浪
70,2021-11-22,汽车行业周报：重视自主零部件崛起的机会,新浪
71,2021-11-22,定了！福耀科技大学选址福州，曹德旺豪掷百亿筹建，聚焦制造业高端技术短板,证券时报
72,2021-11-19,南财脱水研报丨汽车零部件板块再度走强，产销验证缺芯改善持续性，电动智能化加速自主发展,21经济网
73,2021-11-19,汽车行业11月投资策略：经销商库存处于低位 缺芯有望缓解,新浪
74,2021-11-18,【行情】港股特斯拉概念股走低，耐世特跌近6%，敏实集团跌近4%，雅迪控股跌超3%，赣锋锂业跌超2%，福耀玻璃跌近2%,金十数据
75,2021-11-18,“数据会说话”之2021年10月数据解读：10月社零数据符合预期 看好中国消费韧性,新浪
76,2021-11-17,新能源10月月报：新能源渗透率&自主市占率微幅回落 长期趋势依然向上,新浪
77,2021-11-17,【权益变动】福耀玻璃(03606.HK)获新加坡政府投资有限公司增持9.041万股,财华社
78,2021-11-17,汽车行业深度报告：展望2022年新能源汽车增量结构,新浪
79,2021-11-12,汽车行业周报：电动智能变革下零部件的投资机会,新浪
80,2021-11-12,福耀玻璃现1笔大宗交易 共成交922.01万元,新浪
81,2021-11-12,福耀玻璃今日大宗交易成交19.53万股，成交价47.2元折价0.23%,Wind
82,2021-11-12,汽车与零部件行业深度报告：行业最差时期过去 优质整车和零部件盈利和估值将共振,新浪
83,2021-11-12,福耀玻璃(03606.HK)获GIC增持9.04万股,格隆汇
84,2021-11-10,抢占全球竞争制高点，4家国家制造业创新中心获批，这些上市公司现身股东名单,上游新闻
85,2021-11-09,中信证券发布2022年海外中资股展望：价值崛起,Wind
86,2021-11-08,汽车行业基金持仓报告：Q3配置环比提升 预计Q4行业景气度进一步上行,国海证券
87,2021-11-08,【天风汽车】关于出口、缺芯、补库、新能源的四问四答,微信
88,2021-11-05,汽车行业2021年三季报业绩综述：渡过芯片和原材料最大压力时刻 后续有望企稳回升,新浪
89,2021-11-05,福耀玻璃现1笔大宗交易 共成交818.55万元,新浪
90,2021-11-05,3000亿国货巨头铁腕反腐、多家行业龙头先后加入,Wind
91,2021-11-05,南玻A计提6.7亿减值三季净利降逾50% 超200家机构出逃陆股通减仓8591万股 盈利能力下降,新浪
92,2021-11-04,建材行业A/H建材龙头2021年三季报总结：逻辑验证与再探 寻找领先身位企业,新浪
93,2021-11-04,【异动股】福耀玻璃 (03606.HK)涨3.03%,财华社
94,2021-11-03,汽车行业：21年数据点评系列二十二：新能源车延续高景气,广发证券
95,2021-11-03,中银证券维持福耀玻璃买入评级：业绩符合预期，价值及份额提升前景看好,每日经济新闻
96,2021-11-03,【异动股】福耀玻璃 (03606.HK)跌3.6%,财华社
97,2021-11-03,汽车行业周报：双碳文件指引汽车行业关注节能减排和新能源,新浪
98,2021-11-03,【东北汽车李恒光】福耀玻璃600660三季报点评：Q3业绩表现优于行业，运费上涨拉高费用率,东北证券研究所
99,2021-11-02,销售每日AH推荐,新浪
100,2021-11-02,福耀玻璃AH齐涨 机构纷纷唱多,格隆汇
101,2021-11-02,港股异动 | 福耀玻璃(03606)午前涨超4% 三季度纯利同比增8.91%至8.27亿元,智通财经
102,2021-11-02,广发证券：维持福耀玻璃(600660.SH)“增持”评级 目标价65.33元,智通财经
103,2021-11-02,【异动股】福耀玻璃 (03606.HK)涨3.96%,财华社
104,2021-11-01,中信建投：维持福耀玻璃(600660.SH)“买入”评级 Q3业绩符合预期 看好天幕玻璃放量,智通财经
