,2021-12-31,行业动态|光伏玻璃价格Q4触底回升 明年下游组件放量或提振需求,财联社
0,2021-12-31,A股收盘综述：上证指数2021年累升4.8%，连涨三年！盐湖提锂闪耀概念板块,Wind
1,2021-12-31,沸腾！一则大消息引爆，5万亿赛道涨停潮！光伏又爆发:千亿龙头涨停！AI独角兽暴涨30%，茅台却跌了,中国基金报
2,2021-12-31,解盘：人气继续回升，医药、新能源、盐湖提锂领涨,Wind
3,2021-12-31,A股午盘综述：中药股再现批量涨停，光伏发动强劲攻势,Wind
4,2021-12-31,光伏风电储能：华创证券坚定看好新能源“三剑客”,智通财经
5,2021-12-31,福莱特涨停，机械ETF（516960）涨超1.8%,资本邦
6,2021-12-31,福莱特涨超9%，碳中和50ETF（159861）涨超2.5%,资本邦
7,2021-12-31,福莱特、锦浪科技涨超8%，光伏50ETF（159864）涨超4%,资本邦
8,2021-12-31,福莱特、森特股份涨停，光伏屋顶板块继续扩大升幅,Wind
9,2021-12-31,光伏概念股发力走强,Wind
10,2021-12-30,福斯特、福莱特、联泓新科，谁是成长能力最强的光伏辅材企业？,Ofweek
11,2021-12-29,光伏行业2022年投资策略：全球需求维持高景气 关注边际改善环节,新浪
12,2021-12-29,光伏板块复苏，福莱特、南玻A、隆基股份、通威股份普涨,Wind
13,2021-12-27,电力设备行业周报：关注氢能环节,新浪
14,2021-12-23,光伏板块复苏，太阳能冲击涨停,Wind
15,2021-12-23,“杭州板块”迈入200+，新经济新制造奔涌而来,Wind
16,2021-12-20,并购再出牛股！7成个股股价飘红，15股已翻番,Wind
17,2021-12-18,ATFX港股：230亿光伏大单到手，信义光能股价却走衰,金融界
18,2021-12-17,福莱特玻璃集团股份有限公司 关于公开发行A股可转换公司债券申请文件反馈意见回复的公告,证券时报
19,2021-12-16,福莱特：正在积极探索并布局低铁石英岩矿,e公司
20,2021-12-16,福莱特：公司光伏玻璃窑炉均主要以天然气为主,每日经济新闻
21,2021-12-16,福莱特：正在积极探索并布局低铁石英岩矿以保证我司光伏玻璃原材料的供应,每日经济新闻
22,2021-12-16,福莱特：天然气和石英砂的成本一直处于波动中,每日经济新闻
23,2021-12-15,从0到1920亿，安徽打造光伏产业的滁州模式,索比光伏网
24,2021-12-14,星空行研︱光伏玻璃，降本之路在何方？,星空财富
25,2021-12-14,总投资230亿！信义光能项目落户云南,Ofweek
26,2021-12-14,实地调研“光伏之都”：琅琊山间绽放千亿产业群,上证报
27,2021-12-14,小小石英砂，育出千亿产业链,Wind
28,2021-12-13,长城建材-建材行业周观点：近期房地产政策：首提“良性循环”，定调“房住不炒”,高材疾足
29,2021-12-12,纯碱中期走势取决于需求端指引,Wind
30,2021-12-11,光伏板块TOP10多股涨超10%，2021年光伏新技术不断取得突破「光伏周评榜」,华夏时报
31,2021-12-10,光伏板块午后发力，金辰股份涨停,Wind
32,2021-12-09,建材行业年度策略报告：静待产业链修复 关注“碳中和”机遇,新浪
33,2021-12-08,电力设备与新能源行业专题策略报告：电动车蓬勃发展 风光储吹响碳中和冲锋号角,新浪
34,2021-12-07,电气设备新能源行业2022年投资策略：风光蓄势待发、电力设备迎新机遇,新浪
35,2021-12-07,福莱特：再次延期回复问询函 问询,Wind
36,2021-12-07,电气设备行业周报：光伏硅片下调报价 产业博弈出现拐点,新浪
37,2021-12-07,地产链板块集体走强，政策利好预期改善，这些板块有望估值修复,财联社
38,2021-12-07,旗滨集团(601636)：光伏玻璃领域新巨头,新浪
39,2021-12-06,降准有何利好？ZZJ会议透露什么重要信号？,格隆汇
40,2021-12-06,电力设备行业第49周周报：第二批新能源大基地开始申报 光伏绿氢首个万吨级项目启动建设,新浪
41,2021-12-06,洛阳玻璃、福莱特、旗滨集团等光伏玻璃个股早盘大涨,索比光伏网
42,2021-12-06,光伏股集体大涨，福莱特、中来股份、晶盛机电、洛阳玻璃涨幅靠前,Wind
43,2021-12-05,光伏板块跌势不止，隆基、中环带头下调硅片价格「光伏周评榜」,华夏时报
44,2021-12-05,电气设备行业周报：硅片加速尺寸变革推动降本 11月国内外电车销量持续向上,新浪
45,2021-12-05,新能源行业每周观察：行业趋势已成：详解长沙国际储能大会四大看点,新浪
46,2021-12-03,建材行业2022年度策略：传统领域柳暗花明 新兴链条焕发生机,新浪
47,2021-11-30,福莱特：再次延期回复问询函 问询,Wind
48,2021-11-30,什么信号？外资巨头增持光伏，最牛加仓幅度超11倍,Wind
49,2021-11-30,光伏板块逆袭拉升！景气度不改向上趋势2022年依然是装机大年,和讯
50,2021-11-30,晶澳科技百亿市值解禁首日跌1%，多家新能源公司将迎大比例解禁,Wind
51,2021-11-29,【焦点】屡屡出手，洛阳玻璃持续加码新能源材料业务,财华社
52,2021-11-29,福莱特：左手连环募资 右手阔绰“撒钱”,证券市场周刊
53,2021-11-29,电气设备行业周报：关注分布式光伏及逆变器环节,新浪
54,2021-11-29,福莱特36.5亿元买矿争议：标的预估值溢价逾280倍,中国经营报
55,2021-11-29,福莱特：拟收购安徽凤砂集团旗下两家矿业公司100%股权,索比光伏网
56,2021-11-29,光伏概念站上风口，11股上涨空间逾20%（名单）,Wind
57,2021-11-28,下周操盘攻略：奥密克戎毒株“突袭”全球金融市场,Wind
58,2021-11-28,板块要爆发？摩根大通旗下基金大举加仓光伏龙头1179%,Wind
59,2021-11-26,建筑材料行业：10月新房交易跌幅或收窄 二手房景气仍较低,新浪
60,2021-11-25,福莱特最新公告：孙利忠已累计减持5.3万股 减持股份,证券之星
61,2021-11-25,福莱特：孙利忠完成减持，减持5.3万股 减持股份,Wind
62,2021-11-25,福莱特：我司的光伏玻璃在BIPV和BAPV都有布局,每日经济新闻
63,2021-11-24,蓝思科技多元是与非，抵御不确定性靠什么？,Ofweek
64,2021-11-24,资金流向分析,新浪
65,2021-11-23,福莱特：再次延期回复上海证券交易所对公司重组预案信息披露问询函 问询,Wind
66,2021-11-23,中金：2022年将迎来光伏装机需求大年,Wind
67,2021-11-22,电力设备与新能源行业周报：22 年底新能源车渗透率或超35% 光伏组件出口高增,广发证券
68,2021-11-22,新能源行业每周观察：刚柔并济、海陆共进 直流输电开启新时代,新浪
69,2021-11-21,【东吴电新】2021Q3新能源板块总结：光伏持续分化，龙头恒强，风电一超多强,新兴产业汇
70,2021-11-21,碳中和行业(电新+环保)周报：美国新能源车刺激政策有望出台 10月新增光伏装机环比增速转正,光大证券
71,2021-11-21,7000亿大市场！傅鹏博、朱少醒、谢治宇、刘格菘…顶流们都来了,Wind
72,2021-11-21,7000亿大市场！傅鹏博、朱少醒、谢治宇等顶流们都来了,Wind
73,2021-11-19,福莱特(601865.SH)：向288名激励对象授予534.12万份A股股票期权,格隆汇
74,2021-11-19,福莱特(601865.SH)向激励对象首次授予534.11万份股票期权 行权价为44.02元/股,智通财经
75,2021-11-18,福莱特：激励计划拟授予激励对象的股票期权数量为594.7858万份,Wind
76,2021-11-18,福莱特(601865.SH)拟授予激励对象594.79万份股票期权,智通财经
77,2021-11-18,资金流向分析,新浪
78,2021-11-18,业绩下滑市值缩水近千亿 蓝思科技多元化转型能否见效？ 盈利能力下降,投资者网
79,2021-11-17,2022年光伏行业投资策略：格局向好成长加速-光伏行业2022年投资策略,新浪
80,2021-11-16,福莱特玻璃(06865.HK)延期回复上交所对公司重组预案信息披露问询函 问询,格隆汇
81,2021-11-16,福莱特：延期回复问询函 问询,Wind
82,2021-11-15,环保新能源事件点评：两大“双碳”指导性文件落地,新浪
83,2021-11-15,建材周报：煤炭价格急跌 水泥价格调整或进一步展开,新浪
84,2021-11-15,电新行业周报：碳减排支持工具助力新能源发展 三元和铁锂占比短期趋于平衡,新浪
85,2021-11-15,福莱特玻璃集团股份有限公司 关于中国证券监督管理委员会受理 公开发行A股可转债申请的公告,证券时报
86,2021-11-14,福莱特最新公告：公开发行A股可转债申请获中证监受理,证券之星
87,2021-11-14,福莱特(601865.SH)公开发行A股可转债申请获中国证券监督管理委员会受理,智通财经
88,2021-11-14,福莱特：发行可转债申请获证监会受理,每日经济新闻
89,2021-11-14,"焦点分析 | 股价腰斩后，""果链""明星企业蓝思科技要做光伏玻璃",36氪
90,2021-11-13,光伏板块反弹上行，福斯特股价大涨10.28%,华夏时报
91,2021-11-12,电力设备及新能源行业：国家能源局积极推动新能源发展 海外PPA电价走高需求有望持续展开,新浪
92,2021-11-10,福莱特玻璃集团股份有限公司 监事会关于公司2021年A股股票期权激励计划 首次授予激励对象名单的核查意见及公示情况说明,证券时报
93,2021-11-09,福莱特：收到上交所重组预案信息披露问询函 问询,Wind
94,2021-11-09,【国信建材|行业专题】建材行业基金持仓专题：行业配置继续走低，光伏玻璃、玻纤较受关注,微信
95,2021-11-08,建材行业周观点：玻纤维持高景气 管材、消费建材成本承压,新浪
96,2021-11-08,中信建投新能源行业每周观察：供不应求 隔膜环节盈利持续提升,新浪
97,2021-11-07,建筑材料行业玻璃系列2：几块玻璃成本变化及影响？,新浪
98,2021-11-04,福莱特(601865)：Q3业绩符合预期 等待Q4需求释放,新浪
99,2021-11-03,电力设备及新能源行业N型产业链专题报告一：N型产业化将提速 关注全产业链变化,新浪
100,2021-11-02,直击业绩会|旗滨集团：将新建5条光伏玻璃生产线 现收入贡献占比尚小,财联社
101,2021-11-01,“石英砂”重要性凸显 福莱特购买大华矿业、三力矿业100%股权！,索比光伏网
102,2021-11-01,电气设备行业周报：光伏产业链价格涨势趋缓,新浪
103,2021-11-01,玻璃制造行业研究周报：成本压力缓和 持续推荐光伏玻璃龙头,新浪
104,2021-10-31,电气设备行业：三季报好于预期 重视一体化组件公司的重要投资价值,新浪
105,2021-10-30,光伏板块全线爆发，正泰电器上涨17.73%「光伏周评榜」,华夏时报
106,2021-10-29,福莱特现1笔大宗交易 共成交310.26万元,新浪
107,2021-10-29,福莱特今日大宗交易成交5.64万股，成交价55.01元溢价0.0%,Wind
108,2021-10-29,福莱特36.5亿并购拓展上游资源 上市两年半阮洪良身家暴涨,长江商报
109,2021-10-28,【一语道破】拟斥资36.5亿拿下两大石英岩矿，福莱特彰显“龙头本色”？,财华社
110,2021-10-28,碳中和日报：第一批大型风光基地开发企业名单汇总 福莱特拟36.5亿并购上游原材料企业,新浪
111,2021-10-28,光伏玻璃竞争再升级，扩产已成“过去式”,Ofweek
112,2021-10-28,不超36.5亿元买两座矿，光伏玻璃龙头有大动作！,上证报
113,2021-10-28,福莱特拟斥资不超36.5亿元加码上游资源,中证网
114,2021-10-28,拟36.5亿元购两公司 福莱特提升石英岩矿储量,上证报
115,2021-10-27,福莱特(601865.SH)拟以不超36.5亿元收购相关资产保障原材料供应,智通财经
116,2021-10-27,福莱特拟不超36.5亿元收购大华矿业和三力矿业各100%股权,上证报
117,2021-10-27,福莱特：拟不超36.5亿元收购两家公司 提升玻璃用石英岩矿资源储量,e公司
118,2021-10-27,福莱特拟收购大华矿业、三力矿业两公司 标的作价36.5亿元,北京商报
119,2021-10-27,福莱特：蒋纬界尚未减持股份,每日经济新闻
120,2021-10-27,福莱特：拟收购大华矿业100%股权和三力矿业100%股权,财联社
121,2021-10-27,福莱特玻璃：计划于11月18日举行股东大会,Wind
122,2021-10-26,新能源行业点评：双碳总体部署下发 风光储全面提速,新浪
123,2021-10-26,【银河电新周然】行业周报 | 特斯拉三季报表现亮眼，9月光伏装机环比下滑 盈利能力下降,中国银河证券研究
124,2021-10-26,明星基金集体发力，刘格菘、傅鹏博、梁跃军动向曝光,Wind
125,2021-10-26,新能源板块齐发力，多位明星基金经理再加仓,Wind
126,2021-10-26,继续加仓！新能源板块集体发力，明星基金经理笑了？刘格菘、傅鹏博、梁跃军最新动向曝光,券商中国
127,2021-10-25,光伏板块掀涨停潮！36家企业三季报出炉，上下游境遇大不同,国际金融报
128,2021-10-25,电气设备周报：国家能源局积极推动风电光伏 9月户用光伏装机量超预期,新浪
129,2021-10-25,“顶流”基金经理最新动向：张坤热衷优质银行，傅鹏博、刘格菘看好新能源,搜狐
130,2021-10-25,万联证券维持福莱特买入评级：盈利水平稳定，Q4 涨价业绩可期,每日经济新闻
131,2021-10-25,建筑材料行业研究周报：消费建材如期迎来反弹 后续持续性如何？,新浪
132,2021-10-25,西南证券维持福莱特买入评级：光伏玻璃盈利触底，Q4有望显著改善,每日经济新闻
133,2021-10-25,西南证券：给予福莱特买入评级，目标价位68.64元,证券之星
134,2021-10-25,三季报露玄机 顶流基金经理持股图谱逐渐清晰,中证网
135,2021-10-24,张坤狂买3400万股，逆势加仓5000亿巨头！基金经理大举加仓这只光伏股,雪球
136,2021-10-24,张坤狂买3400万股，逆势加仓5000亿巨头！今年大赚90%的基金经理出手，大举加仓这只光伏股！基金经理的作业能抄吗？,雪球
137,2021-10-23,还能抄作业吗？刘格菘、冯明远、葛兰……明星基金经理买了这些股票,上证报
138,2021-10-23,山西证券维持福莱特买入评级：盈利能力接近底部，有望迎来量利齐升,每日经济新闻
139,2021-10-22,朝闻国盛：211022三季报的高增方向有哪些？,新浪
140,2021-10-22,国盛证券给予福莱特增持评级，业绩符合预期，光伏玻璃龙头稳健增长,每日经济新闻
141,2021-10-21,除了小岗村和朱元璋，安徽凤阳人还有啥骄傲的？,上观
142,2021-10-21,北上资金百亿扫货A股却上涨乏力？明日是关键,Wind
143,2021-10-21,31股今日获机构买入评级,证券时报网
