,2021-12-31,苏州科达：公司目前在部分区域和项目上与科大讯飞有所合作,Wind
0,2021-12-31,马笑传媒互联科技团队：2021年报告汇总,微信
1,2021-12-30,计算机行业：商汤科技港股上市 AI赛道再迎催化,新浪
2,2021-12-30,科大讯飞：虚拟人交互平台1.0在媒体等行业已形成标准产品和应用,e公司
3,2021-12-30,科大讯飞智能录音笔智能降噪能力强大，录音转写效果惊艳,中国贸易新闻网
4,2021-12-30,科大讯飞金晖：人工智能助力企业转型升级,通信产业网
5,2021-12-30,科大讯飞股份有限公司关于2021年非公开发行股票募集资金项目 募集资金使用完毕及募集资金专户销户完成的公告,中证报
6,2021-12-29,传艺科技：公司目前没有涉及虚拟人相关领域,Wind
7,2021-12-29,官宣！讯飞翻译笔荣获Tech Great Awards 2021杰出科技贡献奖,砍柴网
8,2021-12-29,科大讯飞刘庆峰：产学研推动人工智能生态繁荣发展,通信产业网
9,2021-12-29,货拉拉、INMO、科大讯飞、全民K歌联合设计大篷车，首站定于槐房万达广场,北国网
10,2021-12-29,科大讯飞拟20亿投建研发生产基地,长江商报
11,2021-12-29,解析科大讯飞：“千亿营收”道阻且长,中国家电网
12,2021-12-29,调仓+减持，市场赚钱效应衰退,Wind
13,2021-12-28,年底大宗交易井喷，四大行业获机构扫货！,Wind
14,2021-12-28,12月股东减持超650亿，45家大额解禁来袭,Wind
15,2021-12-28,讯飞AI学习机研学游第一期火热开启，人工智能点亮创新教育,砍柴网
16,2021-12-28,首创证券：给予科大讯飞买入评级,证券之星
17,2021-12-28,平安证券：《“十四五”国家信息化规划》发布，将大幅提升IT投资占比,财联社
18,2021-12-28,投资约20亿 科大讯飞建设AI研发生产基地（一期）项目,第一电动网
19,2021-12-28,新鲜早科技丨百度首次在“元宇宙”希壤开会；美团将在快手上线小程序；苏宁力争半年内偿还员工借款本金,21世纪经济报道
20,2021-12-28,A股早报：“十四五”国家信息化规划,财联社
21,2021-12-28,我国取消乘用车制造外资股比限制、国金证券紧急辟谣传闻…,证券时报
22,2021-12-27,晚间重要公告2021年12月27日星期一,Wind
23,2021-12-27,逐渐破圈后，虚拟主播距产业成熟有多远？,新浪
24,2021-12-27,【华西计算机】1227｜集度首款汽车机器人2023年量产交付,科技晶选
25,2021-12-27,A股共发生197宗大宗交易成交45.23亿元（12月27日）,Wind
26,2021-12-27,12月两融余额缩水超200亿，3股逆势获净买入超10亿！,Wind
27,2021-12-27,构建第三生活空间，第三届汽车智能座舱与用户体验大会今日召开,盖世汽车
28,2021-12-27,"科大讯飞现1笔大宗交易 共成交2,799.81万元",新浪
29,2021-12-27,科大讯飞拟投资20亿元 建设人工智能研发生产基地,C114通信网
30,2021-12-27,科大讯飞今日大宗交易成交54.78万股，成交价51.11元折价0.72%,Wind
31,2021-12-27,科大讯飞：拟20亿元投建人工智能研发生产基地（一期）项目,财联社
32,2021-12-27,科大讯飞：拟投建人工智能研发生产基地项目,Wind
33,2021-12-27,货拉拉、INMO、科大讯飞、全民K歌，跨界打造大篷车带来科技盛宴,北国网
34,2021-12-27,讯飞AI语控面板荣获2021年度鼎智奖·年度智能家居创新产品奖,凤凰网
35,2021-12-27,科大讯飞：ToB/TOG、ToC都是人工智能的重要应用场景,每日经济新闻
36,2021-12-27,科大讯飞：在全球1024开发者节上最先发起虚拟人交互平台1.0,每日经济新闻
37,2021-12-27,2021年度科技行业大事件 Great Tech Awards 2021大揭秘,美通社
38,2021-12-26,科大讯飞：股票期权考核目标2022年营收增60%,每日经济新闻
39,2021-12-26,科大讯飞“千亿营收梦”，是盲目自信还是胜券在握,新浪
40,2021-12-26,以爱之能，自由听说——科大讯飞无障碍智能通信产品面世,凤凰网
41,2021-12-24,"科大讯飞现1笔大宗交易 共成交15,548.80万元",新浪
