,2021-12-31,消息称立讯精密将成苹果顶级供应商：逐步取代富士康,快科技
0,2021-12-31,北向资金年内加仓超4300亿元创历史新高，宁德时代全年净买入超300亿,Wind
1,2021-12-31,北向资金今日净买入45.7亿元 立讯精密净卖出4亿元,财联社
2,2021-12-31,2021年A股年终盘点：十大“水逆”板块在哪里？,Wind
3,2021-12-31,广东省境内外上市公司数量突破1100家,Wind
4,2021-12-31,银河证券：电子行业盈利端有望维持快速增长,Wind
5,2021-12-31,银河证券：电子行业盈利端有望维持快速增长,证券时报网
6,2021-12-31,北向资金动向盘点：多点开花，平均推进,Wind
7,2021-12-31,北向资金扫货A股81亿元 增持银行减持电力（个股名单） 减持股份,21世纪经济报道
8,2021-12-30,国产MEMS龙头冲上市：歌尔分拆，去年营收30亿,36氪
9,2021-12-30,北向资金锁定筹码连续四日扫货超125亿，招商银行获大幅净买入7.66亿元,Wind
10,2021-12-30,超声电子：立讯精密是公司印制板业务的客户,Wind
11,2021-12-30,宁南山：从苹果2021年公布的全球200大供应商看产业转移趋势,证券之星
12,2021-12-29,深圳466家上市公司扫描：多指标领先京沪,Wind
13,2021-12-29,立讯精密收监管函 注销部分股票期权数据不准确 问询,中国经济网
14,2021-12-28,应注销的股票期权总数量等数据不准确 立讯精密收监管函 问询,每日经济新闻
15,2021-12-28,立讯精密：将“立讯转债”转股价格由58.16元/股下修至58.05元/股,Wind
16,2021-12-28,立讯精密(002475.SZ)：“立讯转债”转股价将调整为58.05元/股,智通财经
17,2021-12-28,监管动态 | 股票期权激励相关数据披露不准确，立讯精密收深交所监管函 问询,财经网
18,2021-12-28,立讯精密：公司税收政策目前无变化,Wind
19,2021-12-28,午间公告2021年12月28日星期二,Wind
20,2021-12-28,深交所向立讯精密下发监管函 问询,Wind
21,2021-12-28,苹果公布全球200大供应商，有哪些新变化？,虎嗅网
22,2021-12-28,A股融资融券日报：两融余额增加29.17亿元（12月27日）,Wind
23,2021-12-28,苹果供应链TOP200有喜有忧，“果链造富神话”要靠造车续写？,36氪
24,2021-12-27,A股融资融券日报：两融余额减少95.83亿元（12月24日）,Wind
25,2021-12-27,立讯精密出手迅速，郭台铭始料未及，富士康市场遭瓜分,中国家电网
26,2021-12-25,主力资金“弃宁投茅”，机构看好跨年行情,Wind
27,2021-12-24,12月资金动向追踪：中小市值受青睐，两大产业链流出严重！,--
28,2021-12-24,立讯精密被传筹建大型iPhone组装厂 或与公示年产547万部手机项目有关,中国经营网
29,2021-12-24,A股资金流向：“弃宁投茅”显露调仓痕迹,Wind
30,2021-12-24,北向资金动向盘点：逢高减持食品饮料,Wind
31,2021-12-24,北向资金结束连续4日净卖出，大幅出逃酿酒板块，“茅五泸”均被抛售,21世纪经济报道
32,2021-12-23,立讯精密(002475)：短期投资策略结束,新浪
33,2021-12-23,稀土龙头被砸盘，主力出逃资金超15亿，尾盘资金杀入果链龙头,证券时报网
34,2021-12-23,立讯精密扩厂剑指富士康？,挖贝网
35,2021-12-23,北向资金加仓近25亿结束连续4日净卖出，宁德时代净买入4.74亿元,Wind
36,2021-12-23,"立讯精密现1笔大宗交易 共成交2,548.00万元",新浪
37,2021-12-23,立讯精密今日大宗交易成交52万股，成交价49.0元溢价0.0%,Wind
38,2021-12-23,果链龙头股大涨！传立讯精密筹建大型iPhone组装厂,第一财经
39,2021-12-23,传立讯精密昆山建厂，iPhone产量有望翻倍至1500万台,Ofweek
40,2021-12-23,融资客青睐4股，航亚科技买入占比高达45.01%,Wind
41,2021-12-23,A股早报2021年12月23日星期四,Wind
42,2021-12-23,北向资金动向盘点：集中净卖金融股,Wind
43,2021-12-23,每日理财观察：《数字交通“十四五”发展规划》发布,Wind
44,2021-12-23,稀土行业迎重磅资产重组！中成药集采 最高降八成,和讯
45,2021-12-23,马斯克又卖出5.28亿美元特斯拉股票；台积将推出5nm汽车电子平台和2nm新晶体管架构 | 思维独角兽,投资者网
46,2021-12-23,北向资金连续四日出逃，净卖出逾百亿，减持行业和个股一览（名单） 减持股份,21世纪经济报道
47,2021-12-23,科技板块接棒地产，市场风向快速切换,Wind
48,2021-12-22,苹果板块火了，3000亿龙头股一度大涨8%！传筹建大型iPhone组装厂,中证报
49,2021-12-22,每经18点|西安非生活必需场所暂时停业；北上资金净买入宁德时代4.31亿元；立讯精密筹建大型iPhone组装厂？公司回应,每日经济新闻
50,2021-12-22,北水连续21日净流入，腾讯今日获买入近5亿港元；南水甩卖立讯精密超6亿元,富途证券
51,2021-12-22,北向资金今日净卖出超17亿元，抛售立讯精密6.46亿元,第一财经
