,2021-12-31,电子行业研报：车规半导体空间足，国产替代提速【华西电子团队】,每经网
0,2021-12-31,A股早报2021年12月31日星期五,Wind
1,2021-12-31,每日理财观察：公私募积极备战，新增“弹药”瞄准新基建等领域,Wind
2,2021-12-31,全球单日确诊增至170万，抗疫妖股涨840%！芯片巨头进入紧急状态,Wind
3,2021-12-30,最新龙虎榜动向：东方电缆跌逾6%，3亿机构资金抢筹（名单）,21世纪经济报道
4,2021-12-30,紫光国微(002049.SZ)：后续可能触发“国微转债”有条件赎回条款,智通财经
5,2021-12-30,行业动态|西安疫情冲击芯片市场？分析人士称存储器芯片短期供应无虞 跌幅有望收敛,财联社
6,2021-12-30,涨停板解密：三大板块个股火爆上攻！（12月30日）,Wind
7,2021-12-30,紫光国微龙虎榜数据（12月30日）,Wind
8,2021-12-30,2个月8倍，这只医药股太剽悍了！北向资金单日买入超80亿，年末再现单边抢筹！集体反弹来了？,--
9,2021-12-30,大盘探底回升 机构抛售力度加大,金融投资报
10,2021-12-30,紫光国微涨停 深股通买入、机构卖出,第一财经
11,2021-12-30,龙虎榜|紫光国微涨停 三机构合计卖出3.11亿元,财联社
12,2021-12-30,紫光国微放量涨停，机构高位抛货,Wind
13,2021-12-30,12月30日紫光国微涨停分析：eSIM，DRAM（内存），边缘计算概念热股,证券之星
14,2021-12-30,A股收盘综述：文化传媒板块爆发，读客文化等17股涨停！新股首日破发再现双响,Wind
15,2021-12-30,紫光国微涨幅超9.99%，芯片ETF（512760）涨超2.66%,资本邦
16,2021-12-30,紫光集团要“复活”了？重组计划通过，大佬出资600亿元,证券之星
17,2021-12-30,什么情况？2个月8倍，九安医疗再度涨停,Wind
18,2021-12-30,一条大消息，芯片股疯涨：1400亿巨头涨停！稀土、文化、元宇宙“涨停潮”,中国基金报
19,2021-12-30,紫光国微首板，物联网龙头ETF（159896）涨2.42％,金融界
20,2021-12-30,解盘：人气再次回暖，元宇宙、游戏、存储器、医药领涨,Wind
21,2021-12-30,A股午盘综述：文化传媒、网游股批量涨停！两只科创板新股首秀破发,Wind
22,2021-12-30,半导体板块早盘大涨，紫光国微首板，主力已抢筹超7亿元,第一财经
23,2021-12-30,紫光国微涨停，提振半导体板块,Wind
24,2021-12-30,紫光国微、紫光股份同步拉升，紫光集团重整计划（草案）获通过,Wind
25,2021-12-30,紫光集团等七家企业实质合并重整案重整计划（草案）获通过,Wind
26,2021-12-30,紫光国微：紫光集团等七家企业实质合并重整案重整计划（草案）通过,e公司
27,2021-12-30,【东北军工王凤华】行业周报：航天电子发布定增预案，产能释放加速行业需求分解,东北证券研究所
28,2021-12-29,行业量化基金，能否获取长期稳定超额收益？,养基司令
29,2021-12-28,紫光国微：智能安全芯片代工产能持续紧缺，正协调资源保交付,中电网
