,2021-12-31,33股获券商买入评级，中新药业目标涨幅达68.41%,Wind
0,2021-12-30,民生证券：给予紫光股份买入评级,证券之星
1,2021-12-30,紫光国微、紫光股份同步拉升，紫光集团重整计划（草案）获通过,Wind
2,2021-12-30,紫光集团等七家企业实质合并重整案重整计划（草案）获通过,Wind
3,2021-12-28,平安证券：《“十四五”国家信息化规划》发布，将大幅提升IT投资占比,财联社
4,2021-12-27,【华西通信|周专题】北斗：市场应用逐步成熟，政策加速迭代升级,香农圆桌沙龙
5,2021-12-24,紫光股份：公司服务于冬奥会多个场馆的信息化建设，部分场馆已经投入使用,每日经济新闻
6,2021-12-22,【计算机】软件定义存储日渐成熟，2022年有望突破,金融界
7,2021-12-20,喜报！紫光股份旗下新华三集团成功中标中国电信核心路由交换设备集采项目,C114通信网
8,2021-12-20,校企改革加速清华大学无偿划转股权 清华系9家A股公司6家完成易主 控制人变化,长江商报
9,2021-12-20,【华西通信|周专题】边缘计算：算力网络重要环节，产业方兴未艾,香农圆桌沙龙
10,2021-12-17,紫光股份(000938.SZ)：林芝清创已减持259.42万股 减持股份,格隆汇
11,2021-12-17,紫光股份(000938.SZ)股东林芝清累计减持259.42万股 减持股份,智通财经
12,2021-12-17,紫光股份：股东林芝清创减持259万股公司股份 减持股份,每日经济新闻
13,2021-12-17,赵伟国长文控诉，管理人连夜发声，紫光“734亿资产流失”因何而起？,Wind
14,2021-12-17,赵伟国回应紫光重组国有资产流失，管理人回击称干扰重整,Wind
15,2021-12-17,A股早报2021年12月17日星期五,Wind
16,2021-12-17,每日理财观察：商务部将着力从三方面稳外贸稳产业链,Wind
17,2021-12-16,大盘探底回升 机构追买强势股,金融投资报
18,2021-12-16,紫光集团破产重整引争议，紫光股份应声大跌，四机构联手砸盘狂卖4.15亿 减资破产,第一财经
19,2021-12-16,紫光股份龙虎榜数据（12月16日）,Wind
20,2021-12-16,龙虎榜|紫光股份放量大跌近7% 四机构合计卖出4.15亿元,财联社
21,2021-12-16,紫光股份逆势大跌6.8%，四机构合计卖出4.16亿元,Wind
22,2021-12-16,质疑700亿巨额国资流失？紫光集团千亿重整遭董事长赵伟国反对,21经济网
23,2021-12-16,董事长赵伟国实名举报！紫光集团破产重整涉嫌734.19亿国有资产流失？ 减资破产,快科技
24,2021-12-16,紫光集团重整遭董事长赵伟国激烈反对 紫光股份低开低走跌超9%,新浪
25,2021-12-16,紫光股份盘中快速下跌,新浪
26,2021-12-16,【异动股】IPv6板块下挫，紫光股份(000938.CN)跌8.31%,财华社
27,2021-12-16,紫光集团千亿重整引争议 董事长赵伟国独家回应：怀疑投资方有没有能力,每日经济新闻
28,2021-12-15,紫光千亿资产重整遭董事长赵伟国反对，称已向多部门实名举报国资流失,Wind
29,2021-12-15,紫光股份(000938)：紫光集团司法重整落地 经营风险出清在即,新浪
30,2021-12-15,紫光集团600亿重整方案揭晓，战投升级产业布局,Wind
31,2021-12-14,19股获券商买入评级，中天科技目标涨幅达58.20%,Wind
32,2021-12-14,紫光集团2000亿债务重组落地 多元扩张6年并购投资超千亿,新浪
33,2021-12-14,商汤科技港股上市按暂停键，承销商启动退钱程序,Wind
34,2021-12-13,出资600亿，紫光集团重整细节曝光！,Wind
35,2021-12-13,20股今日获机构买入评级,证券时报网
36,2021-12-13,紫光股份：本次划转相关审批事项是否获批准存不确定性丨公司问答,第一财经
37,2021-12-13,AI独角兽暂停港股IPO，承销商紧急退钱，什么情况？,Wind
38,2021-12-13,紫光股份(000938)公告点评：集团重整战投确认 竞争力有望强化,新浪
39,2021-12-13,四川能投拟入主清华控股 风险与机遇并存,财联社
40,2021-12-13,清华控股被无偿划给这个地方国资！涉及8家上市公司,Wind
41,2021-12-13,国联证券维持紫光股份买入评级：母公司债务问题解决，后续发展可期,每日经济新闻
42,2021-12-13,国联证券：给予紫光股份买入评级，目标价位31.29元,证券之星
