,2021-12-31,红塔证券：肖淑英因个人原因、华士国因工作调整原因辞去公司董事职务 董监高成员变化,北京商报
0,2021-12-31,红塔证券(601236.SH)董事肖淑英、华士国辞职 董监高成员变化,智通财经
1,2021-12-31,红塔证券：公司董事辞职 董监高成员变化,Wind
2,2021-12-31,"华金证券原所长刘军转会山西证券，""所长市场""持续火爆",Wind
3,2021-12-29,每日理财观察：券商营业部排名大洗牌，量化交易催生硬件竞赛,Wind
4,2021-12-28,金融街下午茶2021年12月28日星期二,Wind
5,2021-12-28,12月28日红塔证券涨停分析：券商，大金融，参股基金概念热股,证券之星
6,2021-12-28,券商板块尾盘拉升，红塔证券涨停,Wind
7,2021-12-28,快讯：券商板块尾盘异动 红塔证券直线拉升封板,财联社
8,2021-12-28,券商股短线拉升，红塔证券涨超10%,36氪
9,2021-12-28,快讯：证券板块短线拉升 红塔证券涨近7%,新浪
10,2021-12-28,【行情】证券板块短线拉升，红塔证券涨近7%，国联证券、华林证券、华鑫股份跟涨,金十数据
11,2021-12-25,【喜报】红塔证券荣获第十届金融界|领航中国“金智奖”年度评选杰出创新奖,红塔期货
12,2021-12-23,红塔证券：融资余额比上日增0.58%，融券余额比上日降3.96%,资本邦
13,2021-12-22,中国上市公司协会表彰“优秀董办” 我爱我家、红塔证券两家云南上市公司入选,证券日报网
14,2021-12-20,又有重磅转会！年内至少12家券商研究所负责人变更,Wind
15,2021-12-18,2021年券商十大新闻盘点,Wind
16,2021-12-15,12万股东注意！这家公司配股缴款开始，错过将亏超4%,Wind
17,2021-12-11,一心堂药业集团股份有限公司 关于公司股东阮鸿献先生进行股票质押登记的公告,证券时报
18,2021-12-09,证券业“红利当头”，券商高管频频变动隐现战略转型,Wind
19,2021-12-09,证券业“红利当头” 券商高管频频变动隐现战略转型,全景网
20,2021-12-03,（证券之星）红塔证券董秘回复：中国烟草总公司系本公司实际控制人,证券之星
21,2021-12-02,这家券商迎新研究所所长，计划覆盖逾30个研究小组,Wind
22,2021-11-25,游族网络前三季营收下降三成 部分拟过户股票仍质押状态 盈利能力下降,发现网
23,2021-11-19,游族网络：股东林奇拟被动减持不超过3.87%公司股份 拟减持股份,Wind
