,2021-12-31,绿地控股合计26亿元公司债将拟于2022年1月7日兑付,观点地产网
0,2021-12-30,绿地控股退出上海绿地集团（昆山）商品混凝土公司，比例不详,乐居财经
1,2021-12-28,绿地控股因代建合同纠纷被申万置业提起上诉支付4.64亿违约金 诉讼纠纷,中华网
2,2021-12-28,陆家嘴因代建合同纠纷起诉绿地控股 不服判决再上诉 诉讼纠纷,观点地产网
3,2021-12-21,美元债追踪 | 绿地控股6.75%票息美元债价格上涨10.662%,观点地产网
4,2021-12-21,中国房产质量周报第十九期：责权不对等 部分购房者正遭霸王条款,证券之星
5,2021-12-17,债市风云｜金科股份转让22%金科服务股份 大公国际收到交易商协会警告,中新经纬
6,2021-12-17,绿地控股已赎回约4.29亿美元2022年到期债券，利率6.25%,乐居财经
7,2021-12-16,绿地控股按期完成5亿美元债本息兑付打款,中证网
8,2021-12-16,绿地控股：按期偿还5亿美元债，年内累计偿债超219亿元,Wind
9,2021-12-16,绿地控股：按期偿还5亿美元债，年内累计偿债超219亿元,澎湃新闻
10,2021-12-16,绿地：完成5亿美元债本息兑付 年内偿债超过219亿,观点地产网
11,2021-12-16,绿地控股按期偿还5亿美元债及2亿美元境外贷款,新浪
12,2021-12-15,无锡市委书记杜小刚会见绿地张玉良，深化多领域合作,Wind
13,2021-12-14,绿地控股：境外全资子公司绿地全球发行3.5亿美元定息债券,中国房地产网
14,2021-12-14,美元债回暖？绿地控股：绿地全球近日完成利率为7.974%的3.5亿美元定息债券发行,中华网
15,2021-12-13,绿地控股：11月新增2个房地产项目,中国网
16,2021-12-13,绿地控股子公司完成发行3.5亿美元定息债券 票面利率7.974%,观点地产网
17,2021-12-13,绿地控股(600606.SH)11月新增2个房地产项目 分别位于无锡及西安,智通财经
18,2021-12-13,绿地控股11月新增无锡、西安2个房地产项目 总价2.34亿元,观点地产网
19,2021-12-13,绿地控股(600606.SH)：11月新增房地产项目2个 权益地价2.34亿元,格隆汇
20,2021-12-13,绿地控股：绿地全球于12月10日完成3.5亿美元定息债券发行,财联社
21,2021-12-09,绿地控股转让上海绿地奉贤置业4.9994%股权，绿地地产接盘,乐居财经
22,2021-12-09,绿地控股转让上海绿地汇置业4.9981%股权，绿地地产接盘,乐居财经
23,2021-12-08,四季度企业评级更新多，39家评级被调低一张表可看清！,Wind
24,2021-12-08,地金播报丨恒大宣布无法履约、佳兆业美元债寻求展期失败,搜狐
25,2021-12-07,绿地控股拟发行8个月高级无抵押美元票据 最终指导价8%,观点地产网
26,2021-12-07,频频转让、质押子公司股权，绿地控股融资“手段”颇高,中金在线
27,2021-12-06,融资恢复，房地产配置价值渐显,Wind
28,2021-12-05,绿地金服更名数科 母公司分拆上市中的境外平台金融业务猜想,观点地产网
29,2021-12-05,绿地金服更名为“绿地数字科技”，IPO引战工作已有阶段性成果,乐居财经
30,2021-12-03,地产商们“花式”融资,乐居财经
31,2021-12-02,持续降档之下 绿地卖楼纾困,每日经济新闻
32,2021-12-02,“花样”融资30亿，绿地继续奋力降负债,搜狐
33,2021-12-01,房地产行业点评：11月单月量减价升 多数房企同比下降-11月百强房企销售点评,新浪
34,2021-12-01,财面儿丨绿地控股30亿转让上海地产星弘60%股权予上海地产、上海城投,财经网
