,2021-12-31,美年大健康产业控股股份有限公司 关于2021年员工持股计划完成股票 购买的公告,证券时报
0,2021-12-31,“老龄化”与“慢病”趋势下 美年健康发力预防医学早筛赛道,21世纪经济报道
1,2021-12-30,美年健康与数坤科技签署战略合作 联手推动“智能健康管理”应用场景落地,中国网
2,2021-12-30,融资客青睐4股，未来股份买入占比高达47.49%,Wind
3,2021-12-29,数坤科技与美年健康联手推进“智能健康管理”,上证报
4,2021-12-29,数坤科技与美年健康签署战略合作协议,Bianews
5,2021-12-29,美年健康俞熔：已在全国布局近700家体检机构 将加大人工智能技术应用,e公司
6,2021-12-29,数坤科技与美年健康签署战略合作协议 强强联合打造“智能健康管理”新时代,金融界
7,2021-12-29,两大企业联手 推动“智能健康管理”应用场景全面落地,中新网
8,2021-12-28,美年健康：实际控制人及其一致行动累计质押股份约为5.72亿股,每日经济新闻
9,2021-12-28,美年健康(002044.SZ)实控人的一致行动人质押3079.88万股,智通财经
10,2021-12-28,美年健康荣膺“2020-2021年度受尊敬企业”,经济观察网
11,2021-12-28,2021年度财经网新消费?新经济评选：新时代的风华光影,财经网
12,2021-12-21,美年健康守护生命第一线,凤凰网
13,2021-12-20,美年健康 呵护胃健康,凤凰网
14,2021-12-17,美年健康：四季度是公司体检旺季,每日经济新闻
15,2021-12-17,美年健康：目前定增计划在积极推进中,每日经济新闻
16,2021-12-17,美年健康：预计在2022年1月31日前进行业绩预告，四季度是公司业务旺季,每日经济新闻
17,2021-12-17,美年健康：公司收入和盈利能力以及客单价持续提升,每日经济新闻
18,2021-12-17,美年健康：公司没有任何未偿还的债券,Wind
19,2021-12-16,震惊创投圈！百亿私募大佬已失联两周？公司股票紧急停牌,Wind
20,2021-12-12,IPO项目业绩频变脸国元证券被质疑，业内争议“看门人”边界 盈利能力下降,Wind
21,2021-12-11,非公医疗尽享政策盛宴 美年健康深耕黄金赛道,中国经营报
22,2021-12-09,一上市业绩就下滑，股价最多跌去六成！这家投行保荐的新股怎么频频出问题？,Wind
23,2021-12-09,保优还是荐劣？国元证券IPO项目频频“卸妆”,Wind
24,2021-12-07,美年健康：以标准化、学科化、智能化践行ESG理念，共建共享全民健康,21世纪经济报道
25,2021-12-06,23股获重要股东增持 美年健康获增持金额最多,证券时报网
26,2021-12-03,美年健康，北京公益健康体检在行动,凤凰网
27,2021-12-03,美年健康现已做到低剂CT及超声技术普及,凤凰网
28,2021-12-03,美年健康预防医学迎发展机遇,凤凰网
29,2021-12-03,美年健康，在细微之处展现关怀,凤凰网
30,2021-12-03,美年健康与中国胸外科肺癌防治联盟达成战略合作 共建肺癌防治健联体,北国网
31,2021-12-01,美年健康(002044.SZ)股东上海维途质押7739.53万股,智通财经
32,2021-12-01,两私募提前“抢跑”新力金融，A股“股价先知”怪状几时休？,金融界
33,2021-11-29,美年健康：2021年员工持股计划累计买入公司股票9126.94万股,每日经济新闻
34,2021-11-29,美年健康：公司及控股子公司对外担保余额为人民币约22.26亿元 大额借贷担保,每日经济新闻
35,2021-11-29,美年健康(002044.SZ)拟向非银行金融机构申请融资额度不超20亿元,智通财经
36,2021-11-29,美年健康成立商贸公司，经营范围含烟草制品零售等,搜狐
37,2021-11-29,深交所：调整深证成指、创业板指、深证100等指数样本股,Wind
38,2021-11-27,政策利好促健康体检市场扩容，美年健康创新引领服务体系升级,经济观察网
39,2021-11-26,美年健康与中国胸外科肺癌防治联盟达成战略合作 共建肺癌防治健联体,中国网
40,2021-11-25,美年健康投资成立新公司，经营范围含家政服务等,贝壳财经
41,2021-11-25,美年健康投资成立新公司，注册资本2299万元,乐居财经
