,2021-12-31,OpenHarmony 项目群 12 月新增捐赠人美的集团、深圳开鸿,IT之家
0,2021-12-31,美的集团：第三期全球合伙人持股计划股票出售完毕,Wind
1,2021-12-31,合康新能：公司不属于专精特新企业，业务不涉及机器人和特高压,Wind
2,2021-12-31,广东省境内外上市公司数量突破1100家,Wind
3,2021-12-31,品匠心智造盛会，谋数字转型未来-“OFweek 2021中国智造CIO在线峰会”圆满落幕,Ofweek
4,2021-12-31,空调压缩机年销量破1亿台后 美的工业技术称要挑战五年内营收破千亿,经济观察报
5,2021-12-31,A股融资融券日报：两融余额增加32.82亿元（12月30日）,Wind
6,2021-12-31,12月30日51只个股获券商关注，珠海冠宇目标涨幅达44.83%,每经网
7,2021-12-31,5股获买入评级 最新:美的集团,中财网
8,2021-12-30,净流入额创历史纪录！北向资金明年继续“拥抱”A股？,Wind
9,2021-12-30,美的集团：增强全球布局 提升国际物流掌控能力,财联社
10,2021-12-30,杨国安：寻找中国企业数智化转型升级最佳答案,36氪
11,2021-12-30,美的集团伏拥军：美的汽车部件不排除通过兼并收购缩短切入周期,每日经济新闻
12,2021-12-30,美的集团与中远海运加强合作，前11月预付条款货量同比增超100%,证券时报网
13,2021-12-30,美的集团：2021年空调压缩机销售突破1亿台,e公司
14,2021-12-30,科技驱动万物 美的工业技术发布全新战略愿景,中自网
15,2021-12-30,美的机电更名为“美的工业技术”，挑战千亿营收目标,乐居财经
16,2021-12-30,华安证券：给予美的集团增持评级,证券之星
17,2021-12-30,华安证券给予美的集团增持评级：价值链重塑精进效率，能力圈外移驱动成长,每日经济新闻
18,2021-12-30,百家名企看高质量|专访美的张小懿：数字化“基座”助力集团发展,中新经纬
19,2021-12-30,美的集团：机电事业群更名美的工业技术 确立2025年千亿收入目标,财联社
20,2021-12-30,美的集团王建国：完善海外布局 跨境电商明年有望翻倍增长,第一财经
21,2021-12-30,造车折戟，美的上“芯”,乐居财经
22,2021-12-29,华夏幸福通过债务重组方案，泛海控股拟延期兑付,ZAKER
23,2021-12-29,美的空调高分通过5A级“标准化良好行为企业”复审,凤凰网
24,2021-12-29,美的空调再获国家科学技术进步奖：面向“双碳”未来的科技创新答卷,凤凰网
25,2021-12-29,空调制冷技术重大突破：全球首台家用空气制冷样机诞生,凤凰网
