,2021-12-31,荣盛石化：目前已顺利产出光伏料产品,Wind
0,2021-12-31,荣盛石化：公司EVA装置可全部生产光伏级产品，目前已顺利产出,Wind
1,2021-12-31,光大证券：给予荣盛石化买入评级,证券之星
2,2021-12-31,荣盛石化30万吨光伏EVA投产，一举成为龙头，打破行业瓶颈！,Ofweek
3,2021-12-30,大化工专题策划一|能源转型驱动炼化升级 石化低估值龙头明年有望逢春,财联社
4,2021-12-30,荣盛石化：年产30万吨EVA装置投产，生产工艺达国际先进水平,索比光伏网
5,2021-12-29,晚间重要公告2021年12月29日星期三,Wind
6,2021-12-29,荣盛石化：子公司年产30万吨EVA装置投产,财联社
7,2021-12-28,年底大宗交易井喷，四大行业获机构扫货！,Wind
8,2021-12-28,荣盛石化：目前浙石化三期在规划过程当中,Wind
9,2021-12-28,荣盛石化：目前生产过程中产生的氢气自用,Wind
10,2021-12-28,荣盛石化现1笔大宗交易 共成交303.62万元,新浪
11,2021-12-28,荣盛石化：目前浙石化三期在规划过程当中，公司会根据进展情况进行公告,每日经济新闻
12,2021-12-28,荣盛石化：目前生产过程中产生的氢气自用,每日经济新闻
13,2021-12-28,荣盛石化今日大宗交易成交17万股，成交价17.86元溢价0.0%,Wind
14,2021-12-28,年末大宗交易增多，机构抢筹藏玄机,Wind
15,2021-12-24,民营石化龙头荣盛石化大股东增持 二期项目全面投产利润大增,新浪
16,2021-12-23,“杭州板块”迈入200+，新经济新制造奔涌而来,Wind
17,2021-12-22,机构高关注的低位绩优股名单来了,第一财经
18,2021-12-22,低位股悄悄崛起，机构高关注的低位绩优股名单来了,Wind
19,2021-12-22,"最会炒股的上市公司出手，携近18亿资金相中了它。16连板牛股今日停牌, 低位股悄悄崛起，机构高关注的低位绩优股名单来了",微信
20,2021-12-21,荣盛石化现3笔大宗交易 合计成交1236.00万股,证券时报网
21,2021-12-21,荣盛石化：暂时没有涉及煤化工领域，但高度重视煤化工等领域的发展机会,每日经济新闻
22,2021-12-21,66股获重要股东增持，四大领域最受青睐！,Wind
23,2021-12-21,荣盛石化：公司暂时没有涉及煤化工领域,Wind
