,2021-12-31,药明康德：施明女士晋升为首席财务官,Wind
0,2021-12-31,药明康德晋升施明为首席财务官,乐居财经
1,2021-12-31,药明康德(603259.SH)：部分A股首发募投项目延期及变更资金用途 项目问题,格隆汇
2,2021-12-31,药明康德(603259.SH)：高级财务副总裁施明晋升为首席财务官,智通财经
3,2021-12-31,中国CXO行业跟踪报告,周观宇论
4,2021-12-31,杀入新冠口服药赛道股价飙升！广生堂利润空间缩减现金流如何支撑？,投资时报
5,2021-12-31,遇见“元素” | 药明康德2021年度回顾,药明康德
6,2021-12-30,北向资金锁定筹码连续四日扫货超125亿，招商银行获大幅净买入7.66亿元,Wind
7,2021-12-30,南京证券给予药明康德推荐评级：财务指标快速增长，业绩释放有保障,每日经济新闻
8,2021-12-30,江苏区域股市周报：新增1家上市公司 177家机构调研精研科技,每日经济新闻
9,2021-12-30,北向资金动向盘点：食品饮料低迷，逆市抄底净买,Wind
10,2021-12-30,北向资金大幅减持医疗服务业逾10亿元，这些个股遭抛售（名单） 减持股份,21世纪经济报道
11,2021-12-29,医药行业投资策略：关注政策扰动下的个股机会,新浪
12,2021-12-29,药明康德现1笔大宗交易 共成交443.64万元,新浪
13,2021-12-29,北上资金今日净买入宁德时代6.17亿元、泸州老窖3.58亿元，净卖出招商银行8.60亿元、药明康德4.79亿元。,财联社
14,2021-12-29,药明康德今日大宗交易成交3.96万股，成交价112.03元折价6.01%,Wind
15,2021-12-29,北向资金年末交投持续低迷净买入逾6亿元，连续4日加仓宁德时代累计扫货超20亿,Wind
16,2021-12-29,小摩减持药明康德(02359)138.398万股，每股作价约132.78港元 减持股份,智通财经
17,2021-12-29,西南证券医药2022年度策略：未来医药估值有望均衡，“穿越医保”和“疫情脱敏”是两条核心主线,Wind
18,2021-12-29,医药生物：关注年报业绩预告有望高增长公司,新浪
19,2021-12-29,安信国际 | 医药行业：关注中药消费品优质个股,安信国际
20,2021-12-29,开拓药业“临门”受挫股价暴跌，国产新冠口服药任重道远,Wind
21,2021-12-28,一则消息两个“20CM”涨停！刚刚，监管层关注函到了,中证报
22,2021-12-28,北向资金假期后首日加仓近13亿，兴业银行、宁德时代净买入均超5亿元,Wind
23,2021-12-28,业绩走低再研新药，广生堂收深交所关注函：能否有足够资金支持研发？ 关注函,新浪
24,2021-12-28,A股收盘综述：盐湖提锂、锂矿板块爆发，资金大举买入盐湖股份、天齐锂业,Wind
25,2021-12-28,CRO概念反弹，主力超3亿加仓药明康德(603259.SH)，创新药指ETF(159858.SZ)大涨,中国网
26,2021-12-28,CRO概念反弹，主力超3亿元加仓药明康德，这些股也获青睐,第一财经
27,2021-12-28,与上海药明康德合作 广生堂收深交所关注函 关注函,北京商报
28,2021-12-28,【行情】CRO概念股午后持续走强，美迪西涨超10%，皓元医药、博腾股份、阳光诺和、华测检测、药明康德等跟涨,金十数据
29,2021-12-28,CRO概念股午后持续走强，美迪西涨超10%,Wind
30,2021-12-28,CRO板块猛烈拉升，美迪西涨近12%、药明康德涨近4%,Wind
31,2021-12-28,与上海药明康德合作 广安堂收深交所关注函 关注函,北京商报
32,2021-12-28,深交所向广生堂下发关注函，要求公司说明研发的3CL蛋白酶抑制剂目前的具体研发进度 关注函,Wind
33,2021-12-28,2021基金投资四大坑之三：医药、白酒相继“倒下”，曾经的顶流基金纷纷陷入调整,每日经济新闻
34,2021-12-28,A股融资融券日报：两融余额增加29.17亿元（12月27日）,Wind
35,2021-12-27,近期市场流动性变化情况,量化先行者
36,2021-12-27,中药股价暴涨，哪些标的适合机构配置？【东吴医药朱国广团队】,国广有话说
37,2021-12-27,医药生物行业周报：如何理解当下以中药为核心驱动的医药行情和未来判断？,新浪
38,2021-12-27,广生堂2连板，拟与上海药明康德合作开发抗新冠病毒小分子口服药3CL蛋白酶抑制剂,Wind
39,2021-12-27,“白名单”为生物医药企业开辟发展新路,浦东时报
40,2021-12-27,每日理财观察：养老保险机构迎强监管,Wind
41,2021-12-25,最创新一年？2021年FDA批准了这些新药,同写意
42,2021-12-25,北向资金五个交易日出逃近78亿元，甩卖酿酒股近46亿元，扫货这些龙头股（名单）,21世纪经济报道
43,2021-12-24,博时基金出海产品表现惨淡，明星经理旗下产品跌幅超20％,腾讯网
44,2021-12-24,ATFX港股：CRO龙头药明康德业绩喜人，走势堪忧,金融界
45,2021-12-24,曾获愉悦、药明康德等投资，镁伽以智能自动化技术搭建生命科学领域基础设施,21世纪经济报道
46,2021-12-24,药明康德现1笔大宗交易 共成交443.64万元,新浪
47,2021-12-24,药明康德今日大宗交易成交3.96万股，成交价112.03元溢价0.0%,Wind
48,2021-12-24,将与药明康德合作开发新冠口服药，广生堂午盘1分钟内狂拉20cm涨停,金融界
49,2021-12-24,深交所向广生堂(300436.SZ)发出关注函，要求说明与上海药明康德合作研发的3CL蛋白酶抑制剂的进度 关注函,智通财经
50,2021-12-24,广生堂与上海药明康德合作开发口服治疗新冠药,上证报
51,2021-12-24,广生堂首板，拟与上海药明康德合作开发抗新冠病毒小分子口服药3CL蛋白酶抑制剂,Wind
52,2021-12-24,广生堂(300436.SZ)拟与上海药明康德合作开发抗新冠病毒小分子口服药3CL蛋白酶抑制剂,智通财经
53,2021-12-24,午间公告2021年12月24日星期五,Wind
54,2021-12-24,广生堂：控股子公司与上海药明康德合作开发抗新冠病毒小分子口服药,Wind
55,2021-12-24,广生堂：控股子公司与上海药明康德合作开发抗新冠病毒小分子口服药,e公司
56,2021-12-23,北向资金加仓近25亿结束连续4日净卖出，宁德时代净买入4.74亿元,Wind
57,2021-12-23,广生堂(300436.SZ)：广生中霖与上海药明康德签订3CL蛋白酶抑制剂合作开发合同书,格隆汇
58,2021-12-23,科技板块接棒地产，市场风向快速切换,Wind
59,2021-12-22,医药行业周报：CXO及创新药板块短期受事件因素扰动 赛道性价比逐渐突出,新浪
60,2021-12-22,中信建投：持续看好创新药国际化及CDMO长期竞争力,财联社
61,2021-12-22,CRO产业进入爆发期，制药装备企业也抓住机遇积极布局,制药网
62,2021-12-21,昊帆生物创业板IPO：年入2.82亿元，药明康德为第一大客户,格隆汇
63,2021-12-21,ATFX港股：CRO领域前景广阔，药明康德“修整”后仍有上行动力,金融界
64,2021-12-21,120 万 / 支！129 万 / 支！天价的 CAR-T 疗法真的是“神药”？,ZAKER
65,2021-12-21,北向资金交投意愿转淡连续3日净卖出，白酒、新能源均遭出货,Wind
66,2021-12-21,药企们为什么都在拆分？,虎嗅网
67,2021-12-21,北向资金动向盘点：不仅没砸盘，反而逢低净买电子、传媒,Wind
68,2021-12-21,每日理财观察：LPR时隔20个月首次下调,Wind
69,2021-12-21,严打“假外资”影响几何？北向资金连续2日净卖出，出逃这些股（名单）,21世纪经济报道
70,2021-12-20,贵州百灵(002424.SZ)：近期收到药明康德关于“替芬泰”的实验研究报告,格隆汇
71,2021-12-20,近期市场流动性变化情况,量化先行者
72,2021-12-20,中泰国际2022年医药行业投资策略：刚需稳健，坚守成长,Wind
73,2021-12-20,北水连续第13日加仓腾讯，今日再度狂买近15亿港元；南水连续4日甩卖药明康德,富途证券
74,2021-12-20,北向资金净卖出近10亿元 药明康德遭减持8.85亿元 减持股份,21世纪经济报道
75,2021-12-20,北向资金今日净卖出近10亿元，抛售药明康德8.85亿元,第一财经
76,2021-12-20,北向资金净卖出9.71亿元 药明康德净卖出8.85亿元,新浪
77,2021-12-20,北向资金今日净卖出9.7亿元 药明康德净卖出近9亿元,财联社
78,2021-12-20,北向资金丨药明康德遭净卖出8.85亿元,第一财经
79,2021-12-20,北向资金今日再度净卖出9.71亿元，药明康德连续4日遭抛售累计出货超30亿,Wind
80,2021-12-20,药明康德盘中跌超8%，葛兰刘彦春或踩雷,阿尔法工场
81,2021-12-20,港股异动 | 药明康德(02359)下挫8%领跌CXO板块 需求端担忧成抛售主因之一,智通财经
82,2021-12-20,A股收盘综述：创业板指跌近3%，新能源股大步回撤,Wind
83,2021-12-20,药明康德、康龙化成均跌超8%，CRO板块持续低迷,Wind
84,2021-12-20,“股灾”！药明康德再跌8% 葛兰刘彦春踩雷，高瓴又抢先了一步,证券之星
85,2021-12-20,快讯：药明康德盘中跌逾7% 成交超50亿元,新浪
86,2021-12-20,"股民哭了！一签少赚13万，光伏新能源突然崩了，3000亿白马狂跌9%！央行终于降息！“中植系”暴跌，最惨闪崩61%！房地产火了
盈利能力下降",中国基金报
87,2021-12-20,医药行业一周观察：“实体清单”落地 关注CXO 上下游高景气标的,新浪
88,2021-12-20,A股午盘综述：新能源大幅调整，小市值地产股却批量涨停，N禾迈中一签赚13万,Wind
89,2021-12-20,CRO板块连续下滑，药明康德一度跌近9%,Wind
90,2021-12-20,CRO概念持续走弱，药明康德领跌,Wind
91,2021-12-20,百诚医药今日创业板上市，如何在CRO浪潮中乘风破浪,贝壳社
92,2021-12-20,CXO增长可持续性强，看好中药板块投资机会,金融界
93,2021-12-20,每日理财观察：理财产品流动性风险管理办法出台,Wind
94,2021-12-20,北上资金加速流入A股，投资风格转向周期股,Wind
95,2021-12-20,北向资金周内净买入超百亿，中国移动本周申购,Wind
96,2021-12-19,招商策略：内资陆股通交易监管影响如何？,Wind
97,2021-12-19,药明康德暴跌后是否值得抄底？,搜狐
98,2021-12-19,北向资金大调仓！加仓“券茅”逾40亿元，减仓“药茅”超20亿元,中证报
99,2021-12-19,2021年：药明系对外投资标的一览,药融圈
100,2021-12-19,万得财经周刊：美联储加速缩债靴子落地,Wind
101,2021-12-18,港股中医疗板块可以抄底了吗？,包子君
102,2021-12-18,A股温和震荡分化，北向资金本周流入逾百亿，增减持行业个股一览（名单）,21世纪经济报道
103,2021-12-18,同一天，多药企遭超10个北向资金席位净流出,制药网
104,2021-12-18,重仓消费板块拖累业绩 长信基金掉队 盈利能力下降,中国经营报
105,2021-12-18,氢能源概念显著升温　白酒板块突然变盘,财富动力网
106,2021-12-17,“吃药”行情不再，CRO如惊弓之鸟，同仁堂跻身市值前十「制药行业周榜」,华夏时报
107,2021-12-17,一周主力资金丨大幅出逃核心资产 抛售药明康德29亿元,第一财经
108,2021-12-17,数据复盘｜92亿主力资金撤离电子行业 北向资金净卖出药明康德、隆基股份等,证券时报网
109,2021-12-17,资本逃离CXO！药明康德的跌倒，偶然中的必然,星空财富
110,2021-12-17,北向资金今日净流出逾65亿元，抛售药明康德超10亿元,第一财经
111,2021-12-17,北水连续第12日加仓腾讯，今日再狂买近17亿港元；南水再度甩卖药明康德,富途证券
112,2021-12-17,合全药业与徐诺药业签署战略合作协议 携手加速抗肿瘤药物全球商业化进程,动脉新医药
113,2021-12-17,北向资金净卖出65.61亿元 药明康德净卖出10.49亿元,新浪
114,2021-12-17,药明康德今日遭净卖出10.49亿元,36氪
115,2021-12-17,北向资金净卖出药明康德10.49亿元,e公司
116,2021-12-17,北向资金今日大幅净卖出65亿元 药明康德净卖出10.5亿元,财联社
117,2021-12-17,北向资金结束连续12日净买入，药明康德遭大幅抛售超10亿元,Wind
118,2021-12-17,【行情】CRO板块拉升反弹，凯莱英、康龙化成、博腾股份、药石科技、药明康德、昭衍新药等集体冲高,金十数据
119,2021-12-17,港股医药股开盘走强，药明康德大涨7%，恒生生物科技ETF(159892)涨1%,Wind
120,2021-12-17,港股开盘：恒生指数跌0.05％，药明康德高开7.14％，金科服务复牌涨近15％,金融界
121,2021-12-17,A股融资融券日报：两融余额增加5.56亿元（12月16日）,Wind
122,2021-12-17,北向资金动向盘点：近两周加仓“非银”已超百亿,Wind
123,2021-12-17,每日理财观察：商务部将着力从三方面稳外贸稳产业链,Wind
124,2021-12-17,北向资金买入力度加大，抢筹钢铁行业（名单）,21世纪经济报道
125,2021-12-17,港股盘前必读：英国基准利率上调15个基点，美股全线下跌,Wind
126,2021-12-17,北上资金连续12天净买入，煤炭行业搭上氢能源快车,Wind
127,2021-12-16,龙头股突然躺倒？高瓴抛售躲过大跌，公募明星基金分歧显现,Wind
128,2021-12-16,明年行情怎么看？听听顶尖新锐基金经理怎么说,每日经济新闻
129,2021-12-16,北上资金今日净买入宁德时代8.68亿元、宝钢股份6.30亿元，净卖出山西汾酒7.95亿元、药明康德4.49亿元。,财联社
130,2021-12-16,北向资金追平年内最长净买入纪录，山西汾酒净卖出额创历史新高,Wind
131,2021-12-16,药明康德(02359)根据可转换债券发行5.9万股,智通财经
132,2021-12-16,A股资金面日报：这些股被外资大幅增持,中投网
133,2021-12-16,药明康德：根据零息可转换债券而转换及发行的H股5.927万股,Wind
134,2021-12-16,国内创新药板块为何如此脆弱？,36氪
135,2021-12-16,恒指收涨0.23%，医药股强势反弹、煤炭股爆发,Wind
136,2021-12-16,浦银国际医疗行业2022年展望：关注“创新力+性价比+确定性”三大维度,Wind
137,2021-12-16,港股生物技术板块反弹 昭衍新药涨超8% 药明康德涨超7% 药明生物涨超5%,钢企网
138,2021-12-16,快讯：医药股集体反弹 药明生物涨超10%药明康德涨超7%,新浪
139,2021-12-16,药明康德回应股价异动：公司运营一切正常 对业务增长充满信心,中国经济网
140,2021-12-16,大基建板块成资金避风港，基建50ETF（516970）涨1.42%，中国电建涨5.52%，药明康德跌1.96%,资本邦
141,2021-12-16,医药行业周报：IN CHINA FOR GLOBAL 关注中国创新药出海机遇,新浪
142,2021-12-16,午评：港股恒指跌0.81%科技股大跌 煤炭股集体爆发,新浪
143,2021-12-16,港股医疗持续走强，药明康德涨超7%，恒生医疗ETF(513060)迎来上车好时机,资本邦
144,2021-12-16,药明康德回应股价波动：目前运营一切正常,中新经纬
145,2021-12-16,港股异动：药明康德反弹7%，公司表示对未来业务增长充满信心,智通财经
146,2021-12-16,药明康德跌停 “要命”，“医药女神”葛兰旗下基金单日大跌4.24%,金融界
147,2021-12-16,港股医药股强势反弹 药明康德盘初涨逾7%,中证网
148,2021-12-16,港股生物技术板块今日反弹，药明康德涨超5%，荣昌生物涨4.74%，昭衍新药,新浪
149,2021-12-16,生物技术股多数反弹 药明康德(02359)涨7.57%,和讯
150,2021-12-16,"3500亿市值""药茅""闪崩跌停 这一赛道全线跳水",中证报
151,2021-12-16,药明康德：公司目前运营一切正常，对未来充满信心,证券时报网
152,2021-12-16,港股异动 | CXO概念股集体反弹 药明康德(02359)涨近8% 药明生物(02269)涨超6%,智通财经
153,2021-12-16,港股开盘：恒生指数跌0.57%，药明生物、药明康德双双高开,金融界
154,2021-12-16,表示运营正常对未来充满信心 市场焦点股药明康德A股跌3.4%,新浪
155,2021-12-16,北向资金动向盘点：持续净买非银,Wind
156,2021-12-16,上证指数高开0.04%，创业板指涨0.42%,Wind
157,2021-12-16,11股获融资净买入超亿元 药明康德获净买入最多,证券时报网
158,2021-12-16,股价出现波动 药明康德表示运营正常对未来充满信心,上证报
159,2021-12-16,A股早报2021年12月16日星期四,Wind
160,2021-12-16,每日理财观察: 中国11月宏观经济数据出炉,Wind
161,2021-12-16,A股融资融券日报：两融余额增加10.27亿元（12月15日）,Wind
162,2021-12-16,药明康德(02359):目前运营一切正常，对未来业务增长充满信心,智通财经
163,2021-12-16,港股盘前必读：美联储将基准利率维持不变，美股全线收涨,Wind
164,2021-12-16,【东北机构销售】复盘笔记1215：沪指跌0.38% CRO概念股重挫 药明康德跌停 盈利能力下降,东北证券研究所
165,2021-12-16,药明康德有关近日股市波动的公告,美通社
166,2021-12-16,北向资金小幅净买入，减持医疗服务，药明康德遭甩卖近7亿元 减持股份,21世纪经济报道
167,2021-12-16,外资连续11天加仓，4000亿龙头被买爆！两大领域成扫货专区,Wind
168,2021-12-16,2000亿猪茅评级被调整为负面！富力也出事：或无法兑付,Wind
169,2021-12-16,药明系集体闪崩20CM砸懵市场，绿电有望成为新基建发力点,Wind
170,2021-12-16,拯救更多胃癌患者，全新3联抗癌疗法结果出炉，效果乐观,学术经纬
171,2021-12-15,CRO概念尾盘重挫 主力、北向集体撤离龙头股,第一财经
172,2021-12-15,药明康德：姚先生符合资格担任本公司的公司秘书,Wind
