,2021-12-30,研发 | KRAS G12C抑制剂研发激烈，安进已拔得头筹，诺华、贝达药业、再鼎医药等陆续跟进,CPhI制药在线
0,2021-12-29,益方生物IPO被暂缓表决，专利和商业秘密纠纷疑云待解,时代周报
1,2021-12-29,西南证券医药2022年度策略：未来医药估值有望均衡，“穿越医保”和“疫情脱敏”是两条核心主线,Wind
2,2021-12-29,贝达药业于浙江成立医药科技公司，注册资本5000万元,乐居财经
3,2021-12-28,贝达药业位列前三甲！2021年浙江省高新技术企业创新能力百强榜单发布,贝达药业
4,2021-12-24,贝达药业今日大宗交易成交3.10万股，成交价93.69元溢价19.85%,Wind
5,2021-12-24,贝达药业现1笔大宗交易 共成交290.44万元,新浪
6,2021-12-24,国金证券：给予贝达药业买入评级,证券之星
7,2021-12-24,国金证券给予贝达药业买入评级：贝伐珠单抗新增6项适应症获受理,每日经济新闻
8,2021-12-23,贝达药业贝伐珠单抗注射液（贝安汀?）新增四项适应症申请获受理,贝达药业
9,2021-12-23,喜讯！贝达药业荣获“2021年浙江本土民营跨国公司经营50强”,贝达药业
10,2021-12-23,贝达药业：贝伐珠单抗注射液（贝安汀）新增适应症补充申请获得受理,财联社
11,2021-12-22,通化东宝：公司自建糖尿病慢病管理平台和专业化学术推广的营销团队，为糖尿病诊疗提供一体化解决方案,Wind
12,2021-12-18,贝达药业赴港二次上市待解难题：主打产品单一，专利纠纷缠身,Ofweek
13,2021-12-12,医药周报｜绿鞋护盘 百济神州会破发吗；阿斯利康用于新冠肺炎暴露前预防药物将很快上市,钢企网
14,2021-12-10,益方生物科创板IPO遭遇“黄牌”：专利纠纷悬而未决，持续亏损仍在扩大 亏损,华夏时报
15,2021-12-09,人民金融·创新药指数涨0.94% | 腾盛博药中和抗体更大市场在海外 正在研究用于预防新冠,证券时报网
16,2021-12-09,失落的创新药新贵贝达药业:单品贡献9成营收、毛利率连降，A股失意5年转战港股 盈利能力下降,搜狐
17,2021-12-08,每日一图：中国贝伐珠单抗市场方兴未艾,新浪
18,2021-12-08,医药生物行业简评报告：2021版医保目录发布 看好创新药产业链,新浪
19,2021-12-08,医药生物行业2022年度策略行业策略：核心五问揆情度理 先进制造+创新升级大处落墨,新浪
20,2021-12-08,贝达药业海外子公司Xcovery 宣布控股Meryx公司,贝达药业
21,2021-12-07,贝达药业一边赴港上市 实控人一边减持超2亿元 减持股份,和讯
22,2021-12-07,贝达药业：公司尚未开展埃克替尼和贝伐单抗的联合用药注册性临床研究,Wind
23,2021-12-07,新药进展 | 贝达药业第四代EGFR抑制剂获批临床，用于治疗非小细胞肺癌,生物探索
24,2021-12-07,电鳗快报|“集采”抗肿瘤药降价超六成 这两药企的窘境如何化解？,电鳗快报
25,2021-12-07,速递！杨森达成两项战略合作；贝达1类新药在美获批；FDA扩大君实/礼来双抗疗法紧急使用授权,GBIHealth
26,2021-12-06,2021医保谈判目录公布：国产创新药占比历年新高 首次关注高值罕见病创新药,新浪
27,2021-12-06,医药行业周报：医保谈判结果出炉 持续鼓励创新,新浪
28,2021-12-06,首席周观点：周期股会来第二春吗？,新浪
29,2021-12-06,医药行业周报：国谈结果出炉 政策趋于平缓,新浪
30,2021-12-06,医药行业一周观察：医保谈判落地 国产创新药收获颇丰,新浪
31,2021-12-06,新股前瞻|贝达药业(300558.SZ)再赴港，肺癌药物研发的三代战略怎么打？,智通财经
32,2021-12-06,贝达药业非小细胞肺癌新药在美获批临床试验,新京报
33,2021-12-06,医药日报 | 腾盛博药新冠联合疗法III期临床数据积极,富途证券
34,2021-12-06,21健讯Daily｜医保基金飞检管理办法出台；研究发现奥密克戎有“弱病毒”基因,21世纪经济报道
35,2021-12-06,A股早报2021年12月6日星期一,Wind
