,2021-12-31,财通证券跌6.24%领跌证券板块 昨涨9.8%,中国经济网
0,2021-12-31,A股资金流向：市场完美红盘收官，指数波澜不惊,Wind
1,2021-12-31,"永安期货跌停 过会时被问控股股东财通证券""隐身""",中国经济网
2,2021-12-31,每日理财观察：公私募积极备战，新增“弹药”瞄准新基建等领域,Wind
3,2021-12-30,涨停不停！期货巨无霸永安期货持续一字板 大股东财通证券盘中强势封板,和讯
4,2021-12-30,A股资金流向：元宇宙领衔题材多点开花，年末“红包”行情可期,Wind
5,2021-12-30,A股午盘综述：文化传媒、网游股批量涨停！两只科创板新股首秀破发,Wind
6,2021-12-30,券商板块发力走高，财通证券一度涨停，广发证券等拉升,证券时报网
7,2021-12-30,财通证券涨停，证券ETF（512880）涨超1.8%,资本邦
8,2021-12-30,证券板块持续拉升 财通证券涨停,中国经济网
9,2021-12-30,财通证券涨停！券商股连续走强，山西证券：关注两条主线,资本邦
10,2021-12-30,A股异动 | 券商股拉升 财通证券(601108.SH)涨停,格隆汇
11,2021-12-30,【行情】券商板块异动拉升，财通证券一度涨停，广发证券、财达证券、华泰证券、华林证券等跟涨,金十数据
12,2021-12-30,快讯：券商板块异动拉升 财通证券拉升触板,财联社
13,2021-12-30,券商股走强，财通证券首板，现价11.88元,Wind
14,2021-12-29,新三板重要公告汇总（2021年12月29日）,同壁财经
15,2021-12-29,朗鸿科技北交所上市辅导验收获通过,同壁财经
16,2021-12-28,财通证券：融资余额比上日降1.38%，融券余额比上日增16.71%,资本邦
17,2021-12-28,恒星科技：华安证券、财通证券等9家机构于12月24日调研我司,证券之星
18,2021-12-24,券商债券执业能力评价结果发布！24家获A类，连续两年A类18家，9家滑出A类，更有多家头部券商,财联社
19,2021-12-24,财通证券资管荣获“2021中国资产管理业云峰会”两项大奖,和讯
20,2021-12-24,A股异动 | 财通证券逆势涨逾4% 集团重要成员“期货一哥”永安期货成功上市,格隆汇
21,2021-12-23,首日大涨逾44%！“期货一哥”惊艳亮相，未来涨幅空间还有多大？,国际金融报
22,2021-12-23,弃购者少赚342万，“期茅”上市首日涨44%,Wind
23,2021-12-23,“期货一哥”永安期货今日登陆A股，大股东财通证券迎来发展新机遇,金融界
24,2021-12-23,今日上市：凯旺科技、超达装备、永安期货,中国经济网
25,2021-12-22,北向资金连续4日净卖出累计出货超百亿，立讯精密遭大幅净卖出6.46亿元,Wind
26,2021-12-22,元宇宙火爆背后：游资上演“最小阻力式”博弈,证券之星
27,2021-12-22,财通证券(601108.SH)：完成发行15亿元短期融资券,格隆汇
28,2021-12-22,又一券商研究所所长离职，卖方人才变局背后原因几何？,Wind
29,2021-12-20,证监会：财通证券配股事项获通过,Wind
30,2021-12-20,证监会：财通证券配股事项获通过,e公司
31,2021-12-20,财通证券(601108.SH)：配股申请获证监会审核通过,格隆汇
32,2021-12-20,财通证券(601108.SH)配股申请获得中国证监会发行审核委员会审核通过,智通财经
33,2021-12-19,除了备战北交所，券业今年还有这些关键词,Wind
34,2021-12-18,同德化工：财通证券股份有限公司、杭州合信投资管理有限公司等3家机构于12月14日调研我司,证券之星
35,2021-12-13,大行原处长疯狂套资2亿余，再揭债券丙类户尘封的面纱,Wind
36,2021-12-10,资管新规过渡期年底结束，证券公司私募资管业务因何被罚？,新浪
37,2021-12-10,1+1+1>3 党建+业务+公益，财通基金模式创新助力共同富裕,和讯
38,2021-12-10,中国债券市场金融债发行日程一览(12月10日),Wind
39,2021-12-09,解盘：人气持续回升，医美、餐饮旅游、家居、茅指数领涨,Wind
40,2021-12-09,证券业“红利当头”，券商高管频频变动隐现战略转型,Wind
41,2021-12-08,点滴善意 聚力共富 | 财通证券资管“一亩茶园”公益支农背后的故事,金融界
42,2021-12-07,获央企重整后沈机集团业绩转盈流动性压力仍存 三家券商先后退出,新京报
43,2021-12-07,财通资管蝉联“卓越主动管理券商公司”,21世纪经济报道
44,2021-12-06,财通证券拟配股募80亿 近3年发行承销企业债违约35亿 未按时兑付本息,中国经济网
45,2021-12-06,财通证券拟配股 子公司涉阜兴案资管无法按期兑付71亿 其他违规处罚,中国经济网
46,2021-12-06,财通证券基金投顾业务扬帆起航,上证报
47,2021-12-06,财通证券：基金投顾扬帆起航 财富管理蓄力前行,21世纪经济报道
48,2021-12-05,3家获批银行基金投顾试点进展缓慢，展业或分两步走,Wind
49,2021-12-05,最牛大赚超80%！大集合改造，“冲刺”！,Wind
50,2021-12-03,中证路演回放丨瓶坯成型装备行业领先企业华研精机IPO网上路演,中证报
51,2021-12-03,第二批试点基金投顾展业券商再增一员！财通证券官宣展业,资本邦
52,2021-12-02,财通证券(601108.SH)：“财通转债”将于12月10日付息,智通财经
53,2021-12-02,又一家准备好了！财通证券基金投顾官宣展业，第二批试点券商展业家数达5家，展业正加速,财联社
54,2021-12-02,这家券商迎新研究所所长，计划覆盖逾30个研究小组,Wind
55,2021-12-02,两试点银行暂停基金投顾业务，发生了什么？,Wind
56,2021-12-01,A股午盘综述：股指延续横盘整理，氢能源、网络安全获资金青睐,Wind
57,2021-12-01,证券板块持续走强，华鑫股份涨超5%，中金公司、中泰证券、财通证券跟涨。,新浪
58,2021-11-30,元宇宙炒作图谱：2大新特征正在浮现,Wind
59,2021-11-30,元宇宙炒作图谱：游资前仆后继，上演“最小阻力式”博弈,Wind
60,2021-11-30,基金投顾激战正酣，券商直面挑战百计千谋求破局,Wind
61,2021-11-29,汤姆猫：浙商证券、财通证券等2家机构于11月9日调研我司,证券之星
62,2021-11-26,财通证券今日大宗交易成交560万股，成交价11.58元溢价11.13%,Wind
63,2021-11-26,证监会将对券商实施全面风险管理现场检查“全覆盖”,Wind
64,2021-11-25,公告精选：国科微等多家公司回应被列入“实体清单”影响,e公司
65,2021-11-25,晚间重要公告2021年11月25日星期四,Wind
66,2021-11-25,晚间公告｜11月25日这些公告有看头,第一财经
67,2021-11-25,浙江建投与财通证券达成战略合作，建立股权融资、债券融资等业务合作,智通财经
68,2021-11-25,11月25日上市公司晚间公告速递,新浪
69,2021-11-25,浙江建投联合财通证券，建立股权融资、债券融资等业务合作,乐居财经
70,2021-11-25,浙江建投：与财通证券签署战略合作协议,财联社
71,2021-11-25,【行情】证券板块短线拉升，中泰证券涨超4%，财通证券、中银证券、广发证券跟涨,金十数据
72,2021-11-25,券商角力北交所“后备军团”：开源证券储备项目居首,Wind
73,2021-11-24,"财通证券现1笔大宗交易 共成交5,042.40万元",新浪
74,2021-11-24,财通证券今日大宗交易成交440万股，成交价11.46元溢价10.51%,Wind
75,2021-11-24,财通证券(601108.SH)完成发行10亿元2021年度第十期短期融资券,智通财经
76,2021-11-24,财通证券(601108.SH)：完成发行10亿元短期融资券,格隆汇
77,2021-11-23,压实“看门人”责任，强监管信号持续释放,Wind
78,2021-11-22,从严监管不放松！8家券商领罚单，其中一笔罚款达1500万元 金融监管处罚,中证报
79,2021-11-22,11月22日深市创业板活跃股公开信息,深交所
80,2021-11-22,财通证券完成发行15亿元短期融资券，票面利率2.62%,资本邦
81,2021-11-22,财通证券(601108.SH)：完成发行15亿元短期融资券,格隆汇
82,2021-11-22,非银金融行业双周报：北交所正式开市 上市险企保费增速边际回暖,华福证券有限责任公司
83,2021-11-22,证监会对财通证券(601108.SH)采取责令改正，财通国际投资有限公司贷款协议未按规定到期终结 金融监管处罚,智通财经
84,2021-11-21,监管罕见出手！注销,Wind
85,2021-11-20,财通证券风控存漏洞，高管被采取监管谈话措施,和讯
86,2021-11-19,首批16个金融科技试点项目公布，8家券商榜上有名，中信建投两度上榜，嘉实华夏等公募牵头项目最多,财联社
87,2021-11-19,关于对财通证券股份有限公司采取责令改正措施的决定,证监会
88,2021-11-19,又有券商申请托管资格！今年基金托管牌照尚待零的突破,Wind
89,2021-11-19,露笑科技：申银万国、财通证券等13家机构于11月16日调研我司,证券之星
90,2021-11-18,央媒重磅发声：已滋生套路与骗局苗头！77只元宇宙概念股杀跌,Wind
91,2021-11-17,财通证券：正式获得公募基金投顾业务试点展业资格,中证网
92,2021-11-17,中信证券280亿元配股获批，17家券商年内再融资“补血”,Wind
93,2021-11-16,凤凰高飞！财通证券助力并购联合会打造并购产业生态,金融界
94,2021-11-16,首日机构买入两只北交所医药股，银河证券、财通证券分列榜首,资本邦
95,2021-11-15,11月15日深市创业板活跃股公开信息,深交所
96,2021-11-12,11月12日深市大宗交易信息,深交所
97,2021-11-12,投资浮亏拖累业绩，九牧王为何不务正业？ 盈利能力下降,和讯
98,2021-11-10,“期货一哥”来了！包揽全行业超一成净利润，曾陷控股股东疑云,新浪
99,2021-11-06,紧盯元宇宙热潮，交易所关注函、重点监控都来了,Wind
100,2021-11-05,纳尔股份：财通证券于11月4日调研我司,证券之星
101,2021-11-03,财通证券出台二十条举措 助推“高质量发展建设共同富裕示范区”,上证报
102,2021-11-03,财通证券第三季度营收14.2亿降20% 净利5.5亿降21% 盈利能力下降,中国经济网
103,2021-11-02,增速亮眼，多券商资管业务收入超越经纪,Wind
104,2021-11-02,券商资管前三季大赚350亿！中信广发抢占半壁江山,Wind
105,2021-11-01,又被冻结！股东到底欠了多少钱？知名牛散“也跑了”,Wind
106,2021-10-31,之江生物：财通证券于10月13日调研我司,证券之星
107,2021-10-29,财通证券：公司三季度公允价值变动损益与投资收益合计数金额为14.76亿元,每日经济新闻
108,2021-10-29,东方证券跌停打压券商板块，广发证券、长城证券、财通证券等跟随下滑,Wind
109,2021-10-29,【行情】证券板块异动下跌，东方证券跌超9%，广发证券、财通证券、长城证券、浙商证券等跟跌,金十数据
110,2021-10-28,财通证券第三季度净利润同比下滑21%,上证报
111,2021-10-28,财通证券：第三季度净利5.49亿元 同比下降21%,格隆汇
112,2021-10-28,财通证券：前三季度净利润同比增长5.3%,Wind
113,2021-10-28,千亿券商完成“换帅”，前三季净赚近120亿,Wind
114,2021-10-28,财通证券：第三季度实现净利润5.49亿元 同比减少20.88%,中证网
115,2021-10-28,图解财通证券三季报：第三季度单季净利润同比减20.88%,证券之星
116,2021-10-28,成绩单！财通证券：2021年第三季度净利润约5.49亿元，同比下降20.88%,每日经济新闻
117,2021-10-27,缺人！券商秋招大门敞开，重点需要这几方面人才,Wind
118,2021-10-27,财通证券党委书记、董事长陆建强：坚持“正和”文化 构建数字金融服务生态,中证网
119,2021-10-26,"首批6大成果亮相，让客户和员工在数字生态中获益！财通证券以""数""谋新",券商中国
120,2021-10-26,财通证券首批数字化改革应用成果亮相,上证报
121,2021-10-24,财通证券董事长陆建强：争做浙江建设共同富裕示范区的主力军和行业守正创新的排头兵,上证报
122,2021-10-24,1024首个财通日，财通证券董事长陆建强：坚定财通服务中心大局、服务实体经济和百姓美好生活的金融国企抱负,财联社
123,2021-10-22,财通证券、浙江东方参股公司永安期货IPO申请获核准批复,上证报
124,2021-10-22,财通证券参股公司拟IPO获得中国证监会核准批文,智通财经
125,2021-10-22,财通证券(601108.SH)第八期短期融资券发行额10亿元,智通财经
126,2021-10-22,财通证券(601108.SH)：中证监已核准永安期货IPO申请,格隆汇
127,2021-10-21,解盘：百亿资金流入，煤炭、磷化工、纯碱、稀土领涨,Wind
128,2021-10-20,鼎峰科技报送精选层辅导备案材料 今年上半年营收净利增速均超20%,同壁财经
129,2021-10-18,景津环保：南方基金、财通证券等3家机构于9月1日调研我司,证券之星
130,2021-10-14,基金圈人事密集变动：财通基金总经理王家俊或将离任 知情人士称为主动请辞 董监高成员变化,经济观察报
131,2021-10-14,独家！财通基金总经理王家俊即将离职，离职前接受专访，总结公司十年发展成绩，不忘自我反思 董监高成员变化,券商中国
132,2021-10-13,东南网架：华创证券、财通证券自营等8家机构于10月12日调研我司,证券之星
133,2021-10-12,中国债券市场金融债发行日程一览(10月12日),Wind
134,2021-10-12,两家上市券商拟发可转债180亿元 年内13家券商抛出不超1463亿元再融资方案,证券日报
135,2021-10-08,财通证券：“财通转债”第三季度转股3649股,每日经济新闻
136,2021-09-30,财通证券：公司持有永安期货33.54%的股份,每日经济新闻
137,2021-09-27,财通证券(601108.SH)：完成发行15亿元短期融资券,格隆汇
138,2021-09-23,如何增强投资者获得感？证监会副主席阎庆民提出三点意见,第一财经
139,2021-09-23,北陆药业：中金公司、财通证券等10家机构于9月22日调研我司,证券之星
140,2021-09-17,发生了什么？这家公司被股东“薅走”20亿，股价却连续涨停,Wind
141,2021-09-17,冰山冷热：财通证券于9月16日调研我司,证券之星
142,2021-09-17,方正证券研究所原所长杨仁文正式离职，下一站是这家？,Wind
143,2021-09-16,海通证券：首予财通证券(601108.SH)“优于大市”评级 合理价值区间10.55-11.95元,智通财经
