,2021-12-31,通策医疗股价半年腰斩 中泰证券国元证券8月份喊买入,中国经济网
0,2021-12-31,通策医疗(600763.SH)：入驻浙江大学校友企业总部经济园购买相关物业,格隆汇
1,2021-12-31,通策医疗(600763.SH)放弃参股公司眼科管理公司的股权优先认购权,智通财经
2,2021-12-31,2021年A股年终盘点：十大“水逆”板块在哪里？,Wind
3,2021-12-31,通策医疗：控股股东宝群实业质押255万股公司股份,中国经济网
4,2021-12-30,通策医疗(600763.SH)控股股东质押255万股,智通财经
5,2021-12-30,通策医疗：公司持续坚持总院+分院的发展模式，逐步在重点三四线城市发展蒲公英医院项目,每日经济新闻
6,2021-12-29,西南证券医药2022年度策略：未来医药估值有望均衡，“穿越医保”和“疫情脱敏”是两条核心主线,Wind
7,2021-12-28,通策医疗：宝群实业累计质押3733万股,每日经济新闻
8,2021-12-28,通策医疗(600763.SH)控股股东宝群实业解押及继续质押318万股,智通财经
9,2021-12-27,谁是医药不死族？,药智网
10,2021-12-26,卖企鹅保壳、用生命推票、为亲夫报仇……2021年20个大瓜，让股民惊掉下巴！,中证报
11,2021-12-21,董秘被股东暴打、市值不到500亿副总剖腹谢罪……今年A股十大魔幻事件大盘点,21世纪经济报道
12,2021-12-15,静待价值回归，从财务报表看通策医疗的未来,Ofweek
13,2021-12-14,通策医疗：股东累计质押情况,每日经济新闻
14,2021-12-14,通策医疗(600763.SH)：控股股东质押及解除质押230万股,格隆汇
15,2021-12-14,平安证券：海内外疫情继续，新冠检测试剂销量有望增长,财联社
16,2021-12-13,茅指数与宁组合同台竞技，两大赛道谁技高一筹？,Wind
17,2021-12-12,又见翘尾行情！茅指数王者归来 宁组合高位震荡 谁将笑到最后？,证券时报
18,2021-12-11,最惨腰斩后，“茅指数”王者归来，股王重振雄风！,Wind
19,2021-12-09,2022年医药行业策略报告：回本溯源 看好药品行业的长期投资机会,新浪
20,2021-12-09,各种茅集体大涨，外资狂买超200亿！后市如何走？,Wind
21,2021-12-09,通策医疗：公司通过参股浙江通策眼科医院投资管理有限公司18%的股权涉及眼科医疗服务,每日经济新闻
