,2021-12-31,金地集团(600383)：险资减持压力大量释放 减持股份,广发证券
0,2021-12-31,A股快报 | 21只重点房企16只上涨 金地集团上涨5.62%,观点地产网
1,2021-12-31,险资2021年加速撤离房地产 专家称“行业不确定性增大”,中国网
2,2021-12-31,地产板块午后拉升，皇庭国际涨停，招商积余等走高,证券时报网
3,2021-12-31,快讯：房地产开发板块午后拉升 金地集团涨近7%,新浪
4,2021-12-31,【行情】房地产板块异动拉升，金地集团、西藏城投涨超5%，保利发展、沙河股份、万科A、金科股份、卧龙地产等跟涨,金十数据
5,2021-12-31,房地产股午后异动拉升,Wind
6,2021-12-31,让城市更有趣——金地启汇中心样板层开放暨伙伴答谢,凤凰网
7,2021-12-31,快讯：物业管理板块持续拉升 金地集团涨近5%,新浪
8,2021-12-30,大家保险为何减持招商银行？ 险资频频减持银行、地产股背后的逻辑竟然是这样！ 减持股份,财联社
9,2021-12-30,险资“手拉手”减持房地产，曾经的偏爱还会再来吗 减持股份,北京商报
10,2021-12-30,金地集团董事会审议通过提取2020年度长期激励基金6.89亿,观点地产网
11,2021-12-30,多家房企遭遇险资减持：险资在逃离还是调仓？ 减持股份,新京报
12,2021-12-29,泰康抛售阳光城！险资撤离大势已定，投资地产还有机会吗？,野马财经
13,2021-12-29,政策回暖加速房地产行业格局重塑,和讯
14,2021-12-29,调仓+减持，市场赚钱效应衰退,Wind
15,2021-12-28,12月股东减持超650亿，45家大额解禁来袭,Wind
16,2021-12-28,每日理财观察：新版外资准入负面清单出炉,Wind
17,2021-12-28,早读拾光（12.28）丨央行：2022年稳妥实施好房地产金融审慎管理制度 华夏幸福再发债务重组计划,和讯
18,2021-12-28,陆家嘴财经早餐2021年12月28日星期二,Wind
19,2021-12-28,年末大宗交易增多，机构抢筹藏玄机,Wind
20,2021-12-27,金地集团：公司对外担保余额为104.68亿元 大额借贷担保,每日经济新闻
21,2021-12-27,金地集团为境外项目公司8150万美元贷款提供担保 大额借贷担保,乐居财经
22,2021-12-27,金地集团为纽约曼哈顿项目公司8150万美元融资提供担保 大额借贷担保,观点地产网
23,2021-12-27,A股快报 | 21只重点房企15只上涨 金地集团上涨9.9%,观点地产网
24,2021-12-27,金地集团收报12.21元涨9.9% 总市值551.2亿元,乐居财经
25,2021-12-27,500亿市值金地集团午后打开涨停板！地产ETF（159707）33%换手率持续高企！,金融界
26,2021-12-27,啥情况？大牛股10分钟“天地板”！多只股票剧烈波动,Wind
27,2021-12-27,大牛股10分钟“天地板”！多只股票剧烈波动，啥情况？“地产链”再雄起，500亿市值龙头直拉涨停,证券时报
28,2021-12-27,20万股民懵了：6倍大牛股闪崩！白酒、元宇宙大跌，500亿地产股突然涨停了,中国基金报
29,2021-12-27,金地午盘收涨9.99%，与金地商置订立2022年关连交易协议,乐居财经
30,2021-12-27,解盘：市场回暖，医药商业、基因检测、燃料电池、锂矿略涨,Wind
31,2021-12-27,A股午盘综述：资金持续涌入中药板块，碳中和、房地产、锂矿板块回暖,Wind
