,2021-12-31,金域医学：国创开元累计减持0.03%股份，减持计划届满 拟减持股份,Wind
0,2021-12-31,金域医学(603882.SH)股东国创开元减持期满 累计减持16万股 减持股份,智通财经
1,2021-12-29,金域医学：ICL龙头，特检业务发力驱动盈利能力增强,第一财经
2,2021-12-27,谁是医药不死族？,药智网
3,2021-12-25,惠民生 公立医院核酸检测再降价,中国经营网
4,2021-12-24,公司是否有支援陕西西安地区的大规模核酸检测？金域医学：公司积极参与西安新冠核酸检测工作,每日经济新闻
5,2021-12-24,金域医学：公司目前未有新冠检测试剂盒生产业务,Wind
6,2021-12-24,金域医学：公司已开展HPV相关检测,Wind
7,2021-12-22,低位股悄悄崛起，机构高关注的低位绩优股名单来了,Wind
8,2021-12-20,CXO增长可持续性强，看好中药板块投资机会,金融界
9,2021-12-19,金域医学已开展检测超3000项 推进产学研协同创新合作模式,证券日报网
10,2021-12-18,2021金域医学学术委员会年会召开 创新产学研协同模式,中证网
11,2021-12-18,金域医学可开展检测超3000项 解决医检技术“卡脖子”难题,新快报
12,2021-12-18,金域医学可开展检测超3000项，居国内行业第一,证券时报网
13,2021-12-18,钟南山：中国疫情防控有“两板斧”,Wind
14,2021-12-15,金域医学：公司暂无检验试剂及设备生产业务,Wind
15,2021-12-14,【最全】2022年独立医学实验室行业上市公司全方位对比(附业务布局汇总、业绩对比、业务规划等),前瞻研究院
16,2021-12-13,奥密克戎变异株暂未影响金域医学核酸检测方法,南都报
17,2021-12-13,冷链物流有望成为A股新赛道！国办发话，打造国际竞争力龙头,Wind
18,2021-12-08,金域医学：公司目前没有检测试剂产品生产业务,Wind
19,2021-12-08,金域医学：公司目前使用的新冠核酸检测方法可覆盖Omicron（B.1.1.529）变异株，不会造成脱靶和漏检的情况,每日经济新闻
20,2021-12-06,金域医学：与黔西南州签订粤黔东西部协作战略框架协议,e公司
21,2021-12-06,医药行业沪深港通资金医药股流向数据库,新浪
22,2021-12-05,医药行业周报：医保谈判尘埃落地 看好本土创新发力,新浪
23,2021-12-04,金域医学：实控人的一致行动人拟减持不超1769万股 拟减持股份,中国经济网
24,2021-12-04,Wind风控日报2021年12月4日星期六,Wind
25,2021-12-03,下周2549亿市值限售股解禁，环比增加697.21% 解禁,Wind
26,2021-12-03,金域医学：股东拟减持不超3.80%公司股份 拟减持股份,中证网
27,2021-12-03,晚间重要公告2021年12月3日星期五,Wind
28,2021-12-03,金域医学：股东拟合计减持公司不超3.8%股份 拟减持股份,e公司
29,2021-12-03,金域医学(603882.SH)股东鑫镘域、圣铂域及锐致拟合计减持不超3.8%股份,智通财经
30,2021-12-03,金域医学(603882.SH)：鑫镘域、圣铂域及锐致拟减持不超3.8%的股份 拟减持股份,格隆汇
31,2021-12-03,金域医学：股东拟合计减持不超过1769.22万股 拟减持股份,Wind
32,2021-11-30,金域医学(603882)：2020年股票期权激励计划授予的股票期权第一个行权期行权结果暨股份上市,资本邦
33,2021-11-30,A股午盘综述：股指横盘整理，数字货币、网络安全两翼齐飞,Wind
34,2021-11-30,470亿元资金、136起交易，医疗健康并购整合呈现出什么趋势？,36氪
35,2021-11-30,11月五大行业牛股辈出，超8成牛股日均成交翻倍,Wind
36,2021-11-30,金域医学董事长兼首席执行官梁耀铭：医检行业集中化有利做大蛋糕促进资源合理配置，行业龙头要建立生态打造意识,21世纪经济报道
37,2021-11-29,干货！2021年中国独立医学实验室行业龙头企业对比：金域医学PK迪安诊断 谁是独立医学实验室行业龙头？,前瞻研究院
38,2021-11-29,医疗健康行业周报：政策密集出台 板块压力逐步释放,新浪
39,2021-11-29,医疗健康行业：DRG/DIP支付改革提速 医保控费+利好创新,新浪
40,2021-11-26,干货！2022年中美独立医学实验室龙头企业对比——美国Labcorp VS 中国金域医学,证券之星
41,2021-11-26,医疗健康：板块具备配置价值 关注创新国际化路线,新浪
42,2021-11-25,沪深港通资金医药股流向数据库,新浪
43,2021-11-22,医疗健康：医保谈判结束 医药板块有所回暖,新浪
44,2021-11-18,与吉利德科学签署战略协议 金域医学将攻坚诊断肝炎、艾滋病检测,钢企网
45,2021-11-17,吉利德科学与金域医学深化战略合作，助力提升公众健康水平,MedTrend医趋势
46,2021-11-17,金域医学：与吉利德科学正式签署战略合作协议,e公司
47,2021-11-17,金域医学入股成立创业投资合伙企业，持股48%,乐居财经
48,2021-11-17,医药生物行业2022年年度策略：创新升级 未来已来,新浪
49,2021-11-12,沪深港通资金医药股流向数据库,新浪
50,2021-11-12,医药板块2021Q3分析暨11月月报：高基数下增速放缓 板块基本面仍旧强劲 把握配置窗口期,新浪
51,2021-11-11,明德生物：公司暂未与金域医学合作,Wind
52,2021-11-11,明德生物：公司暂未与金域医学合作,每日经济新闻
53,2021-11-05,医药行业：高基数和疫情反复下增速放缓,新浪
54,2021-11-05,“猎鹰号”移动检测车千里驰援 金域医学助力内蒙古抗击新冠肺炎疫情,凤凰网
55,2021-11-05,医疗健康产业2022年投资策略：医疗投资进入百花齐放时代 国产自主化进入新高潮,新浪
56,2021-11-04,2021年11月投资月报：医药持仓比例历史低位 自下而上布局2022年,新浪
57,2021-11-03,医疗服务行业周报：三季报披露完毕 CXO景气依旧,新浪
58,2021-11-02,投资者提问：7月27日，南京市新冠肺炎疫情防控新闻发布会通报：从已完成基因,新浪
59,2021-11-01,赵蓓、楼慧源、葛兰三位医药女神业绩哪家强,雪球
60,2021-10-30,财信证券给予金域医学推荐评级，常规业务增长迅速，业绩超预期，目标价格为117.00-136.50元,每日经济新闻
61,2021-10-29,175股获券商买入评级，恒力石化目标涨幅达226.03%,Wind
62,2021-10-29,中信建投医药大健康团队最新研究,中信建投证券研究
63,2021-10-28,ST三五：金域医学购买办公楼事项正在继续对接中,每日经济新闻
64,2021-10-28,金域医学2021年三季报点评：业绩符合我们预期，常规业务保持高速推进【东吴医药朱国广团队】,国广有话说
65,2021-10-28,东吴证券给予金域医学买入评级：业绩符合我们预期，常规业务保持高速推进,每日经济新闻
66,2021-10-28,206股获券商买入评级，新安股份目标涨幅达96.48%,Wind
67,2021-10-27,金域医学：股东君睿祺及君联茂林减持72万股公司股份 减持股份,每日经济新闻
68,2021-10-27,太平洋：给予金域医学买入评级，目标价位177.0元,证券之星
69,2021-10-27,朝闻国盛：北上连续流入破百亿,新浪
70,2021-10-27,中泰证券给予金域医学买入评级：常规业务加速恢复，新冠检测持续放量,每日经济新闻
71,2021-10-27,中泰证券：给予金域医学买入评级,证券之星
72,2021-10-27,西部证券给予金域医学买入评级：常规业务高质量发展，新冠业务持续放量,每日经济新闻
73,2021-10-27,医学诊断业务创新高 被MSCI ESG评为AA级,广州日报
74,2021-10-26,金域医学(603882)：常规业务快速增长 新冠检测持续贡献弹性,广发证券
75,2021-10-26,金域医学，见底了吗？,格隆汇
76,2021-10-26,金域医学(603882)：业绩超预期 常规业务显著提速,新浪
77,2021-10-26,金域医学(603882)：业绩略超预期 新冠贡献突出,新浪
78,2021-10-26,A股异动 | 金域医学(603882.SH)放量升超7% Q3常规业务增长提速,格隆汇
