,2021-12-31,金风科技(002202.SZ)股东三峡能源减持5323.50万股 减持期限已届满 减持股份,智通财经
0,2021-12-31,金风科技：股东三峡能源累计减持1.26%股份 减持股份,Wind
1,2021-12-31,金风科技(02208)：减持计划期限届满 三峡能源合共减持5323.5万股,智通财经
2,2021-12-31,金风科技(02208.HK)：金风越南与HBRE签署运维服务与可利用率保证协议,格隆汇
3,2021-12-31,金风科技(02208.HK)：三峡能源累计减持5323万股 减持期限已届满 减持股份,格隆汇
4,2021-12-31,海外信用评级汇总2021年12月31日星期五,Wind
5,2021-12-31,再下一城：金风科技在巴西第二个4.5MW整机供货项目签约,华夏能源网
6,2021-12-31,2021年中国海上风电行业产业链现状及市场竞争格局分析 推出数字化、平台化新机型,前瞻研究院
7,2021-12-31,金风科技在巴西第二个风电项目签约,e公司
8,2021-12-31,标普：应金风科技要求，撤销其“BB+”长期发行人信用评级,Wind
9,2021-12-30,金风科技中标波黑最大风电项目！,风力发电网
10,2021-12-29,信用债日报：各期限信用债收益率全线下行，紫光集团重整计划获表决通过,Wind
11,2021-12-29,A股新能源板块回股与展望：光伏、风电延续高景气，绿电崛起或成后市热点,21世纪经济报道
12,2021-12-29,海外信用评级汇总2021年12月29日星期三,Wind
13,2021-12-29,金风科技：公司全球累计权益并网装机容量是时点数据，考虑了期间内发生的新增并网及处置容量,每日经济新闻
14,2021-12-29,金风科技：公司向经营稳健、质量可控、合作记录良好的供应商采购零部件,每日经济新闻
15,2021-12-29,金风科技：目前公司暂未在海外建立生产基地,财联社
16,2021-12-29,穆迪：出于商业原因，撤销金风科技“Ba1”企业家族评级,Wind
17,2021-12-29,风电晚报|五分钟了解最新资讯（12月29日）,世纪新能源
18,2021-12-28,金风科技：和谐健康尚未减持,Wind
19,2021-12-28,金风科技、明阳智能、日月股份，谁是盈利能力最强的风电设备企业？,Ofweek
20,2021-12-28,金风科技：和谐健康未减持公司股份，减持时间过半,每日经济新闻
21,2021-12-28,金风科技、明阳智能、新强联，谁是成长能力最强的风电设备企业？,Ofweek
22,2021-12-28,财华盘点|“风驰电掣”引领双碳时代，风电设备概念股“发力”可期？,财华社
23,2021-12-27,中国首个海上分散式风电项目建成并网运行！,金风科技
24,2021-12-23,金风科技：第七届董事会第二十四次会议审议通过两项议案,Wind
25,2021-12-23,金风科技：第七届监事会第十四次会议审议通过三项议案,Wind
26,2021-12-23,金风科技：为公司及董事、监事及高级管理人员购买责任险,Wind
27,2021-12-23,金风科技(02208.HK)为公司及董事、监事及高级管理人员购买责任险,格隆汇
28,2021-12-23,金风科技：提议选举监事,Wind
29,2021-12-23,金风科技(02208.HK)选举王岩为监事,格隆汇
30,2021-12-23,好消息 | 坏消息 金风科技荣获第二十三届“金牛奖”双料大奖；南网科技上市,搜狐
31,2021-12-23,中金：风电风起，聚醚胺进入黄金发展期,Wind
32,2021-12-22,金风科技今日大宗交易成交30万股，成交价14.8元折价9.31%,Wind
33,2021-12-22,全国首个陆上单机6MW商业化风电项目首吊完成！,金风科技
34,2021-12-22,金风科技斩获波黑最大风电项目订单,微信
35,2021-12-22,储能闲置频现，如何避免劣币驱逐良币？,网易
36,2021-12-21,金风科技：风机制造业务不包括风机塔筒制造,每日经济新闻
37,2021-12-21,金风科技：公司主营业务包括风机制造、风电服务、风电场投资与开发,每日经济新闻
38,2021-12-21,金风科技：公司偿债能力指标处于健康水平,每日经济新闻
39,2021-12-21,融资客青睐6股，中远海科买入占比高达36.83%,Wind
40,2021-12-21,每日理财观察：LPR时隔20个月首次下调,Wind
41,2021-12-21,全球风电发展加速，未来行业空间广阔 | 开源证券电力设备与新能源,开源证券研究所
42,2021-12-21,巨头投资逾400亿元，十四五装机量超预期，持续高增长股票揭秘（附股）,证券时报网
43,2021-12-20,金风科技(02208.HK)跌近10%,钢企网
44,2021-12-20,能源策划稿三|陆风升级+海风大潮又至 风机大型化明年将提速,财联社
45,2021-12-20,金风科技12月20日大宗交易成交424.50万元,证券时报网
46,2021-12-20,A股收盘综述：创业板指跌近3%，新能源股大步回撤,Wind
47,2021-12-20,金风科技：成功签约波黑伊沃维克84MW风电项目,e公司
48,2021-12-20,掘金碳中和蓝海：工业园区如何走向“零碳”？,中国经营报
49,2021-12-20,A股午盘综述：新能源大幅调整，小市值地产股却批量涨停，N禾迈中一签赚13万,Wind
