,2021-12-31,2021年A股年终盘点：十大“水逆”板块在哪里？,Wind
0,2021-12-31,2021年A股年终盘点：十大“水逆”板块在哪里？,21世纪经济报道
1,2021-12-31,金龙鱼总裁穆彦魁详解“高质量发展”之道：重视技术研发和食品安全 朝ESG深度发展,21世纪经济报道
2,2021-12-30,年终：林园的2021，私募大佬不爱调研？,新浪
3,2021-12-30,"金龙鱼现1笔大宗交易 共成交3,772.78万元",新浪
4,2021-12-30,金龙鱼今日大宗交易成交75.14万股，成交价50.21元折价20.17%,Wind
5,2021-12-30,金龙鱼所持丸庄金龙鱼股份增至70%,乐居财经
6,2021-12-29,金龙鱼：公司会根据实际业务需求来采购花生等原材料,每日经济新闻
7,2021-12-29,金龙鱼：公司杭州央厨项目正在筹备试生产中,每日经济新闻
8,2021-12-29,金龙鱼：公司中央厨房产品范围可能会涵盖营养餐、便当以及其他特定的成品及半成品餐食类预制菜产品,每日经济新闻
9,2021-12-29,金龙鱼：植物甾醇是公司今年推出的新产品,每日经济新闻
10,2021-12-29,金龙鱼：公司部分产品是主要满足居民家庭消费的民生类产品，尽可能会维持较为稳定的价格,每日经济新闻
11,2021-12-29,深圳466家上市公司扫描：多指标领先京沪,Wind
12,2021-12-27,金龙鱼：公司每年会推出礼盒系列产品，供广大消费者选购,每日经济新闻
13,2021-12-26,2021年最后一周，20倍光伏大牛股将解禁逾260亿元！ 解禁,Wind
14,2021-12-24,金龙鱼：公司目前没有加盟直营店,每日经济新闻
15,2021-12-24,中金：2022年农业看好生猪及制种两条主线,Wind
16,2021-12-23,金龙鱼：公司杭州央厨即将进入试产阶段,Wind
17,2021-12-23,金龙鱼：公司与先正达有水稻业务方面的合作,每日经济新闻
18,2021-12-23,金龙鱼：嘉里一酒香不是公司子公司,每日经济新闻
19,2021-12-23,金龙鱼获2021中国质量奖提名,新华网
20,2021-12-22,金龙鱼：公司消毒液产品目前产能较小,每日经济新闻
21,2021-12-22,金龙鱼：公司厨房食品产品众多,Wind
22,2021-12-22,金龙鱼：公司厨房食品产品众多，包括食用油、大米、面粉、挂面、酱油、醋等,每日经济新闻
