,2021-12-31,集体崛起，自主车企加速超越「回望2021——自主逆势上扬」,华夏时报
0,2021-12-31,长城汽车(02333)与长城控股订立若干框架协议,智通财经
1,2021-12-31,长城汽车：持续关连交易续期,Wind
2,2021-12-31,长城汽车：调整董事会委员会职责及董事会委员会更名,Wind
3,2021-12-31,【数据说话】比亚迪，长城，吉利2021终极大比拼，孰更技高一筹？,财华社
4,2021-12-31,长城汽车需背水一战,钛媒体
5,2021-12-31,新凤鸣：控股股东大幅减持可转债获利 可转债已成短期获利工具？ 可转债减持,面包财经
6,2021-12-31,三大车企拟5年投4000亿研发 新能源汽车出口有望翻倍增长,新浪
7,2021-12-31,欧拉好猫“换芯”事件新进展：赔车主 1 万现金,ZAKER
8,2021-12-30,遵义有茅台、宁德拥“宁王”，快来看还有哪些城市“藏着”A股巨头,第一财经
9,2021-12-30,通威集团刘汉元：推行稳健务实、协同灵活的能源政策，助力新时期能源事业高质量发展,新京报
10,2021-12-30,智通每日大行研报丨长城汽车(02333)获机构看高至40港元 安信证券唱好商汤-W(00020),智通财经
11,2021-12-30,港股午评 | 科技股集体回暖，新股商汤涨超11%，泉峰控股涨超26%,搜狐
12,2021-12-30,“缺芯”之下，中国车企忙自研、外资公司忙赚钱「回望2021——芯片困局」,华夏时报
13,2021-12-30,招商证券国际：维持长城汽车买入评级，目标价40港元,Wind
14,2021-12-30,招商证券国际：维持长城汽车(02333)“买入”评级 目标价40港元,智通财经
15,2021-12-30,【券商聚焦】招证维持长城汽车(02333)买入评级 目标价续看40港元,和讯
16,2021-12-30,进军半导体 长城与同光股份签投资协议,汽车之家
17,2021-12-30,长城汽车(601633)：销量环比持续改善 4款车型月销创新高,新浪
18,2021-12-30,长城汽车(02333.HK)获Schroders PLC增持199.95万股,格隆汇
19,2021-12-29,长城汽车：正式进军第三代半导体核心产业,快科技
20,2021-12-29,深入布局第三代半导体核心产业 长城汽车战略领投同光股份,证券时报网
21,2021-12-29,新能源汽车混战2021：新势力“筑墙”、老玩家加速、大厂争做“跨界之王”,新浪
22,2021-12-29,魏牌变阵：智能、电动双站位，引领中国品牌向上之路,Ofweek
23,2021-12-29,安霸携手华域视觉助力智己汽车打造智能车灯系统,电子工程世界
24,2021-12-29,长城汽车魏建军：预计明年新能源汽车将开始与传统能源车争夺市场,贝壳财经
25,2021-12-29,中汽协：前11月销量排名前十位的SUV生产企业共销售528.9万辆,Wind
26,2021-12-29,民生研究｜晨听民声2021.12.29,新浪
27,2021-12-28,创新长城减持长城汽车350万张“长汽转债” 减持股份,乐居财经
28,2021-12-28,长城汽车：控股股东减持“长汽转债”350万张 减持股份,每日经济新闻
29,2021-12-28,长城汽车(601633.SH)控股股东创新长城减持“长汽转债”350万张 减持股份,智通财经
30,2021-12-28,长城汽车：控股股东减持350万张“长汽转债” 减持股份,Wind
31,2021-12-28,长城汽车：公司目前量产的乘用车车型均已配备EDR，不会对明年的正常销售造成影响,Wind
32,2021-12-28,银邦股份：公司是宁德时代、比亚迪、长城汽车、特斯拉、大众等知名汽配商的供应商,财联社
33,2021-12-28,亚太股份涨7.74%，为长城汽车开发和生产B07车型的前制动钳总成产品,乐居财经
34,2021-12-28,民生证券：给予亚太股份买入评级,证券之星
35,2021-12-28,河北最大上市公司栽了！两个月市值蒸发超2000亿，知名私募也被套,AI财经社
36,2021-12-28,【行情】港股汽车股普跌，长城汽车跌超3%，吉利汽车跌近3%，理想汽车、北京汽车跌超2%,金十数据
37,2021-12-28,【异动股】长城汽车(02333.HK)跌3.15%,财华社
38,2021-12-28,【券商聚焦】瑞信维持长城汽车(02333)跑赢大市评级 料毫末智行新品计划将提振市场信心,和讯
39,2021-12-28,长城汽车前途光明、道路模糊,虎嗅网
40,2021-12-27,【金财富早知道】2021-12-28,赢家之星
41,2021-12-27,晚间重要公告2021年12月27日星期一,Wind
42,2021-12-27,一年融资200亿元，蜂巢能源赶超“宁王”有戏？,OFweek
43,2021-12-27,构建第三生活空间，第三届汽车智能座舱与用户体验大会今日召开,盖世汽车
44,2021-12-27,亚太股份(002284.SZ)将成为长城汽车零部件开发和生产供应商,智通财经
45,2021-12-27,亚太股份：将为长城汽车开发生产B07车型前制动钳总成产品,e公司
46,2021-12-27,亚太股份(002284.SZ)：收到长城汽车新产品开发通知,格隆汇
47,2021-12-27,长城汽车对经销商违规行为做出处罚，隔壁这脸打得真疼啊！ 其他违规处罚,Ofweek
48,2021-12-27,自主新能源乘用车渗透率持续提升，品牌内部现分化趋势,中国网
49,2021-12-27,【行情】汽车整车板块开盘下挫，小康股份跌超9%，汉马科技、北汽蓝谷、长城汽车跟跌,金十数据
50,2021-12-27,汽车股下挫，小康股份大跌,Wind
51,2021-12-27,每日理财观察：养老保险机构迎强监管,Wind
52,2021-12-27,欧拉好猫投诉量创新高，车主给长城董事长写了一封信,ZAKER
53,2021-12-26,12月26日十大利好公告：顺鑫农业拟上调部分白酒产品价格,上证报
54,2021-12-26,2021年12月27日涨停板早知道：七大利好有望发酵,新浪
55,2021-12-26,欧拉好猫车主致信魏建军：建议现有宣发团队原地解散 别“自毁长城”,快科技
56,2021-12-26,联手华为推出首款鸿蒙智能汽车，小康股份为何跌停？,腾讯网
57,2021-12-24,盘后公告集锦|著名二锅头酒企宣布涨价！部分白酒产品最高提价50元,财联社
58,2021-12-24,晚间重要公告2021年12月24日星期五,Wind
59,2021-12-24,公告精选：顺鑫农业拟上调部分白酒产品价格；钧达股份拟112亿元投建光伏电池项目,e公司
60,2021-12-24,晚间公告｜12月24日这些公告有看头,第一财经
61,2021-12-24,英搏尔(300681.SZ)：收到长城汽车等客户开发定点通知书,格隆汇
62,2021-12-24,英搏尔(300681.SZ)被选定参与长城汽车“欧拉好猫”车型车载充电机开发工作,智通财经
63,2021-12-24,英搏尔：收到长城汽车等客户开发定点通知书,Wind
64,2021-12-24,A股收盘综述：吃中药喝高端酒，资金大举卖出新能源汽车股！宁王一度跌超9%,Wind
65,2021-12-24,长城汽车子公司申请元宇宙商标,Bianews
66,2021-12-24,宁德时代跌超9%，成交金额已超120亿元,Wind
67,2021-12-24,解盘：资金小额流出，食品、仿制药、新冠检测略涨,Wind
68,2021-12-24,A股午盘综述：宁王跌7%、茅台涨3%，机构重仓股一通混战！五千亿电力龙头创新高,Wind
69,2021-12-24,2021，那些汽车掌门人撂过的狠话,凤凰网
70,2021-12-24,港股汽车股走低 长城汽车跌4.9%,e公司
71,2021-12-24,【行情】港股汽车股全线走低，长城汽车(02333.HK)跌4.2%，恒大汽车(00708.HK)跌2.36%，北京汽车(01958.HK)跌2.45%，比亚迪股份(01211.HK)跌2.18%，吉利,金十数据
72,2021-12-24,汽车板块单边下滑，比亚迪、长城汽车跌超3%,Wind
73,2021-12-24,【异动股】长城汽车(02333.HK)跌3.33%,财华社
74,2021-12-24,长城汽车股份有限公司 关于控股股东减持公司A股可转换公司债券的公告 减持股份,中证报
75,2021-12-23,王传福的半个“豪言”,乐居财经
76,2021-12-23,长城汽车(02333.HK)：创新长城近期共减持“长汽转债”700万张 减持股份,格隆汇
77,2021-12-23,南向资金连续22日净买入，美团-W净买入超3亿港元,Wind
78,2021-12-23,长城汽车(02333)12月23日获控股股东创新长城减持350万张“长汽转债” 减持股份,智通财经
79,2021-12-23,长城汽车：控股股东创新长城减持可转换公司债券350万张 减持股份,每日经济新闻
80,2021-12-23,长城汽车(02333.HK)：创新长城减持“长汽转债”350万张 减持股份,格隆汇
81,2021-12-23,长城汽车(601633.SH)控股股东减持“长汽转债”350万张 减持股份,智通财经
82,2021-12-23,长城汽车：控股股东减持所持10%可转债 可转债减持,Wind
83,2021-12-23,【异动股】长城汽车(02333.HK)涨3.09%,财华社
84,2021-12-22,港股收评：科技指数延续反弹 小鹏汽车上涨6.4%,财联社
85,2021-12-22,恒生指数收涨0.57%报23102点 体育股上扬 李宁(02331)涨5.08%,和讯
86,2021-12-22,恒指收涨0.57%成交不足千亿，体育用品、汽车、科技股涨幅居前,Wind
87,2021-12-22,花旗：本土乘用车品牌11月市占率续上升 长汽及比亚迪等销售增加,格隆汇
88,2021-12-22,港股异动 | 长城汽车涨近6% 旗下自动驾驶子公司获得近10亿元A轮融资,格隆汇
89,2021-12-22,港股长城汽车涨超5%，旗下自动驾驶品牌毫末智行获得近10亿元A轮融资,Wind
90,2021-12-22,汽车与零部件：是时候寻觅世界级自主品牌车企,新浪
91,2021-12-22,恒生指数午间收涨0.33%报23047点 汽车股走强 小鹏汽车(09868)涨6.52%,和讯
92,2021-12-22,李尔携手长城汽车，共谱绚烂蓝图,盖世汽车
93,2021-12-22,港股异动 | 长城汽车(02333)涨超4% 旗下自动驾驶品牌毫末智行获得近10亿元A轮融资,智通财经
94,2021-12-22,高瓴美团投资毫末智行，投后估值超10亿美元,第一电动网
95,2021-12-22,长城汽车旗下自动驾驶品牌毫末智行获得近10亿元A轮融资,财联社
96,2021-12-22,申万宏源：政策护航叠加技术突破，混动车型国企崛起可期,智通财经
97,2021-12-22,【异动股】长城汽车(02333.HK)涨3.05%,财华社
98,2021-12-22,汽车股盘初拉升，亚星客车、比亚迪、小康股份、长城汽车涨幅靠前,Wind
99,2021-12-22,长城汽车据称接近为自动驾驶子公司募集10亿元,Wind
100,2021-12-22,自主新能源乘用车渗透率持续提升，品牌内部现分化趋势,盖世汽车
101,2021-12-21,11月交强险数据深度分析：非限购城市新能源渗透率创历史新高【安信汽车】,AX汽车研究
102,2021-12-20,中国汽车流通协会：2021年11月汽车皮卡市场分析,199IT
103,2021-12-20,港股收盘(12.20)|恒指收跌1.93% 新能源产业链、内房股领跌，稻草熊娱乐(02125)暴涨74%,智通财经
104,2021-12-20,港股异动 | 长城汽车(02333)跌6%，短期回调近30% 上月哈弗销量弱于预期,智通财经
105,2021-12-20,民生证券：给予亚太股份买入评级,证券之星
106,2021-12-20,中国汽车出口“华丽转身”,中国经营报
107,2021-12-20,一封来自欧拉车主的维权声明！长城汽车的补偿方案车主们不满意,Ofweek
108,2021-12-20,【异动股】长城汽车(02333.HK)跌3.6%,财华社
109,2021-12-19,长城汽车哈弗神兽越级上市 售价13万起,e公司
110,2021-12-18,数据解放生产力——琰究汽车数据系列（2021年11月）【华西汽车 崔琰团队】,汽车琰究
111,2021-12-18,长城汽车魏牌拿铁DHT上市,中证网
112,2021-12-18,15.98万元起，长城汽车魏牌拿铁DHT正式上市,IT之家
113,2021-12-18,新能源车市上演反转剧情：中美欧三大市场销量走高，汽车股却经历“黑色11月”,每经头条
114,2021-12-18,“吃软饭”的欧拉好猫，变成了“偷芯汉”？,虎嗅网
115,2021-12-17,公告精选：上海新阳拟共同开发半导体行业用光刻胶产品；多家公司遭证监会立案,e公司
116,2021-12-17,晚间重要公告2021年12月17日星期五,Wind
117,2021-12-17,汽车行业专题报告：驱动技术升级是拉动中国品牌向上的核心变量,新浪
118,2021-12-17,第七个子品牌 长城轿车即将回归！,和讯
119,2021-12-17,一年融资200亿，这家无钴电池鼻祖想要做老大,格隆汇
120,2021-12-17,亚太股份(002284.SZ)：收到长城汽车的定点通知 涉及M6车型的ESC产品,格隆汇
121,2021-12-17,乘联会：11月份皮卡市场销售4.8万辆，同比下降4.7%,智通财经
122,2021-12-17,上海沿浦(605128.SH)：拟发行可转债募资不超4.02亿元 用于荆门沿浦汽车零部件有限公司长城汽车座椅骨架项目等,格隆汇
123,2021-12-17,【异动股】长城汽车(02333.HK)跌4.15%,财华社
124,2021-12-17,欧拉好猫车主联合声明：长城汽车补偿方案未与车主沟通,网易
125,2021-12-17,年终冲刺倒计时 自主车企谁能过线？,华夏时报
126,2021-12-17,港股科技股市值较高位蒸发10万亿？会是布局良机？,Wind
127,2021-12-17,财信证券汽车行业2021年12月月报：乘用车产销持续恢复，新能源汽车再创历史新高,财信证券研究
128,2021-12-17,2021：恒指表现全球最差，港股“失落”根源何在,Wind
129,2021-12-17,中国汽车出口猛增实力圈粉,经济参考报
130,2021-12-16,一年融资两百亿，谁在推动蜂巢能源的“大跃进”？,环球老虎财经
131,2021-12-16,港股收评｜恒指低开高走，煤炭股全天强势，大型科技股午后回暖,腾讯网
132,2021-12-16,11月终端销量榜：理想ONE超越秦PLUS DM-i跻身前三,第一电动网
133,2021-12-16,长城“芯片门”闹大！欧拉好猫车主联合发布维权声明,快科技
134,2021-12-16,新能源汽车行业周报：中央经济会议对石墨化影响几何,新浪
135,2021-12-16,【异动股】长城汽车(02333.HK)涨3.24%,财华社
136,2021-12-16,高盛：上调长汽H股目标价至31.9港元，升评级至“中性”,Wind
137,2021-12-16,高盛：大幅上调长汽(2333.HK)目标价至31.9港元 评级升至中性,格隆汇
138,2021-12-16,纬湃科技获长城汽车逆变器大额订单,第一电动网
139,2021-12-16,【券商聚焦】高盛大升长城汽车(02333)目标价435% 看好公司未来增长前景,和讯
140,2021-12-16,高盛：上调长城汽车(02333)评级至“中性” 目标价升435.2%至31.9港元,智通财经
141,2021-12-16,【AH互动】长城汽车(02333)H股回升2% 高盛调升其目标价4.35倍至31.9元,和讯
142,2021-12-16,*高盛升长城汽车(02333)至“中性”评级 上调目标价4.35倍至31.9港元,和讯
143,2021-12-16,22股获券商买入评级，康泰生物目标涨幅达97.29%,Wind
144,2021-12-15,11月自主品牌市占率再提升 3家车企累计销量破百万辆,每日经济新闻
145,2021-12-15,盘后公告集锦|监管出手！多家“海航系”公司遭证监会立案 涉嫌信披违规,财联社
146,2021-12-15,【一语道破】“两轮”变“四轮”！李一男造车，小牛要变大牛？,财华社
147,2021-12-15,23万起！哈弗H6混动在泰国卖疯了：连续5个月上榜前三,和讯
148,2021-12-15,长城汽车哈弗H6 HEV连续5个月夺得泰国细分市场TOP 3,乐居财经
149,2021-12-15,长城继续“跑马圈地” 二十四小时连签两城,ZAKER
150,2021-12-15,长城汽车(601633)：销量环比上升 车型矩阵持续丰富,新浪
151,2021-12-15,长城汽车：7月-11月累计向泰国市场交付哈弗H6 HEV等新车2236辆,IT之家
152,2021-12-15,股价新高后不到俩月跌3成，市值蒸发一个长安，老板仍是河北首富,AI财经社
153,2021-12-15,2022车市猜想 | 自主“战”混动，合资“谋”股权，超大联屏都要争着干,第一电动网
154,2021-12-15,【中信建投 非银&金融科技】四川双马热点跟踪（一）：新能源＋半导体投资项目梳理,新浪
155,2021-12-15,站在汽车行业分水岭 长城转型稳舵立潮头,网通社
156,2021-12-14,【晚间公告抢先看】惠云钛业、中核钛白元旦起上调钛白粉销售价格；湖南天雁称短期内收入结构不会发生大变化,金融界
157,2021-12-14,“非常期待合作”！,重庆发布
158,2021-12-14,晚间重要公告2021年12月14日星期二,Wind
159,2021-12-14,2021年12月15日涨停板早知道：七大利好有望发酵,新浪
160,2021-12-14,公告精选：网上投资者弃购禾迈股份3.63亿元；中核钛白、惠云钛业上调钛白粉售价,e公司
161,2021-12-14,汇丰研究维持长城汽车“持有”评级，目标价34.4港元,乐居财经
162,2021-12-14,国泰君安：新能源汽车为行业强劲增长引擎，长汽为行业首选,富途证券
163,2021-12-14,长城将放弃收购日产西班牙工厂：年底前关闭 并购重组异常,汽车工信网
164,2021-12-14,亚太股份收到长城汽车新产品开发通知书,乐居财经
165,2021-12-14,12月14日上市公司晚间公告速递,新浪
166,2021-12-14,亚太股份(002284.SZ)将作为长城汽车的零部件开发及生产供应商,智通财经
167,2021-12-14,亚太股份：公司将作为长城汽车的零部件开发和生产供应商开发和生产CHB025A车型的电子驻车控制单元产品,财联社
168,2021-12-14,数说丨11月自主品牌市占率再提升 三家自主车企累计销量突破百万辆,每日经济新闻
169,2021-12-14,A股收盘综述：元宇宙再现涨停潮，白酒、电力、数字货币逆市上扬,Wind
170,2021-12-14,它是被资本青睐的电池新势力,搜狐
