,2021-12-31,年终盘点|医药2021：白马纷纷倒下 创新药走出温室 医改重构医药投资价值逻辑,财联社
0,2021-12-31,长春高新：重组人生长激素注射液获批增加五项新适应症,上证报
1,2021-12-31,长春高新(000661.SZ)：金赛药业重组人生长激素注射液相关剂型增加适应症获批,格隆汇
2,2021-12-31,午间公告：雄韬股份与中国南山集团围绕氢能产业链达成战略合作；长春高新重组人生长激素注射液新适应症补充申请获得批准,e公司
3,2021-12-31,长春高新：生长激素不同适应症用的药是同一种,Wind
4,2021-12-31,长春高新：公司回购的资金总额为人民币6亿元，回购价格不超过人民币400元/股,每日经济新闻
5,2021-12-30,北向资金锁定筹码连续四日扫货超125亿，招商银行获大幅净买入7.66亿元,Wind
6,2021-12-27,24股获券商买入评级，金科股份目标涨幅达131.60%,Wind
7,2021-12-24,长春高新：目前医保报销只涵盖儿童原发性生长激素缺乏症,每日经济新闻
8,2021-12-24,东莞证券维持长春高新推荐评级，12月投资事项点评：再增产品线，拓宽未来路,每日经济新闻
9,2021-12-24,东莞证券：给予长春高新买入评级,证券之星
10,2021-12-24,金赛药业加码对外投资拓宽业务结构 前三季赚30亿为长春高新贡献97%利润,新浪
11,2021-12-24,长春高新持有长春高新科贸大厦股份增至100%,乐居财经
12,2021-12-23,长春高新：利斯的明透皮贴剂中的给药方式尚未应用到生长激素相关产品中,每日经济新闻
13,2021-12-23,长春高新：拟收购杭州沃维医疗68%股份布局新生儿脑发育行业,资本邦
14,2021-12-23,长春高新发布两项投资 拓展丰富现有产品线,全景网
15,2021-12-22,五矿稀土发布战略性重组；拓普集团拟在重庆建设新能源汽车基地,21世纪经济报道
16,2021-12-22,晚间重要公告2021年12月22日星期三,Wind
17,2021-12-22,长春高新拓展新生儿领域布局 获利斯的明透皮贴剂产品相关权益,e公司
18,2021-12-22,长春高新：拟5203.5万元收购杭州沃维医疗68%股权,中华网
19,2021-12-22,长春高新(000661.SZ)：金赛药业拟斥5203.55万元投资杭州沃维医疗获其68%股权 涉足新生儿脑发育领域,格隆汇
20,2021-12-22,长春高新：子公司拟收购杭州沃维医疗68%股权 进入新生儿脑发育领域,e公司
21,2021-12-22,长春高新(000661.SZ)：金赛药业获绿叶利斯的明透皮贴剂产品内地独家商业化权利,格隆汇
22,2021-12-22,长春高新：拟5204万元收购杭州沃维医疗68%股权,财联社
23,2021-12-22,长春高新：子公司拟5203.55万元收购杭州沃维医疗68%股权,Wind
24,2021-12-22,机构高关注的低位绩优股名单来了,第一财经
25,2021-12-22,低位股悄悄崛起，机构高关注的低位绩优股名单来了,Wind
26,2021-12-22,"最会炒股的上市公司出手，携近18亿资金相中了它。16连板牛股今日停牌, 低位股悄悄崛起，机构高关注的低位绩优股名单来了",微信
27,2021-12-21,长春高新：子公司百克生物鼻喷流感疫苗已经上市销售,每日经济新闻
28,2021-12-21,请问贵公司有何策略提高业绩？长春高新：公司将积极推进现有产品销售工作，加快推进新产品上市进度,每日经济新闻
29,2021-12-21,长春高新：公司将积极关注子公司经营情况,Wind
30,2021-12-20,长春高新低门槛激励派红包,证券市场周刊
31,2021-12-20,北向资金今日再度净卖出9.71亿元，药明康德连续4日遭抛售累计出货超30亿,Wind
32,2021-12-18,同一天，多药企遭超10个北向资金席位净流出,制药网
33,2021-12-17,A股共发生144宗大宗交易成交57.17亿元（12月17日）,Wind
34,2021-12-17,长春高新跌4.55% 西部证券东莞证券高点唱多,中国经济网
35,2021-12-17,长春高新现1笔大宗交易 共成交290.50万元,新浪
36,2021-12-17,长春高新今日大宗交易成交1万股，成交价290.5元溢价0.0%,Wind
37,2021-12-17,资本逐鹿生长激素：市场前景诱人，监管利剑高悬,Wind
38,2021-12-14,北向资金再度扫货超60亿，连续7日抢筹东方财富累计加仓超近61亿元,Wind
39,2021-12-13,2021年12月13日大宗交易机构专用买入席位报告,搜狐
40,2021-12-13,"长春高新现2笔大宗交易 共成交2,527.28万元",新浪
