,2021-12-31,公告精选：贵州茅台预计2021年净利520亿元左右；长江电力减持上海电力股份,e公司
0,2021-12-31,减持川投能源不久 长江电力又减持上海电力2.41% 减持股份,e公司
1,2021-12-31,【提前看】31日公告精选：贵州茅台：预计2021年净利520亿元左右 同比增长11%；ST西源：公司实控人将发生变更,e公司
2,2021-12-31,146股本月股价创历史新高,证券时报网
3,2021-12-31,上海电力：持股5%以上股东长江电力减持2.41%股份 减持股份,资本邦
4,2021-12-31,上海电力最新公告：长江电力减持2.41%股份 减持股份,证券之星
5,2021-12-31,上海电力(600021.SH)：长江电力12月30日减持2.41%股份 减持股份,格隆汇
6,2021-12-31,上海电力(600021.SH)：长江电力减持比例达2.41% 持股降至7.56% 减持股份,智通财经
7,2021-12-31,上海电力：股东长江电力累计减持2.41%股份 减持股份,Wind
8,2021-12-30,11只股股价创历史新高,证券时报网
9,2021-12-30,长江电力将设立太和抽水蓄能电站合资公司,北极星电力
10,2021-12-30,美国三大股指收盘涨跌不一，道指连涨六日并创历史新高,Wind
11,2021-12-29,上海电力股价闪崩跌停，3家机构净卖出逾3亿元,第一财经
12,2021-12-29,长江电力(600900.SH)：拟在重庆涪陵设太和抽水蓄能电站项目合资公司,格隆汇
13,2021-12-29,长江电力(600900.SH)下属签署溪洛渡右岸电站购售电合同,智通财经
14,2021-12-29,长江电力：签订2021-2025年度溪洛渡右岸电站购售电合同,财联社
15,2021-12-29,毫无征兆！2900亿大白马闪崩跌停，抛盘汹涌而出！超级牛散坚守12年，成百亿富翁，今日浮亏超12亿！,--
16,2021-12-29,茅台暴跌1200亿：白酒股狂跌！电力牛股闪崩跌停，最强妖股又涨停,和讯
17,2021-12-28,长江电力、华能水电、国投电力，谁是盈利能力最强的水电企业？,Ofweek
18,2021-12-28,长江电力：董秘李绍平暂未在中国三峡集团二级单位担任新职位,每日经济新闻
19,2021-12-28,长江电力：公司本次参与鼎和保险增资引战，出资约27.65亿元，持股比例15%,每日经济新闻
20,2021-12-28,鼎和财险拟引战三家新股东增资64.51亿 公司称系成立以来单笔最大股权性融资,中国网
21,2021-12-28,北向资金假期后首日加仓近13亿，兴业银行、宁德时代净买入均超5亿元,Wind
22,2021-12-27,上海电力(600021.SH)：长江电力拟不再认购公司定增股份,格隆汇
23,2021-12-27,三峡能源VS长江电力～三峡虽强但是在行业大佬面前差多了,深水财经社
24,2021-12-27,2021年最后一周解禁市值超千亿元,Wind
25,2021-12-26,【德邦金工|周报】新能源集体回调，避险情绪升温 20211226,微信
26,2021-12-26,公用事业周观点：辅助服务费用向用户侧传导，调动积极性【国君公用翟堃】,煤市乾坤
27,2021-12-26,华能水电：进军光伏拓宽成长空间,每日经济新闻
28,2021-12-26,拟收购云川公司100%股权 长江电力收上交所问询函 问询,e公司
29,2021-12-25,中国能建VS长江电力～几分钟看完两个企业4年的财务报表,深水财经社
30,2021-12-24,中国结算修订形成境内外证券交易所互联互通存托凭证登记结算业务实施细则,Wind
31,2021-12-24,上交所：拟将参与中国存托凭证业务个人投资者门槛下调至50万元,Wind
32,2021-12-24,上交所向长江电力(600900.SH)发出问询函，要求评估水电站蓄水政策对下属水电站发电量的影响 问询,智通财经
33,2021-12-24,北京区域股市周报：266家机构调研太极股份 宣亚国际股价涨125.09%排第一,每日经济新闻
34,2021-12-24,A股午盘综述：宁王跌7%、茅台涨3%，机构重仓股一通混战！五千亿电力龙头创新高,Wind
35,2021-12-24,长江电力涨超3%，创历史新高,Wind
36,2021-12-24,长江电力盘中创历史新高,证券时报网
37,2021-12-24,财信证券电力行业2021年12月报：持续看好新能源发电，关注水火转型新能源,财信证券研究
38,2021-12-23,川投能源：长江电力减持公司股份约4717.86万股 减持股份,每日经济新闻
39,2021-12-23,川投能源(600674.SH)：长江电力已减持1.07%股份 减持股份,格隆汇
40,2021-12-23,川投能源：长江电力累计减持比例达1.07% 减持股份,Wind
41,2021-12-22,长江电力、华能水电、国投电力，谁是成长能力最强的水电企业？,Ofweek
42,2021-12-21,长江电力大宗交易成交591.00万元,证券时报网
43,2021-12-21,长江电力今日大宗交易成交30万股，成交价19.7元折价10.37%,Wind
44,2021-12-21,长江电力现1笔大宗交易 共成交591.00万元,新浪
45,2021-12-21,长江电力：融资余额比上日降0.21%，融券余额比上日降0.97%,资本邦
46,2021-12-21,【建投公用环保】11月火电发电量同比减少2.5%，电煤剪刀差发生反转,能源交运万维网
47,2021-12-19,周观点：11月火电发电下滑，风光增速加快【国君公用翟堃】,煤市乾坤
48,2021-12-19,北向资金大调仓！加仓“券茅”逾40亿元，减仓“药茅”超20亿元,中证报
49,2021-12-17,川投能源：股东中国长江电力股份有限公司减持公司股份约5869.04万股 减持股份,每日经济新闻
50,2021-12-17,本周11家上市公司发布可转债预案 融资总规模达99.78亿元,Wind
51,2021-12-17,川投能源(600674.SH)：长江电力累计减持1.33%股份 持股降至12.71% 减持股份,格隆汇
52,2021-12-17,川投能源(600674.SH)股东长江电力减持合计5869.04万股 减持股份,智通财经
53,2021-12-17,川投能源：长江电力累计减持1.33%股份 减持股份,Wind
54,2021-12-17,鼎和财险增资64.5亿，净利润增速放缓，关联交易占比超9成 盈利能力下降,AI财经社
55,2021-12-17,北上资金连续12天净买入，煤炭行业搭上氢能源快车,Wind
56,2021-12-16,北向资金追平年内最长净买入纪录，山西汾酒净卖出额创历史新高,Wind
57,2021-12-16,北向资金动向盘点：持续净买非银,Wind
58,2021-12-16,北向资金小幅净买入，减持医疗服务，药明康德遭甩卖近7亿元 减持股份,21世纪经济报道
59,2021-12-16,外资连续11天加仓，4000亿龙头被买爆！两大领域成扫货专区,Wind
60,2021-12-15,“电力茅”资产收购案遭小散“狙击”：中小投资者呼吁对第二步方案投反对票,21经济网
61,2021-12-15,“电力系”险企鼎和财险引战投尘埃落定：新进三名股东，募资共计64.5亿元,资本邦
62,2021-12-15,15股获券商买入评级，比音勒芬目标涨幅达46.70%,Wind
63,2021-12-15,长江电力收购资产，为什么小散要对第二步方案投否决票,阿尔法工场
64,2021-12-14,民生证券：给予长江电力买入评级，目标价位26.0元,证券之星
65,2021-12-14,三家新股东拟投资鼎和财险64.5亿元 “南方电网系”持股比例将降至65%,每日经济新闻
66,2021-12-14,电力股午后异动，华电能源拉升封板,Wind
67,2021-12-14,全球最大水电上市公司复牌，重组利好拉动股价大涨,华夏能源网
68,2021-12-14,19股获券商买入评级，中天科技目标涨幅达58.20%,Wind
69,2021-12-14,A股：重磅突发！周二，医药板块要迎来大涨吗？,搜狐
70,2021-12-13,长江电力(600900)：“乌白”盈利能力自证 注入后EPS增厚可期,新浪
71,2021-12-13,能耗“双控”转向碳“双控”意味什么,郭丽丽的研究札记
72,2021-12-13,水电龙头一日飙涨250亿，”买买买“还有未来吗？,证券之星
