,2021-12-31,独家|长江证券副总裁罗国华辞职，将出任华东一家券商总裁，多位人士“点评”他们心中的老罗 董监高成员变化,财联社
0,2021-12-31,长江证券(000783.SZ)：罗国华辞去副总裁职务 董监高成员变化,智通财经
1,2021-12-31,长江证券：副总裁罗国华辞职 董监高成员变化,Wind
2,2021-12-31,鲁泰A：长江证券、明河投资等17家机构于12月29日调研我司,证券之星
3,2021-12-30,长江证券在湖北地区有优势 ，2021年保荐17个IPO项目，同比大幅提升,每日经济新闻
4,2021-12-30,精研科技：平安资管、长江证券等17家机构于12月28日调研我司,证券之星
5,2021-12-30,帝尔激光：长江证券、中金公司等54家机构于12月28日调研我司,证券之星
6,2021-12-30,比亚迪：长江证券于12月28日调研我司,证券之星
7,2021-12-29,新能源太贵不敢买？长江证券邬博华：现在电动车估值比去年更便宜，光伏持股周期长才能赚钱,新浪
8,2021-12-29,又一券商总裁履新，系券业23年老兵！今年多家券商总裁变更,Wind
9,2021-12-28,全年IPO超500家，哪些券商投行“赚嗨”了？,Wind
10,2021-12-26,券商人手大比拼！两家头部券商扩张，年内增员均超2000,Wind
11,2021-12-25,第十六届中国上市公司竞争力、公信力“星”公司评选活动揭晓,大众证券报
12,2021-12-24,伍戈等：2022年房地产整体投资或前降后升,中新经纬
13,2021-12-24,伍戈：稳增长抓手，短期最见效依然是投资,第一财经
14,2021-12-24,A股最强投研天团诞生，长江证券获最具影响力研究机构,腾讯网
15,2021-12-23,“券业奥斯卡”新财富持续放榜：长江证券王鹤涛一举夺魁拿下钻石分析师称号,资本邦
16,2021-12-23,长江证券王鹤涛获得新财富钻石分析师,财联社
17,2021-12-23,新财富最佳分析师评选：交通运输仓储领域长江证券排名第一,澎湃新闻
18,2021-12-23,新财富最佳分析师放榜：金属和金属新材料领域长江证券第一,澎湃新闻
19,2021-12-23,四川九洲：长江证券、申万菱信基金等4家机构于12月21日调研我司,证券之星
20,2021-12-23,年内券结新基规模超1800亿，基金公司、中小券商积极布局,Wind
21,2021-12-22,新三板重要公告汇总（2021年12月22日）,同壁财经
22,2021-12-22,武汉蓝电创业板上市验收获通过，锂电行业再迎新成员,同壁财经
23,2021-12-20,曹紫建离任长江量化匠心甄选 基金年内亏损15% 基金经理离任,中国经济网
24,2021-12-20,长江证券：公司发布的证券研究报告仅面向公司白名单客户开放,每日经济新闻
25,2021-12-20,20天13板！谁在导演妖股京城股份的飙涨“戏码”,Wind
26,2021-12-19,长江证券首席经济学家伍戈：今年下半年的需求端走弱与地产有关系,新浪
27,2021-12-19,20天13板！谁在导演妖股京城股份的飙涨“戏码”？,21世纪经济报道
28,2021-12-18,玉马遮阳：library group、长江证券等32家机构于12月15日调研我司,证券之星
29,2021-12-17,理工环科：万家基金、长江证券等2家机构于12月15日调研我司,证券之星
30,2021-12-17,中钢国际：长江证券、广发基金等9家机构于12月15日调研我司,证券之星
31,2021-12-17,安信证券首席策略分析师陈果离职，下一站是这家头部券商？,Wind
32,2021-12-16,伍戈等：过紧的供给约束或逐步消退,中新经纬
33,2021-12-16,长江证券：为61家新三板股票提供做市报价服务,中证网
34,2021-12-15,长江证券：截至2021年11月底公司为61家新三板股票提供做市报价服务，排名第10,每日经济新闻
35,2021-12-14,"精心打造三大系统！长江证券财富管理转型有妙招，""长江龙""客户数量1年增长近20%",券商中国
36,2021-12-13,券源拓宽激发融券业务活力，市场竞争格局或重塑,Wind
37,2021-12-13,券源拓宽激发融券业务活力 市场竞争格局或重塑,上证报
38,2021-12-11,测算清偿率仅为0.89%！成龙建设破产重整财务迷局 减资破产,Wind
39,2021-12-10,2021中国证券公司金牛奖揭晓 长江证券获“金牛成长证券公司”等两项大奖,中证网
40,2021-12-10,测算清偿率仅为0.89%！成龙建设破产重整财务迷局 减资破产,经济观察报
41,2021-12-10,横店东磁：长江证券、富国基金等2家机构于12月7日调研我司,证券之星
42,2021-12-10,宝通科技：西部证券、长江证券等26家机构于11月22日调研我司,证券之星
43,2021-12-09,证券业“红利当头”，券商高管频频变动隐现战略转型,Wind
44,2021-12-08,浙商证券资管多起违规被罚，新规过渡期临近券商多事之秋频接罚单 金融监管处罚,21世纪经济报道
45,2021-12-08,大跌眼镜！这家券商资管遭重罚，被暂停私募备案6个月,Wind
46,2021-12-06,券商收益互换业务新规落地，41家获资质券商竞跑“新赛道”,第一财经
47,2021-12-04,太豪了！佛山大佬再施独门绝技 狂砸1.53亿奇袭智能汽车龙头,财联社
48,2021-12-03,东莞证券战队夺冠 《股东来了》2021投资者权益知识竞赛落幕,证券时报网
49,2021-12-02,真豪！又有券商出手，买下上海核心区一栋办公楼,中国基金报
50,2021-12-02,"又见券商买楼！华泰证券将在陆家嘴购置办公楼，租金太贵？近两年券商扎堆购""买房""",券商中国
51,2021-11-30,新疆证券期货业协会联手长江证券新疆分公司开展公益助学活动,证券时报网
52,2021-11-30,第三届新浪财经金麒麟家用电器行业最佳分析师：第一名长江证券（附投资观点）,新浪
53,2021-11-30,多家券商及资管子公司被罚 注册制下更需推动券商归位尽责 金融监管处罚,新浪
54,2021-11-30,江苏租赁：长江证券、西部证券等7家机构于11月24日调研我司,证券之星
55,2021-11-29,已超3000亿！券结基金井喷，券商、基金深度绑定,Wind
56,2021-11-29,2021年Wind“金牌分析师”权威揭榜,Wind
57,2021-11-29,监管鼓励券商积极布局，券结模式基金大井喷,Wind
58,2021-11-27,监管出手！三家券商及券商资管被罚，原因曝光,Wind
59,2021-11-27,监管出手！三家券商及券商资管被罚，原因曝光！ 金融监管处罚,中国基金报
60,2021-11-27,泰和新材：长江证券、长江养老等7家机构于11月24日调研我司,证券之星
61,2021-11-27,三友联众：长江证券、钦沐资产等4家机构于11月17日调研我司,证券之星
62,2021-11-26,证监会对长江证券 （上海）资管管理有限公司采取责令改正措施，该公司存在资产管理产品运作不规范等问题,智通财经
63,2021-11-26,寝室室友泄露内幕信息 70后姐弟内幕交易吉峰科技被罚没479万 金融监管处罚,新浪
64,2021-11-25,【首席视野】长江证券伍戈：地产纠偏路,和讯
65,2021-11-25,伍戈：地产政策底到市场底依稀可见,第一财经
66,2021-11-25,鸿路钢构：长江证券、鑫巢资本等3家机构于11月22日调研我司,证券之星
67,2021-11-23,稀土永磁板块沸腾了，金力永磁股价创历史新高,格隆汇
68,2021-11-20,成绩单出炉！中信证券夺得这项券商业务排名第一,中证报
69,2021-11-20,岭南股份：兴全基金、长江证券等3家机构于11月18日调研我司,证券之星
70,2021-11-19,前三季度42家券商承销发行绿色公司债和绿色ABS近千亿，中信、华泰等6家承销绿色公司债均超50亿元,每日经济新闻
71,2021-11-19,又有券商申请托管资格！今年基金托管牌照尚待零的突破,Wind
72,2021-11-17,中国短期融资券及中期票据信用分析周报,新浪
