,2021-12-31,2021年A股年终盘点：十大“水逆”板块在哪里？,Wind
0,2021-12-31,长电科技践行企业社会责任，捐资支持教育事业发展,中电网
1,2021-12-30,王顺波另起炉灶创立公司后要上市！IPO关键期被老东家告了,北京商报
2,2021-12-30,长电科技：公司未有收购封测工厂的计划,每日经济新闻
3,2021-12-29,长电科技：目前公司继续维持高产能利用率，客户需求保持强劲,每日经济新闻
4,2021-12-28,长电科技：主要客户覆盖海内外多家汽车半导体和零部件供应商，国内各个工厂均有车规产能布局,每日经济新闻
5,2021-12-28,长电科技：目前公司大股东最近披露的减持计划已经完成，公司尚未收到新的减持计划,每日经济新闻
6,2021-12-28,迈为股份(300751)：全新全开口钢板印刷技术带动银浆降本新突破,国盛证券
7,2021-12-28,苹果公布全球200大供应商，有哪些新变化？,虎嗅网
8,2021-12-22,小K播早报|首个国产元宇宙产品“希壤”开放内测 华为公布“星闪技术”,财联社
9,2021-12-21,长电科技：就甬矽电子系列侵权行为提起不正当竞争诉讼 诉讼纠纷,澎湃新闻
10,2021-12-21,专利受长电科技质疑 甬矽电子科创板IPO之路再起波澜？,财联社
11,2021-12-21,长电科技诉甬矽电子侵权，呼唤行业自律 诉讼纠纷,国际电子商情
12,2021-12-21,IPO关键期 甬矽电子被竞争对手告了,北京商报
13,2021-12-21,长电科技就甬矽电子系列侵权行为诉诸法律 诉讼纠纷,美通社
14,2021-12-20,长电科技品牌焕新，宣告企业完成阶段性跨越,北国网
15,2021-12-20,“缺芯”跟踪：供应链现状如何？,智通财经
16,2021-12-17,长电科技现1笔大宗交易 共成交218.12万元,新浪
17,2021-12-17,长电科技今日大宗交易成交7万股，成交价31.16元溢价0.0%,Wind
18,2021-12-17,封测厂商长电科技启用全新 Logo 标识,IT之家
19,2021-12-17,长电科技启用全新标识，以新形象迈向新跨越,美通社
20,2021-12-16,浙商早知道 | 12月17日,新浪
21,2021-12-16,浙江省金融控股有限公司董事长章启诚：长电科技集成电路绍兴项目拟2022年一季度投产,财联社
22,2021-12-16,浙商证券：给予迈为股份买入评级,证券之星
23,2021-12-08,盛剑环境(603324)：立足泛半导体工艺废气治理 开拓湿电子化学品系统等业务,新浪
24,2021-12-08,电子行业2022年投资策略：半导体创新与国产化并重 汽车、VR／AR空间广阔,新浪
25,2021-12-06,电子元器件周报：智能手机出货量逐步回暖 折叠屏引领消费电子新方向,新浪
26,2021-12-06,国产设备获半导体晶圆激光开槽设备订单，封测环节国产化加速,金融界
27,2021-12-05,内衣厂变身芯片王者，芝麻糊厂逆袭为OLED大佬，这些A股如变魔术！“跨界王”两年一变,e公司
28,2021-12-03,长电科技现1笔大宗交易 共成交722.61万元,新浪
29,2021-12-03,长电科技今日大宗交易成交23.89万股，成交价30.25元折价10.1%,Wind
30,2021-12-03,长电科技：长电绍兴已在江阴厂房开始投产，在绍兴本地的厂房已于今年中结顶，将于今年内开始移入设备,每日经济新闻
31,2021-12-03,迈为股份(300751)：激光开槽设备交付长电科技 看好半导体封装国产替代市场,新浪
32,2021-12-03,半导体设备行业系列报告之二：从优势富集到全面突破 后道设备将迎来国产化浪潮,新浪
33,2021-12-02,封装厂商长电科技：已完成超高密度布线，开始客户样品流程,中电网
34,2021-12-02,长电科技：目前已完成超高密度布线并开始客户样品流程，预计明年下半年量产,每日经济新闻
35,2021-12-01,奥特维(688516)：半导体键合机首批订单落地 静待大客户订单放量,新浪
36,2021-11-30,天风证券：维持长电科技(600584.SH)“买入”评级 聚焦异构集成解决方案 产品优化净利润大幅提升,智通财经
37,2021-11-29,长电科技：公司在全球拥有稳定的多元化优质客户群，客户遍布世界主要地区，涵盖系统公司、设计公司及IDM，并且许多客户都是各自领域的市场领导者,每日经济新闻
38,2021-11-29,长电科技：今年有近2/3的资本开支投入到先进封装相关的产能扩充中,每日经济新闻
39,2021-11-29,东方证券：给予长电科技买入评级，目标价位46.58元,证券之星
40,2021-11-29,东方证券首予长电科技买入评级：先进封装全面布局，本土配套需求提升,每日经济新闻
41,2021-11-29,科技硬件周报：功率半导体高景气度有望延续、关注5G+AIOT投资机遇,新浪
42,2021-11-28,电子行业周报：估值开始切换 乐观反映明年苹果、MINILED、半导体设备,新浪
