,2021-12-31,银河证券：电子行业盈利端有望维持快速增长,Wind
0,2021-12-31,银河证券：电子行业盈利端有望维持快速增长,证券时报网
1,2021-12-31,闻泰科技：于12月29日调研我司,证券之星
2,2021-12-30,闻泰科技今日大宗交易成交104.74万股，成交价129.53元折价1.8%,Wind
3,2021-12-30,闻泰科技现3笔大宗交易 合计成交52.37万股,证券时报网
4,2021-12-30,"闻泰科技现3笔大宗交易 共成交6,783.48万元",新浪
5,2021-12-30,北向资金锁定筹码连续四日扫货超125亿，招商银行获大幅净买入7.66亿元,Wind
6,2021-12-30,闻泰科技：半导体业务受益于新能源汽车发展产品需求强劲,Ofweek
7,2021-12-30,年终盘点：2021年半导体行业中资海外并购十大交易,搜狐
8,2021-12-30,北向资金动向盘点：食品饮料低迷，逆市抄底净买,Wind
9,2021-12-30,北向资金大幅减持医疗服务业逾10亿元，这些个股遭抛售（名单） 减持股份,21世纪经济报道
10,2021-12-29,【焦点】“千亿白马”闻泰科技（600745.SH）股价下挫，卖方紧急辟谣！,财华社
11,2021-12-29,沪港通十大成交活跃股排名（12月29日）,Wind
12,2021-12-29,闻泰科技陷“谣言”旋涡股价暴跌 浙商证券分析师发文澄清后又删 真相几何？,中国经济网
13,2021-12-29,北向资金年末交投持续低迷净买入逾6亿元，连续4日加仓宁德时代累计扫货超20亿,Wind
14,2021-12-29,闻泰科技：公司经营正常,每日经济新闻
15,2021-12-29,A股午盘综述：白酒板块熄火，贵州茅台、五粮液、泸州老窖大步回撤,Wind
16,2021-12-29,苹果板块持续走软，闻泰科技、兆易创新、蓝思科技、长信科技领跌,Wind
17,2021-12-28,卖方研究年底辟谣忙，又有券商研究“被迫”回怼传闻，闻泰科技身处传闻漩涡，究竟被传了什么,财联社
18,2021-12-28,12万股东蒙圈！千亿科技巨头闪崩，机构澄而不清，网友：到底啥谣言啊？,新浪
19,2021-12-28,连投两只半导体基金，董明珠造芯是认真的？,虎嗅网
20,2021-12-28,闻泰科技获得三星卓越质量供应商奖,中证网
21,2021-12-28,一个月之内连投两只半导体基金，董小姐造芯是认真的？,投中网
22,2021-12-28,浙商固收声明：从未发布过闻泰科技公司情况的不实消息,财联社
23,2021-12-28,苹果公布全球200大供应商，有哪些新变化？,虎嗅网
24,2021-12-27,半导体周报：第三代半导体：我国公司厚积薄发 未来可期,新浪
25,2021-12-23,谁在头部？2021手机产业链英雄榜TOP50出炉,维库电子市场
26,2021-12-22,芯片板块强势拉涨，韦尔股份、闻泰科技、兆易创新齐升,Wind
27,2021-12-21,2021年中国功率器件行业竞争格局及市场份额分析 高端产品竞争力仍需提升,前瞻研究院
28,2021-12-21,拟出售紫光部分资产抵债前，健坤集团所持股权已遭法院冻结,国际电子商情
29,2021-12-21,闻泰科技：发挥安世子公司ITEC自动化设备所具备的先进封装测试优势，未来将规模应用在公司的产品集成业,每日经济新闻
30,2021-12-20,闻泰科技安世半导体马来西亚封测厂大幅扩产 产能提升 85%,财经网
31,2021-12-17,晨会聚焦211217重点关注社会服务行业、闻泰科技、房地产、港股,国信研究
32,2021-12-17,赵伟国回应紫光重组国有资产流失，管理人回击称干扰重整,Wind
33,2021-12-17,29股获券商买入评级，大族激光目标涨幅达48.43%,Wind
34,2021-12-16,闻泰科技(600745.SH)股东昆明产投解除质押1190万股,智通财经
35,2021-12-16,闻泰科技(600745.SH)：昆明产投解质1190万股,格隆汇
36,2021-12-16,闻泰科技(600745)：构筑智造平台 实现客户及产品结构再进阶,新浪
37,2021-12-16,闻泰科技：布局汽车电子、跻身苹果供应链，不断开辟新蓝海谋求大发展,中金在线
38,2021-12-16,新鲜早科技丨字节跳动撤销人才发展中心；爱奇艺会员再涨价；顺丰同城试水社交拼单,21世纪经济报道
39,2021-12-15,连续拿下苹果、三星大单！曝闻泰科技获三星4000万台手机ODM订单,快科技
40,2021-12-15,消息称闻泰科技拿下三星 2022 年 4000 万台手机 ODM 订单,IT之家
41,2021-12-15,产业链人士：闻泰科技拿下三星2022年约4000万台手机ODM订单,中证网
42,2021-12-14,苹果板块稳步拉升，安洁科技封住涨停板,Wind
43,2021-12-14,电子行业2022年度策略报告：半导体国产替代进程深化 汽车电子引领需求增长,新浪
44,2021-12-14,【银河电子傅楚雄/王恺】行业周报丨硅片出货创历史新高，未来仍面临供需缺口,中国银河证券研究
45,2021-12-13,闻泰科技：目前公司首款智能座舱产品成功通过客户审核，进入样机阶段,每日经济新闻
46,2021-12-13,半导体产业链异动拉升,Wind
47,2021-12-11,揭秘“并购狂人”智路资本的投资“阳谋”,中国经营网
48,2021-12-10,闻泰科技已向苹果公司批量出货摄像头模组产品,中证网
49,2021-12-10,【晚间公告抢先看】顶固集创应收恒大集团及其成员已逾期未兑付商票约2573万元、受疫情影响多家公司临时停产,金融界
50,2021-12-10,闻泰科技：产品按照出货计划进入正式量产及常态化批量出货阶段,财联社
51,2021-12-10,闻泰科技：前期送样产品已通过境外特定客户最终验证,Wind
52,2021-12-10,闻泰科技：公司已从研发、产能、工艺、客户资源等方面构建了公司发展IGBT业务的核心竞争壁垒,每日经济新闻
53,2021-12-10,闻泰科技：收购安世后，也导入了中国的新能源汽车客户与电力客户等,每日经济新闻
54,2021-12-09,闻泰科技现1笔大宗交易 共成交473.87万元,新浪
55,2021-12-09,五方光电：闻泰科技在收购事项完成后是公司潜在的间接客户之一,每日经济新闻
56,2021-12-09,闻泰科技今日大宗交易成交3.50万股，成交价135.39元溢价0.0%,Wind
57,2021-12-09,北向资金狂买A股超200亿净买入额创历史次高，继续大幅抢筹白酒股,Wind
58,2021-12-09,闻泰科技：公司安世半导体产品被广泛应用在汽车电子、工业控制、消费电子等领域,每日经济新闻
59,2021-12-09,五方光电：“闻泰科技”在收购“欧菲光”原塔尔塔资产事项完成后是公司潜在的间接客户之一,Wind
60,2021-12-09,闻泰科技：MOSFET是公司重要产品类型之一，其中，车规Mos全球市场排名第2,每日经济新闻
61,2021-12-08,电子行业2022年投资策略：半导体创新与国产化并重 汽车、VR／AR空间广阔,新浪
62,2021-12-07,闻泰科技：未来，公司从消费领域向工业、IOT领域、汽车电子领域的产品拓展,每日经济新闻
63,2021-12-07,资金流向分析,新浪
64,2021-12-06,电子元器件周报：智能手机出货量逐步回暖 折叠屏引领消费电子新方向,新浪
65,2021-12-05,内衣厂变身芯片王者，芝麻糊厂逆袭为OLED大佬，这些A股如变魔术！“跨界王”两年一变,e公司
66,2021-12-03,千亿市值芯片股“排队”涨停，下个会是谁？,格隆汇
