,2021-12-31,A股2021完美收官！多项历史纪录被打破,Wind
0,2021-12-31,阳光电源：目前公司1000标方碱性制氢系统和兆瓦级PEM制氢系统产品，已经在吉林等地有多个项目应用,每日经济新闻
1,2021-12-31,阳光电源：公司风电变流器市占率在国内处于行业领先水平,每日经济新闻
2,2021-12-31,阳光电源：阳光氢能的产业化项目正在环评申报阶段,每日经济新闻
3,2021-12-31,阳光电源：公司产品不存在积压情况,每日经济新闻
4,2021-12-31,阳光电源：公司正在按计划推进相关组件级电力电子产品,每日经济新闻
5,2021-12-31,阳光电源：公司组件不存在高库存的情况，不会造成去库存压力,每日经济新闻
6,2021-12-31,阳光电源：公司在印度已有10GW产能生产基地,每日经济新闻
7,2021-12-31,阳光电源：公司订单采用的国际贸易术语以CIF、DAP为主，部分为FOB、EXW、DDP等,每日经济新闻
8,2021-12-31,阳光电源：公司产品已批量销往美国、德国、印度、西班牙等150多个国家和地区,每日经济新闻
9,2021-12-31,阳光电源：目前微逆主要应用于欧美户用市场,每日经济新闻
10,2021-12-31,北向资金年内加仓超4300亿元创历史新高，宁德时代全年净买入超300亿,Wind
11,2021-12-31,隆基股份、阳光电源双双涨超5%，拉动新能源ETF涨近3%,财经网
12,2021-12-31,光伏风电储能：华创证券坚定看好新能源“三剑客”,智通财经
13,2021-12-31,利好刺激光伏股集体走强：隆基、通威和阳光电源均涨超6%,格隆汇
14,2021-12-31,光伏板块拉升，隆基股份、阳光电源、通威股份均升超5%,Wind
15,2021-12-30,2022年储能起飞？指数已涨72%，锂电巨头抢滩，这些公司要盯紧,时代财经
16,2021-12-30,一图掌握2022中国经济、楼市、股市走势，机会在哪,Wind
17,2021-12-29,光伏行业2022年投资策略：全球需求维持高景气 关注边际改善环节,新浪
18,2021-12-29,两年涨幅高达1200%，阳光电源还值得投资吗？,网易
19,2021-12-29,电力系统新规出台利好国内大储能规模扩张；“猪周期”全面配置时点已至,开源证券研究所
20,2021-12-28,【特约大V】龚成：碳中和令储能电站成为高增长行业,和讯
21,2021-12-28,【行情】光伏股午后集体走强，其中，捷佳伟创涨5%，东方日升、福斯特、隆基股份、中来股份涨超4%，中环股份和上能电气涨超3%，锦浪科技、阳光电源、秀强股份涨超2%，通威股份涨近2%,金十数据
22,2021-12-28,【储能大会】阳光电源储能解决方案总监汪东林确认出席2022储能技术与应用在线峰会并发表演讲,Ofweek
23,2021-12-28,阳光电源：打破业绩增长“玻璃顶”，频频扩产抢占腾飞先机,搜狐
24,2021-12-28,阳光电源先拔头筹！320亿广东市场启航,Ofweek
25,2021-12-28,机构且战且退，新能源板块何去何从,Wind
26,2021-12-27,新能源板块终于回血，机构却在悄悄出货……,Wind
27,2021-12-27,硅片采购框架合同,索比光伏网
28,2021-12-27,最新融资客与北上资金重点加仓名单,Wind
29,2021-12-27,揭秘“史上最贵”新股：禾迈股份“小而美”？,中国经营网
30,2021-12-27,新能源电力设备周观察：宁德支付恩捷8.5亿预付款 江苏绿电溢价7分/度,新浪
31,2021-12-27,电力设备行业周报：关注氢能环节,新浪
32,2021-12-26,【国金电新&汽车】年末风格平衡引发板块调整，扎实基本面支撑加仓信心,新兴产业观察者
33,2021-12-24,英飞凌大中华区历史上首次跨行业生态圈大会即将在深圳举办,美通社
34,2021-12-24,阳光电源：“逆”好！迪拜世博会,索比光伏网
35,2021-12-23,保利协鑫完成近50亿港元配股 多方消息称高瓴资本、新华资产领投,21世纪经济报道
36,2021-12-23,三大指数小幅收涨 机构称从结构性向全面性配置倾斜 | 思维市场关注,中金在线
37,2021-12-23,阳光电源拟建设孟加拉国最大的光伏电站,财联社
38,2021-12-23,北向资金动向盘点：集中净卖金融股,Wind
39,2021-12-23,产能过剩PK技术变革，光伏行业风险与机遇共存,Wind
40,2021-12-22,北向资金连续4日净卖出累计出货超百亿，立讯精密遭大幅净卖出6.46亿元,Wind
41,2021-12-22,绝大部分超募资金竟用于理财！谁铸成了最贵新股的“吊诡”？,21世纪经济报道
42,2021-12-22,融资客青睐2股，凤凰股份买入占比高达35.20%,Wind
43,2021-12-22,11月光伏数据：户用贡献结构性亮点,新浪
44,2021-12-22,北向资金连续三日出逃，增减持行业一览（附股） 减持股份,21经济网
45,2021-12-22,北向资金动向盘点：观望，厌恶高估值,Wind
46,2021-12-21,阳光电源大宗交易成交1.69万股 成交额202.80万元,证券时报网
47,2021-12-21,北向资金交投意愿转淡连续3日净卖出，白酒、新能源均遭出货,Wind
48,2021-12-21,阳光电源现1笔大宗交易 共成交202.80万元,新浪
49,2021-12-21,阳光电源今日大宗交易成交1.69万股，成交价120.0元折价11.32%,Wind
50,2021-12-21,“最贵新股”被质疑券商标错小数点？超募45亿资金买理财引争议,中新经纬
51,2021-12-20,史上最贵新股光伏新秀逆袭：从弃购率6.5%到单签盈利13万,澎湃新闻
52,2021-12-20,电新下挫A股杀跌，涨停公司数与市场走势相背离,Wind
53,2021-12-20,光伏协会下调2021年装机预测至45-55GW，阳光电源跌破震荡平台,阿尔法工场
54,2021-12-20,A股收盘综述：创业板指跌近3%，新能源股大步回撤,Wind
55,2021-12-20,禾迈股份首日上市暴涨47%，弃购者一天少赚10W+,格隆汇
56,2021-12-20,A股午盘综述：新能源大幅调整，小市值地产股却批量涨停，N禾迈中一签赚13万,Wind
57,2021-12-19,2021年A股年终盘点：十大超级牛股关键词,Wind
58,2021-12-18,富时中国指数成分股大调整，外资布局2022年,Wind
59,2021-12-17,A股“定增潮”新能源成主角，“定增过度”隐忧浮出水面,红周刊
60,2021-12-17,一签28万的“史上最贵新股”，“真龙”还是“碰瓷儿”？,虎嗅网
61,2021-12-17,阳光电源(300274.SZ)实控人曹仁贤质押210万股,智通财经
62,2021-12-17,阳光电源：截至本公告日，曹仁贤累计质押股数为934万股,每日经济新闻
63,2021-12-17,北向资金结束连续12日净买入，药明康德遭大幅抛售超10亿元,Wind
64,2021-12-17,光伏板块午后持续下滑，隆基股份、阳光电源、通威股份跌超4%,Wind
65,2021-12-17,阳光电源：光伏-制氢发展模式经济性分析,索比光伏网
66,2021-12-17,【机会挖掘】我国新型储能装机规模年底将超400万千瓦 行业处于爆发初期,证券时报网
67,2021-12-17,听！来自阳光电源的“渔光”曲,索比光伏网
68,2021-12-17,北向资金动向盘点：近两周加仓“非银”已超百亿,Wind
69,2021-12-17,北向资金买入力度加大，抢筹钢铁行业（名单）,21世纪经济报道
70,2021-12-17,北上资金连续12天净买入，煤炭行业搭上氢能源快车,Wind
71,2021-12-16,北向资金追平年内最长净买入纪录，山西汾酒净卖出额创历史新高,Wind
72,2021-12-16,氢能源板块掀涨停潮，全国多地政策力挺，有望形成数千亿级市场,金融界
73,2021-12-16,东方财富、阳光电源等25股获北向资金增持额超亿元,证券时报网
74,2021-12-16,北向资金动向盘点：持续净买非银,Wind
75,2021-12-16,北向资金小幅净买入，减持医疗服务，药明康德遭甩卖近7亿元 减持股份,21世纪经济报道
76,2021-12-16,外资连续11天加仓，4000亿龙头被买爆！两大领域成扫货专区,Wind
77,2021-12-16,直击光伏行业年度大会：硅料暴涨后怎么走？明年将是光伏大年？,Wind
78,2021-12-15,北上资金今日净买入东方财富7.19亿元、阳光电源4.96亿元，净卖出药明康德6.96亿元、平安银行5.12亿元。,财联社
79,2021-12-15,北向资金流入放缓仍连续11日加仓A股，药明康德遭大幅抛售,Wind
80,2021-12-15,阳光电源与中广核新能源在光风储电氢等领域进一步合作,北极星电力
81,2021-12-15,中光防雷：目前合作的公司有阳光电源、特变电工、爱士惟等,Wind
82,2021-12-15,第二批风光大基地版图拉开帷幕 三大板块两大主线如何掘金,投资者网
83,2021-12-14,阳光电源：与中广核新能源签署战略合作协议,e公司
84,2021-12-14,小小石英砂，育出千亿产业链,Wind
85,2021-12-13,传统蓝筹“王者归来”，市场风格切换在即？,Wind
86,2021-12-13,茅指数与宁组合同台竞技，两大赛道谁技高一筹？,Wind
87,2021-12-11,华为，隐形光伏霸主！,新浪
88,2021-12-11,最惨腰斩后，“茅指数”王者归来，股王重振雄风！,Wind
89,2021-12-11,A股“定增潮”新能源成主角，“定增过度”隐忧浮出水面,红周刊
90,2021-12-10,阳光电源实力“接盘”！中东北非最大技改项目满周年,索比光伏网
91,2021-12-10,新增+存量替换双重驱动 阳光、华为、锦浪等再迎新周期风口,索比光伏网
92,2021-12-10,“史上最贵新股”询价报价首尾相差14倍！机构吵翻了,Wind
93,2021-12-10,新股破发频现，打新基金收益率面临考验,Wind
94,2021-12-09,天源迪科：与阳光电源合作，我们主要负责该系统功能类的建设，阳光电源进行后期运营和续建，系统于2015年3月正式上线，截止目前，该平台一直在稳定运行,每日经济新闻
95,2021-12-09,阳光电源：公司定增募投项目正按计划推进,每日经济新闻
96,2021-12-09,阳光电源：阳光氢能已建有国内首个光伏离网制氢及氢储能发电实证平台、国内最大的5MW电解水制氢系统测试平台、PEM电解制氢技术联合实验室,每日经济新闻
97,2021-12-09,盛弘股份：公司与阳光电源都有储能逆变器产品,每日经济新闻
98,2021-12-09,阳光电源：公司目前与国内前十大风电整机厂均实现批量合作,每日经济新闻
99,2021-12-09,阳光电源：前三季度风电变流器出货10GW,每日经济新闻
100,2021-12-09,阳光电源：阳光氢能目前拥有制氢电源、制氢装置及系统应用等多个专项专利 具备大批量生产和交付的能力,财联社
101,2021-12-09,阳光电源：海外业务FOB条款占比较小,Wind
102,2021-12-09,阳光电源：目前公司自持电站约600MW,每日经济新闻
103,2021-12-09,阳光电源：海外业务FOB条款占比较小,每日经济新闻
104,2021-12-09,阳光电源：目前欧美线运价较三季度末有小幅下滑，但仍处于高位,每日经济新闻
105,2021-12-09,隆基股份、通威股份、阳光电源，谁是成长能力最强的光伏设备企业？,Ofweek
106,2021-12-09,阳光电源120kW集成充电桩寿命长达十年，你见过吗？,Ofweek
107,2021-12-09,史上最贵新股今日申购！中一签需近28万，中了签也没钱交款？,Wind
108,2021-12-09,禾迈股份天价发行惹争议，超募资金逾10倍面临破发风险,Wind
109,2021-12-08,电力设备及新能源行业2022年度投资策略：双碳元年风电光伏坚定成长 储能行业蓄势待发,新浪
110,2021-12-08,禾迈股份天价发行惹争议，超募资金逾10倍面临破发风险考验 运营能力下降,21世纪经济报道
111,2021-12-08,电力设备与新能源行业专题策略报告：电动车蓬勃发展 风光储吹响碳中和冲锋号角,新浪
112,2021-12-08,A股最贵新股诞生，中一签要28万，会被弃购吗？,证券之星
113,2021-12-08,阳光电源：124.5MW！中国单体最大技改项目成功并网！,索比光伏网
114,2021-12-08,电力设备及新能源行业：电价政策组合拳 引燃工商业储能市场,新浪
115,2021-12-08,氢能产业链深度研究：好风凭借力 送我上“氢”云,新浪
116,2021-12-07,电气设备新能源行业2022年投资策略：风光蓄势待发、电力设备迎新机遇,新浪
117,2021-12-07,北向资金今日净买入79.49亿元，继续抄底大金融板块,Wind
118,2021-12-07,电气设备行业周报：光伏硅片下调报价 产业博弈出现拐点,新浪
119,2021-12-07,电力设备与新能源报告：重点省份规划明确 指引海上风电高速发展,新浪
120,2021-12-07,光伏行业周报：硅片龙头下调报价 第二批风光大基地启动申报,新浪
121,2021-12-06,首日认购超30亿元，有渠道预售“半日售罄”！,Wind
122,2021-12-06,电气设备行业投资策略：回归本质属性的高增长一年 重视供给端变革,新浪
123,2021-12-06,电气设备行业周报：11月新势力销量大超预期 欧洲销量环比回暖,新浪
124,2021-12-06,电力设备新能源行业周报：“蔚小理哪”11月销量破万 第二批风光大基地启动,新浪
125,2021-12-06,阳光电源IDC120集成充电桩正式量产上市,质量新闻网
126,2021-12-06,2021年基金，买了个“寂寞”,Wind
127,2021-12-06,上能电气高管违规收警示函，Q3毛利下滑营收净利双降，股价比龙头“贵” 金融监管处罚,财联社
128,2021-12-06,环保与公用事业行业周报(2021年第46期)：工业和信息化部印发工业绿色发展规划 加快能源消费低碳化转型,新浪
129,2021-12-05,【国金电新&汽车】硅片降价促产业链新平衡，动力电池安全性要求提升带来新机会，氢能板块聚焦广东机会,新兴产业观察者
130,2021-12-05,电气设备行业周报：硅片加速尺寸变革推动降本 11月国内外电车销量持续向上,新浪
131,2021-12-05,新能源行业每周观察：行业趋势已成：详解长沙国际储能大会四大看点,新浪
132,2021-12-05,下周操盘攻略：均衡配置成长与价值,Wind
133,2021-12-05,中国ESG500强电力设备行业榜单发布 阳光电源喜提总榜分榜双料第一,新浪
134,2021-12-04,2021中国ESG企业500强：阳光电源排名第一,索比光伏网
135,2021-12-04,电力设备新能源行业氢能专题研究之一：氢能重点产业链介绍,新浪
136,2021-12-04,深度*行业*新能源发电行业2022年度策略：奋楫扬帆正当时 抖擞精神再出发,新浪
137,2021-12-04,北上资金年度净买入刷新历史纪录,Wind
138,2021-12-03,阳光电源(300274.SZ)：拟以债转股对阳光新能源增资19.712亿元及其实施股权激励,格隆汇
139,2021-12-03,晚间重要公告2021年12月3日星期五,Wind
140,2021-12-03,阳光电源(300274.SZ)拟以债转股方式对阳光新能源增资19.71亿元,智通财经
141,2021-12-03,阳光电源：公司累计对外担保总额为不超过138.7亿元 大额借贷担保,每日经济新闻
142,2021-12-03,阳光电源：拟以债转股方式对阳光新能源增资19.7亿元,财联社
143,2021-12-03,设计使用寿命20年 阳光电源IDC120集成充电桩正式量产上市,凤凰网
144,2021-12-03,阳光电源IDC120集成充电桩量产上市,证券时报网
145,2021-12-03,光储充一体化有何喜与忧？,Ofweek
146,2021-12-03,次新基金首尾相差超100个百分点，新能源主题表现亮眼,Wind
147,2021-12-02,安徽高院党组书记、院长董开军一行调研阳光电源,索比光伏网
148,2021-12-02,惊呆了！次新基金首尾业绩相差100个百分点,Wind
149,2021-12-02,北向资金：光伏龙头是最爱，近期大幅加仓光伏设备企业,索比光伏网
150,2021-12-02,港股盘前必读：腾讯控股拟向不少于25700位奖励人士授予441万股奖励,Wind
151,2021-12-02,"重大调整！富时罗素大动作，4700亿白马被""意外剔除""，咋回事？3股新晋""A50""，外资270亿狂买这1股",券商中国
152,2021-12-01,北上资金活跃股名单(12月1日),证券时报网
153,2021-12-01,运达股份党委书记、董事长高玲一行到访阳光电源,索比光伏网
154,2021-12-01,富时罗素：亿纬锂能等三股获纳入富时中国A50指数,Wind
155,2021-12-01,北向资金12月首个交易日加仓A股30亿，紫光国微净买入超6亿元,Wind
156,2021-12-01,TüV南德授予阳光电源光伏逆变器SG125HX VDE-AR-N4110/4120德国中高压并网证书,索比光伏网
157,2021-12-01,晶科、天合、隆基、阳光电源等入选SolarQuotes最新TOP5 组件&逆变器品牌,Ofweek
158,2021-12-01,中光防雷：目前合作的公司有阳光电源、特变电工、爱士惟等,每日经济新闻
159,2021-12-01,午盘解读：两市涨跌互现 氦气概念领涨*何玮,新浪
160,2021-12-01,组件单价新低1.66元/W！隆基、天合、晶澳、阳光、固德威等16家企业中标组件/逆变器/支架项目,索比光伏网
161,2021-12-01,前11个月最牛基金大赚122%！部分领跑选手“跑岔了”,Wind
162,2021-12-01,隆基降价影响3万亿板块、神秘资金尾盘抢筹股曝光,Wind
163,2021-12-01,中证1000指数创逾4年新高，MSCI指数调整生效日多股异动,Wind
164,2021-11-30,12月2日中老铁路开通，相关概念股将受益,凤凰网
165,2021-11-30,北向资金今日净卖出超34亿元11月累计加仓185亿，贵州茅台连续3日遭抛售,Wind
166,2021-11-30,全国上下一盘棋 新能源政策推动储能板块持续上涨,和讯
167,2021-11-30,阳光电源：协同创新，致胜风电新时代,中国能源网china5e
168,2021-11-30,宁德时代、阳光电源等40股获北向资金增持额超亿元,证券时报网
169,2021-11-30,北向资金动向盘点：再次转向电力设备新能源,Wind
170,2021-11-30,锂电池继续活跃，北向资金加仓电池行业8.88亿元，大幅减持这只白酒股（名单） 减持股份,21世纪经济报道
171,2021-11-30,【中证盘前】新力金融提示重组暂停、中止或取消风险,中证报
172,2021-11-29,光伏行业周报：新版光伏开发管理办法征求意见 产业链价格下降,新浪
173,2021-11-29,北向资金今日净买入逾32亿元，这些股获加仓,第一财经
174,2021-11-29,华锦股份：公司下属乙烯分公司已具备生产高密度聚乙烯光伏桶专用料产品的能力,Wind
175,2021-11-29,电气设备行业周报：关注分布式光伏及逆变器环节,新浪
176,2021-11-29,卧龙电驱(600580)：全球电机龙头 充分受益节能减排趋势,新浪
177,2021-11-29,光伏设备板块走强，逆变器迎来政策利好，核心受益标的有哪些？,财联社
178,2021-11-29,解盘：股指震荡走高，锂电、储能、肺炎检测领涨,Wind
179,2021-11-29,储能概念股异军突起，鹏辉能源涨超10%,Wind
180,2021-11-29,电力电气设备、公用事业：分布式光伏安全标准征求意见 有望加速行业发展规范化、格局集中化,新浪
181,2021-11-29,电力电气设备、公用事业：硅片跌幅扩大 政策首提分布式规范化,新浪
182,2021-11-29,阳光电源曹仁贤一行拜会青海省委常委、常务副省长李杰翔,索比光伏网
183,2021-11-28,【国金电新&汽车】光伏供需博弈坚冰渐消融，汽车智能化进入快速上升通道，2022年电池涨价预期强烈,新兴产业观察者
184,2021-11-26,光伏电站智慧运维,光伏能源圈
185,2021-11-25,高盛：明年沪深300挑战5500点！看好这些板块,Wind
186,2021-11-25,结构化行情松动？国际投行喊话2022年超配A股,Wind
187,2021-11-24,结构化行情松动？底部小票开始迎接“20CM盛宴”,Wind
188,2021-11-24,阳光电源(300274.SZ)控股股东曹仁贤解质1200万股及质押270万股,智通财经
189,2021-11-24,阳光电源：曹仁贤累计质押724万股,每日经济新闻
190,2021-11-24,资金流向分析,新浪
191,2021-11-24,复制刘格菘、赵诣传奇？今年两只“翻倍基”被他包揽,Wind
192,2021-11-23,IHS Markit：2020全球光伏开发榜，国家电投、阳光电源分列投资商、开发商全球第一,中国能源网
193,2021-11-23,十万亿规模氢能产业启航 宝丰能源阳光电源等上市公司深度布局,中国网
194,2021-11-23,【中银电新】新能源发电：美众议院通过刺激法案，新能源需求有望提升,老成之见
195,2021-11-23,中金：2022年将迎来光伏装机需求大年,Wind
196,2021-11-23,阳光电源：储能的“螃蟹”怎么吃,中国能源网china5e
197,2021-11-23,储能行业乘势而上，品牌与渠道为王，头部效应明显,中国能源网china5e
198,2021-11-23,华创证券：全年硅料仍保持供需紧平衡状态，关注四条主线,Wind
199,2021-11-22,电力设备与新能源行业周报：22 年底新能源车渗透率或超35% 光伏组件出口高增,广发证券
200,2021-11-22,新能源行业每周观察：刚柔并济、海陆共进 直流输电开启新时代,新浪
201,2021-11-22,宁德时代跃居A股市值第二，新能源成大市值公司进阶秘籍,Wind
202,2021-11-22,新能源行业周报：10月出口数据强劲 国内外需求依然无忧,华安证券
203,2021-11-22,安徽5.8GW风光项目优选公示！阳光电源900MW领衔,索比光伏网
204,2021-11-21,【东吴电新】2021Q3新能源板块总结：光伏持续分化，龙头恒强，风电一超多强,新兴产业汇
205,2021-11-21,下周操盘攻略：波动将明显加剧,Wind
206,2021-11-21,碳中和行业(电新+环保)周报：美国新能源车刺激政策有望出台 10月新增光伏装机环比增速转正,光大证券
207,2021-11-19,中国广核集团党委常委、副总经理李亦伦一行到访阳光电源,索比光伏网
208,2021-11-19,飞荣达：公司光伏逆变器行业重要客户阳光电源、古瑞瓦特、固德威等，公司与上述客户已建立良好稳定的合作关系,每日经济新闻
209,2021-11-19,氢能产业将获顶层设计支持！产业前景巨大 三类股值得密切跟踪（附股）,银河证券
210,2021-11-19,深挖新能源赛道，海上风电抢占投资新风口,Wind
211,2021-11-19,新能源板块获机构持续加仓,Wind
212,2021-11-18,北向资金今日净卖出44.53亿元，传统核心资产集体遭抛售,Wind
213,2021-11-18,电力设备新能源行业周报：恩捷宁德强强联合 当升合作芬兰矿业 央行推出绿色金融工具,新浪
214,2021-11-18,资金流向分析,新浪
215,2021-11-17,鹏辉能源今日强势涨停 四机构合计买入2.16亿元,第一财经
