,2021-12-31,电子行业研报：车规半导体空间足，国产替代提速【华西电子团队】,每经网
0,2021-12-31,银河证券：电子行业盈利端有望维持快速增长,Wind
1,2021-12-31,银河证券：电子行业盈利端有望维持快速增长,证券时报网
2,2021-12-31,半导体103家上市企业研发费达365亿 国产化进程加快40家研发人员占比超50%,长江商报
3,2021-12-28,韦尔股份现1笔大宗交易 共成交310.00万元,新浪
4,2021-12-28,韦尔股份今日大宗交易成交1万股，成交价310.0元溢价0.0%,Wind
5,2021-12-28,没走出持续亏损泥淖，又丢失大客户，唯捷创芯怎么了？ 亏损,时代周报
6,2021-12-27,"韦尔股份现1笔大宗交易 共成交3,769.92万元",新浪
7,2021-12-27,2021年最后一周解禁市值超千亿元,Wind
8,2021-12-26,韦尔股份：手机CIS欲与索尼等争锋，业绩增量看车载CIS,每日经济新闻
9,2021-12-25,北向资金五个交易日出逃近78亿元，甩卖酿酒股近46亿元，扫货这些龙头股（名单）,21世纪经济报道
10,2021-12-23,韦尔股份：公司产品广泛应用在手机、安防、智能家居、可穿戴设备、汽车、医疗、AR/VR等领域,每日经济新闻
11,2021-12-23,韦尔股份：公司的汽车领域CIS具备较为显著的技术优势,Wind
12,2021-12-23,韦尔股份：公司会根据市场需求提供满足工业视觉领域的产品,Wind
13,2021-12-23,每日理财观察：《数字交通“十四五”发展规划》发布,Wind
14,2021-12-22,A股收盘综述：苹果、网游、中药板块涨势强劲，立讯精密、歌尔、韦尔集体上冲,Wind
15,2021-12-22,A股午盘综述：苹果板块火了，立讯精密歌尔股份大涨！网游、文化传媒同步走升,Wind
16,2021-12-22,芯片板块强势拉涨，韦尔股份、闻泰科技、兆易创新齐升,Wind
17,2021-12-21,希荻微产品关键业务指标信披矛盾 同总经理兼职企业现经营混淆异象,中证报
18,2021-12-21,北向资金交投意愿转淡连续3日净卖出，白酒、新能源均遭出货,Wind
19,2021-12-21,拟出售紫光部分资产抵债前，健坤集团所持股权已遭法院冻结,国际电子商情
20,2021-12-21,韦尔股份再登“中国IC风云榜” 斩获企业、技术两项大奖,TechWeb
21,2021-12-20,“越跌越买”！机构建议扫入这些半导体概念、最高可涨69%,第一财经
22,2021-12-20,24股获券商买入评级，报喜鸟目标涨幅达59.83%,Wind
23,2021-12-18,富时中国指数成分股大调整，外资布局2022年,Wind
24,2021-12-17,韦尔股份跌4.2% 海通证券中银证券高点唱多,中国经济网
25,2021-12-17,韦尔股份(603501)重大事件快评：L3自动驾驶首获国际认证 车载CIS龙头迎新机,新浪
26,2021-12-17,赵伟国回应紫光重组国有资产流失，管理人回击称干扰重整,Wind
27,2021-12-16,浦银国际科技行业2022年展望：智能手机需求仍在复苏期，明年前低后高,Wind
28,2021-12-16,外资连续11天加仓，4000亿龙头被买爆！两大领域成扫货专区,Wind
29,2021-12-16,转债打新冲刺1100万户，银行券商转债受青睐,Wind
30,2021-12-15,"韦尔股份现1笔大宗交易 共成交2,333.10万元",新浪
31,2021-12-15,券商首次关注6股并给予买入评级（12月15日）,Wind
32,2021-12-15,15股获券商买入评级，比音勒芬目标涨幅达46.70%,Wind
33,2021-12-13,传统蓝筹“王者归来”，市场风格切换在即？,Wind
34,2021-12-13,投资A股新工具: 易方达A50（股份代号：3111）,易方达基金
35,2021-12-12,史上最贵新股：80后教授创业、浙大系基金一路加持,Wind
36,2021-12-10,Wind风控日报2021年12月10日星期五,Wind
37,2021-12-10,“聪明钱”大手笔抢筹，跨年行情渐入佳境,Wind
38,2021-12-10,历史次高！ 北向资金单日净买入216亿元，人民币升值或是主要推手,Wind
39,2021-12-09,【晚间公告抢先看】贵州茅台投资78.33亿元实施包装物流园项目一期工程；伊利股份定增 高毅资产获批近4亿元,金融界
40,2021-12-09,韦尔股份：媒体关于公司业绩的描述不代表公司业绩的实际情况,36氪
