,2021-12-30,物流概念股持续回调，三羊马、韵达股份、密尔克卫等跌幅扩大,Wind
0,2021-12-29,【行情】物流板块走弱，龙洲股份跌停，圆通速递、韵达股份、炬申股份跟跌,金十数据
1,2021-12-29,物流概念股走弱，龙洲股份跌停,Wind
2,2021-12-28,韵达股东及一致行动人减持股份，套现6亿元 减持股份,南都报
3,2021-12-28,A股早报2021年12月28日星期二,Wind
4,2021-12-28,快递行业迎变局，高质量发展成主线,Wind
5,2021-12-27,快递公司2022年春节不打烊事件点评：春节不打烊如期而至 涨价背后看好行业高质量发展,新浪
6,2021-12-27,透视大宗交易：12月27日共成交197笔，韵达股份成交3.99亿元,每经网
7,2021-12-27,"韵达股份现4笔大宗交易 共成交39,912.76万元",新浪
8,2021-12-27,韵达股份今日大宗交易成交2025万股，成交价19.71元折价9.17%,Wind
9,2021-12-27,韵达股份现近4亿元折价大宗交易，机构接盘,Wind
10,2021-12-27,16股遭重要股东减持 韵达股份减持金额最高 减持股份,第一财经
11,2021-12-27,A股快递公司旺季成绩单出炉,国际金融报
12,2021-12-24,韵达股份(002120.SZ)：控股股东的一致行动人已合计减持1.05%股份 减持股份,格隆汇
13,2021-12-24,韵达股份：上海罗颉思的一致行动人累计减持比例达1.05% 减持股份,Wind
14,2021-12-24,韵达股份：上海丰科以及桐庐韵科共减持约3058万股 减持股份,每日经济新闻
15,2021-12-24,韵达股份(002120.SZ)控股股东上海罗颉思及其一致行动人持股比例降至60.33%,智通财经
16,2021-12-24,韵达股份今日大宗交易成交2333.09万股，成交价19.5元折价7.98%,Wind
17,2021-12-24,"韵达股份现12笔大宗交易 共成交45,495.26万元",新浪
18,2021-12-24,"2021金融界领航中国""金智奖""上市公司价值评选揭晓 韵达股份、微盟集团、中国飞鹤等获数字化升级优秀实践奖",金融界
19,2021-12-23,韵达年末回应“极兔收购百世”：行业影响需持续观察,中新经纬
20,2021-12-23,韵达股份：公司判断快递行业再次陷入之前价格竞争的概率不大,Wind
21,2021-12-23,韵达股份：预计明年快递行业价格不太可能大幅度下滑,e公司
22,2021-12-21,旺季提价如期传导，快递业即将进入盈利修复期,智通财经
23,2021-12-21,南财研选丨快递价格战缓和，双十一当月超100亿件，快递板块四季度盈利弹性确定性高,21世纪经济报道
24,2021-12-20,A股快递公司旺季成绩单出炉，行业“反内卷”成效如何？,国际金融报
25,2021-12-20,11月快递业数据点评：旺季涨价持续性好 看好快递盈利改善,新浪
26,2021-12-20,浙商证券维持韵达股份买入评级：11月旺季单价同比环比双升，日均单量突破6200万件,每日经济新闻
27,2021-12-20,浙商证券：给予韵达股份买入评级,证券之星
28,2021-12-20,快递单票收入继续回升 龙头估值有望持续修复,金融界
29,2021-12-20,快递｜ASP同比均转正，价格修复进入第二阶段,中信证券研究
30,2021-12-20,11月快递数据点评：旺季持续提价，需求放缓预期中，看好龙头业绩弹性【安信交运】,微信
31,2021-12-19,11月快递行业数据点评：快递旺季涨价兑现，行业“反内卷”可持续【国信交运中小盘】,微信
32,2021-12-19,快递公司靠双11成功回血，单量受电商成交额增速放缓影响,Wind
33,2021-12-18,韵达控股股份有限公司 2021年11月快递服务主要经营指标快报,证券日报
34,2021-12-17,韵达股份11月份快递服务业务收入同比增长20.7%,上证报
35,2021-12-17,申通、韵达、圆通公布 11 月快递业务收入,IT之家
36,2021-12-17,11月韵达领跑业务量 申通增速超圆通,北京商报
37,2021-12-17,韵达股份：11月快递服务业务收入同比增长20.7%,财联社
