,2021-12-31,无人机送餐，飞越几座大山？,36氪
0,2021-12-31,"券商12月金股组合""战绩""：川财证券9.26%夺冠 东吴最差",新浪
1,2021-12-31,"顺丰控股现4笔大宗交易 共成交10,200.16万元",新浪
2,2021-12-31,顺丰控股今日大宗交易成交148万股，成交价68.92元溢价0.0%,Wind
3,2021-12-31,二手电脑寄出后外壳损坏，顺丰承诺视情况赔付,澎湃新闻
4,2021-12-31,“壮士断腕”“开疆拓土”不断上演！“反内卷”“上市潮”进行时......物流行业还将续写哪些新故事？|盘点,国际金融报
5,2021-12-31,同城快递里的三重门,亿邦动力
6,2021-12-30,“价格战”拐点终现，快递行业混战升级,财联社
7,2021-12-30,2021 快递物流行业是怎么疯狂搞钱的？,亿邦动力
8,2021-12-29,成功登陆港交所，顺丰同城的“跑腿”生意好做吗？,深水财经社
9,2021-12-29,深圳466家上市公司扫描：多指标领先京沪,Wind
10,2021-12-29,2021年快递行业最具影响力的IPO事件,亿邦动力
11,2021-12-29,快递“春节不打烊”形式大于内容，还是真的有必要？,36氪
12,2021-12-29,正确应对顺丰丢件，保障用户权益,钢企网
13,2021-12-29,交通运输行业-2021年12月行业动态报告：疫情下跨境物流高景气预期不变 关注快递龙头业绩回升持续性,新浪
14,2021-12-29,中信证券：顺丰控股目前估值仍颇具吸引力 继续强烈推荐,财联社
15,2021-12-29,顺丰控股（002352）：产能周期拐点或至，展望电标盈利空间,中信证券研究
16,2021-12-28,2021年快递行业最具影响力10大事件,亿邦动力
17,2021-12-28,跨境电商2021年度十大事件大盘点！,亿邦动力
18,2021-12-28,薇娅偷逃税被罚13.41亿 小红书月活达2亿丨零售电商周报 税收处罚,亿邦动力
19,2021-12-28,聚焦6+1重点品类 医药冷链物流“十四五”加速度,医药经济报
20,2021-12-28,快递行业迎变局，高质量发展成主线,Wind
21,2021-12-27,【开源零售|周视角】薇娅事件有望推动直播电商行业规范发展，长期利好化妆品品牌,泽鹏商业观察
22,2021-12-27,顺丰控股现1笔大宗交易 共成交687.50万元,新浪
23,2021-12-27,顺丰今日头条盘点|2021-12-27,亿邦动力
24,2021-12-27,顺丰控股今日大宗交易成交10万股，成交价68.75元溢价0.0%,Wind
25,2021-12-27,通达系、顺丰、极兔：快递业重新排位,36氪
26,2021-12-27,顺丰公布超标车绿色回收解决方案,Bianews
27,2021-12-27,A股快递公司旺季成绩单出炉,国际金融报
28,2021-12-27,高盛预测中概股回归将持续活跃,Wind
29,2021-12-26,时空壶获融资；锦波生物拟IPO；腾讯音乐入局元宇宙,搜狐
30,2021-12-26,交运物流行业周报：集运需求持续旺盛 运价高位小幅上行,新浪
31,2021-12-25,北京甲级仓储供不应求，年内新增5宗物流用地,Wind
32,2021-12-24,顺丰控股今日大宗交易成交64.50万股，成交价68.85元溢价0.0%,Wind
33,2021-12-24,"顺丰控股现1笔大宗交易 共成交4,440.83万元",新浪
34,2021-12-24,2021金融界领航中国“金智奖”上市公司价值评选揭晓 顺丰控股、海尔智家等获杰出社会责任奖,金融界
35,2021-12-24,喜讯！顺丰快运入围2021全球独角兽榜,经济参考报
36,2021-12-24,北京经济“韧”从何来？,北京青年报
37,2021-12-23,海外版顺丰「Veho」获1.25亿美元A轮融资，估值10亿美元,投资界
38,2021-12-23,消息称星巴克在中国市场寻求新合作伙伴 或与美团、顺丰洽谈,格隆汇
39,2021-12-23,顺丰科技中物联双链峰会演讲：共建产业数智时代,中国经济网
40,2021-12-23,独家|星巴克将增新配送平台：正与顺丰、美团、山姆等洽谈,新浪
41,2021-12-23,顺丰旗下无人零售品牌“丰e足食”获新融资 规模化是行业发展的重点,极客网
42,2021-12-23,顺丰控股12月22日现3笔大宗交易,证券时报网
43,2021-12-22,湖南农业转型再添精彩篇章：西湖天鹅飞 生态养殖兴,电鳗快报
44,2021-12-22,无人零售又活了？多家重量级企业再度入局，业内却称：看似没有的门槛却很高！,创业资本汇
45,2021-12-22,顺丰同城，四面楚歌？,新浪
46,2021-12-22,顺丰控股今日大宗交易成交289.50万股，成交价66.75元溢价0.0%,Wind
47,2021-12-22,自动驾驶卡车公司千挂科技完成近2亿元两轮融资,Wind
48,2021-12-22,36氪独家｜自动驾驶卡车公司千挂科技完成近2亿元两轮融资，由顺丰控股、百度、小鹏汽车、IDG资本投资,36氪
49,2021-12-22,亏损上市、首日破发，顺丰同城能在即时配送领域超车吗？ 亏损,ZAKER
50,2021-12-22,快递员因两个差评被要求主动离职？顺丰回应,新浪
51,2021-12-22,顺丰控股(002352)：单票收入同比正增长 不断提升服务质量,新浪
52,2021-12-22,2022年物流“提质增效”再进阶,新浪
53,2021-12-21,旺季提价如期传导，快递业即将进入盈利修复期,智通财经
54,2021-12-21,快递暴力分拣：服务之困与行业混战,21世纪经济报道
55,2021-12-21,"龙洲股份上演""地天板"" 股价豪取7连板创4年新高",第一财经
56,2021-12-21,南财研选丨快递价格战缓和，双十一当月超100亿件，快递板块四季度盈利弹性确定性高,21世纪经济报道
57,2021-12-21,"东方快评丨""申通建议发顺丰"" 见证底线的倒退",东方网
58,2021-12-21,安信研究|晨会在线20211221,安信证券研究
59,2021-12-21,申通建议客户发顺丰！暴力分拣，还理直气壮 央视网评：听起来不入耳，反应的却是现实生态,央视
60,2021-12-20,A股快递公司旺季成绩单出炉，行业“反内卷”成效如何？,国际金融报
61,2021-12-20,11月快递业数据点评：旺季涨价持续性好 看好快递盈利改善,新浪
62,2021-12-20,送一单快递比申通多赚5倍！顺丰又买飞机了 今年已买7架,快科技
63,2021-12-20,员工暴力分拣还让客户发顺丰，申通快递：已开除言论不当人员,北京商报网
64,2021-12-20,快递公司11月经营数据点评：政策约束与旺季行情 带动行业景气度持续上行,广发证券
65,2021-12-20,招商交运物流行业周报：11月旺季快递单票价格回升 行业格局向好趋势不断强化,新浪
66,2021-12-20,湖南特产年货节在58小镇启幕 58同城公益助农践行社会责任,砍柴网
67,2021-12-20,四大快递公司披露11月经营数据：顺丰营收达258.56亿元,资本邦
68,2021-12-20,联商电商周报：雪梨账号被关停 顺丰同城在港上市,联商网
69,2021-12-20,马上评｜“申通建议发顺丰”，比暴力分拣更可怕的是比烂心态,澎湃新闻
70,2021-12-20,建议客户发顺丰的申通 送一单快递能赚多少钱？吃惊,快科技
71,2021-12-20,申通回应“抛扔快递网点建议发顺丰”：处罚涉事承包区,澎湃新闻
72,2021-12-20,荃豆健康携手顺丰医药战略合作签约仪式圆满成功！,凤凰网
73,2021-12-20,三羊马录得15连板，申通陷入舆论风波，快递行业也要“以下克上”？,证券之星
74,2021-12-20,百度投资千挂科技，后者股东含小鹏汽车及顺丰,Bianews
75,2021-12-20,一周未来商业|阿里投资者日详解三大战略，星巴克为食品安全道歉，Tims中国获上市前融资,每日经济新闻
76,2021-12-20,浪人早报 |申通建议客户发顺丰、扫码点餐强制关注公众号将被整治、茶颜悦色工资问题引发热议,新浪
77,2021-12-20,顺丰控股(002352.SZ)涨近4% 11月披露项目的合计收入同比增68.19%,格隆汇
78,2021-12-20,暴力扔快递被发现，申通竟建议客户发顺丰！股价从高点暴跌70%,新浪
79,2021-12-20,A股早报2021年12月20日星期一,Wind
80,2021-12-20,快递｜ASP同比均转正，价格修复进入第二阶段,中信证券研究
81,2021-12-20,国资委：稀土等专业化整合深入实施…重要消息还有这些,证券时报
82,2021-12-20,申通快递建议客户发顺丰，这是大实话,搜狐
83,2021-12-20,11月快递数据点评：旺季持续提价，需求放缓预期中，看好龙头业绩弹性【安信交运】,微信
84,2021-12-20,圆通速递点评：单价上涨可观，业绩改善强确定，长期价值正回归！【安信交运】,微信
85,2021-12-20,顺丰同城“招架”港交所,国际金融报
