,2021-12-31,2021年A股年终盘点：十大“水逆”板块在哪里？,Wind
0,2021-12-31,领益智造(002600.SZ)拟400万元参与合作投设领潮咨询,智通财经
1,2021-12-31,领益智造(002600.SZ)拟出资400万元参设领潮咨询 后者将发起设立盲池基金,格隆汇
2,2021-12-31,领益智造拟联合投资机构新设企业管理咨询公司，注册资本1000万元,乐居财经
3,2021-12-30,领益智造(002600.SZ)：拟与专业投资机构进行合作投资,格隆汇
4,2021-12-30,领益智造(002600.SZ)子公司东方亮彩拟出资5500万元参与股权投资合伙企业,智通财经
5,2021-12-30,宁南山：从苹果2021年公布的全球200大供应商看产业转移趋势,证券之星
6,2021-12-29,领益智造转让苏州领鼎100%股份，领益科技（深圳）接盘,乐居财经
7,2021-12-28,苹果公布全球200大供应商，有哪些新变化？,虎嗅网
8,2021-12-28,苹果供应链TOP200有喜有忧，“果链造富神话”要靠造车续写？,36氪
9,2021-12-27,领益智造(002600.SZ)：拟变更部分募投项目,格隆汇
10,2021-12-27,领益智造：拟变更部分募资 投资新建触控板、键盘模组项目,e公司
11,2021-12-27,领益智造：公司实际担保余额合计约81.98亿元 大额借贷担保,每日经济新闻
12,2021-12-27,领益智造：变更部分募集资金投资项目,Wind
13,2021-12-23,“新能源+元宇宙”双轮驱动 领益智造全面发力打造新增长极,发布易
14,2021-12-20,领益智造：子公司4500万元参设合伙企业 投资新能源材料公司,e公司
15,2021-12-20,领益智造(002600.SZ)：子公司拟出资4500万元参投宁波鹏欣实业投资合伙企业,格隆汇
16,2021-12-20,领益智造(002600.SZ)子公司拟4500万元共设合伙企业投资上海锦源晟新能源材料,智通财经
17,2021-12-17,A股早报2021年12月17日星期五,Wind
18,2021-12-17,领益智造股价年内跌幅近四成 为子公司担保余额近90亿背后 大额借贷担保,投资者网
19,2021-12-16,领益智造为东方亮彩提供不超1亿元担保 大额借贷担保,乐居财经
20,2021-12-16,领益智造：公司生产加工手机散热用的石墨烯材料,每日经济新闻
21,2021-12-16,领益智造：公司海外工厂已在正常生产运营中，目前疫情的影响整体可控,每日经济新闻
22,2021-12-16,领益智造：公司于今年6月收购浙江锦泰，横向扩展布局新能源汽车结构件业务,每日经济新闻
23,2021-12-16,领益智造：公司目前暂未涉及汽车EDR业务,Wind
24,2021-12-16,领益智造：公司桂林智能制造项目主要产品为结构件，目前该项目已正式开工投产,每日经济新闻
25,2021-12-16,领益智造：AR/VR是公司重点发展方向，目前已与头部客户展开合作,每日经济新闻
26,2021-12-09,领益智造海南全资子公司在海南合伙设立科技公司,证券导报
27,2021-12-08,机构资金最近入驻这些股,证券之星
28,2021-12-07,领益智造：公司桂林智能制造项目开工投产,中证网
29,2021-12-07,12月7日 6股盘前利好公告速递,中财网
30,2021-12-07,股海导航 12月7日沪深股市公告提示,新浪
31,2021-12-06,公告精选：牧原股份拟向金融机构申请授信额度不超700亿；*ST当代受赠南太武渔港35%股权,e公司
32,2021-12-06,领益智造：海南领益与上海子绪共同投资设立领卓科技(海南)有限公司,Wind
33,2021-12-06,领益智造最新公告：智能制造项目正式开工投产,证券之星
34,2021-12-06,领益智造(002600.SZ)：海南领益与上海子绪共同投资设立领卓科技(海南)有限公司,格隆汇
35,2021-12-06,领益智造(002600.SZ)子公司出资800万元与上海子绪共同投资设立领卓科技(海南)有限公司,智通财经
36,2021-12-06,领益智造董事长曾芳勤：在潜力大、要求高的市场努力贡献,证券日报网
37,2021-12-06,融资客青睐6股，泽达易盛买入占比高达35.77%,Wind
38,2021-12-03,A股资金流向：权重发力助推沪指，短线情绪退潮,Wind
39,2021-12-03,A股市场领涨全球，北上资金已开始“按捺不住”？,Wind
40,2021-12-03,领益智造荣获2021“金责奖”最佳责任进取奖,新浪
41,2021-12-03,龙虎榜：2.7亿抢筹领益智造 外资净买3股 机构净买13股,中财网
42,2021-12-03,A股融资融券日报：两融余额减少72.45亿元（12月2日）,Wind
43,2021-12-03,A股早报2021年12月3日星期五,Wind
44,2021-12-02,交易异动！领益智造：近3个交易日上涨18.47%，无未披露的重大信息,每日经济新闻
45,2021-12-02,19股特大单净流入资金超2亿元,证券时报网
46,2021-12-02,北向资金今日净买入30.21亿元，宁德时代连续6日净买入累计加仓超24亿,Wind
47,2021-12-02,大盘小幅回调 机构买多卖少,金融投资报
48,2021-12-02,领益智造龙虎榜数据（12月2日）,Wind
49,2021-12-02,A股资金流向：低位低价成短线核心，赛道股分歧加剧,Wind
50,2021-12-02,12月2日领益智造涨停分析：稀土磁材，笔记本电脑，新能源汽车概念热股,证券之星
51,2021-12-02,异动快报：领益智造（002600）12月2日13点0分封涨停板,中金在线
52,2021-12-02,领益智造涨9.25%，现报8.15元,乐居财经
53,2021-12-01,市值重返500亿，果链龙头强势涨停，行情反转？,凤凰网
54,2021-12-01,领益智造涨停，现报7.46元,乐居财经
55,2021-12-01,12月1日领益智造涨停分析：小米概念股，笔记本电脑，华为产业链概念热股,证券之星
56,2021-12-01,快讯：领益智造涨停 报于7.46元,金融界
57,2021-11-28,领益智造：公司今年6月收购浙江锦泰，横向扩展布局新能源汽车结构件业务,每日经济新闻
58,2021-11-28,领益智造：公司印度、越南的工厂已在正常生产运营中，目前海外疫情的影响整体可控,每日经济新闻
59,2021-11-28,领益智造：AR/VR方面，公司目前已与头部客户展开合作,每日经济新闻
60,2021-11-28,领益智造：公司磁性材料板块业务主要覆盖永磁铁氧体和软磁铁氧体等磁性材料，配套于世界著名电机生产厂家和电子器件生产商,每日经济新闻
61,2021-11-28,领益智造：能为客户提供AR/VR业务方向的全方位服务,第一财经
