,2021-12-31,中航光电、振华科技、高德红外……谁将能成长能力最强的军工电子企业？,Ofweek
0,2021-12-31,33股获券商买入评级，中新药业目标涨幅达68.41%,Wind
1,2021-12-30,22股获买入评级 最新:舍得酒业,中财网
2,2021-12-30,A股早报2021年12月30日星期四,Wind
3,2021-12-30,高德红外(002414)：中国红外龙头中标某完整装备系统核心配套产品,光大证券
4,2021-12-29,晚间重要公告2021年12月29日星期三,Wind
5,2021-12-29,高德红外(002414.SZ)：签订3782.52万元的某型号完整装备系统及型号配套产品合同,格隆汇
6,2021-12-29,高德红外：签订3782.52万元合同,财联社
7,2021-12-28,"高德红外现1笔大宗交易 共成交12,141.12万元",新浪
8,2021-12-28,高德红外今日大宗交易成交505.88万股，成交价24.0元溢价0.97%,Wind
9,2021-12-24,高德红外：聘任侯建军为公司常务副总经理,每日经济新闻
10,2021-12-24,大立科技：车载红外辅助驾驶产品已应用于国内车企相关型号产品,Wind
11,2021-12-24,高德红外：2020年公司综合毛利率为59.55%,每日经济新闻
12,2021-12-24,高德红外：目前非公开发行项目进展顺利，大部分设备已经调试完毕，将按照计划尽快实现投产,每日经济新闻
13,2021-12-17,高德红外：公司已与人工智能、物联网、智慧安防、智能家居等行业巨头企业展开了深层次的合作,每日经济新闻
14,2021-12-17,高德红外：公司已完成多款型号系统产品的JM出口立项审批，与具有相关出口权的公司形成了战略合作关系,每日经济新闻
15,2021-12-17,高德红外：根据J品定型批产特性，型号产品中标且批量供货后，后续订单不需要重新竞标,每日经济新闻
16,2021-12-17,是否考虑过将轩辕智驾合并入高德智感？高德红外：暂时没有相关安排,每日经济新闻
17,2021-12-17,高德红外：12月15日发布的批产合同是公司原有型号项目的大批量采购订单,每日经济新闻
18,2021-12-17,高德红外：公司芯片除自用外还对外销售,Wind
19,2021-12-17,高德红外：目前公司已在多个行业与具备领先技术实力的企业开展了合作,每日经济新闻
20,2021-12-17,高德红外：公司芯片除自用外还对外销售,每日经济新闻
21,2021-12-17,高德红外：“JM”是指相关型号产品及完整装备系统出口订单,每日经济新闻
22,2021-12-17,高德红外：目前非公开发行项目进展顺利，大部分设备已经调试完毕,每日经济新闻
23,2021-12-17,高德红外深度研究 | 中信建投军工,中信建投证券研究
24,2021-12-16,高德红外(002414)：公司签署大额合同 红外龙头军民共振,新浪
25,2021-12-15,一笔订单超上年营收四成，上市公司年底大单频现,上证报
26,2021-12-15,高德红外签订大额订单合同14.5亿元，军工行业高景气度延续,阿尔法工场
27,2021-12-15,A股早报2021年12月15日星期三,Wind
28,2021-12-14,【金财富早知道】2021-12-15,赢家之星
29,2021-12-14,高德红外近日签订14.51亿元订货合同,证券日报网
30,2021-12-14,【晚间公告抢先看】惠云钛业、中核钛白元旦起上调钛白粉销售价格；湖南天雁称短期内收入结构不会发生大变化,金融界
31,2021-12-14,高德红外签订14.5亿元军品大单,上证报
32,2021-12-14,晚间重要公告2021年12月14日星期二,Wind
33,2021-12-14,14.5亿，高德红外斩获神秘大单，能否扭转股价颓势？丨一则大料,第一财经
34,2021-12-14,高德红外：签订14.51亿元产品订货合同,e公司
35,2021-12-14,高德红外：签订14.5亿元某型号产品订货合同,财联社
36,2021-12-10,高德红外：公司已成为某车企全新电动乘用车前装红外项目独家供应商,每日经济新闻
37,2021-12-10,高德红外：构建起从底层红外核心器件，到综合光电系统，再到顶层完整装备系统总体的全产业链科研生产布局,每日经济新闻
38,2021-12-10,高德红外：在非公开发行募集资金到账前已通过自有资金投入建设,每日经济新闻
39,2021-12-10,高德红外：2021年疫情防控产品销售不多,每日经济新闻
40,2021-12-10,高德红外：EDR与公司业务没有相关性,每日经济新闻
41,2021-12-10,高德红外：已陆续顺利中标某些完整装备系统总体项目,每日经济新闻
42,2021-12-10,高德红外：全资子公司汉丹机电在非致命弹药和地爆装备领域精耕细作，积极开展各类型号科研项目，突破多项关键技术，参与多类型型号产品项目竞标，产品订单持续快速增,每日经济新闻
43,2021-12-10,高德红外：每年研发投入占公司营业收入的比例均较高，占比20%以上，部分年度占比超30%,每日经济新闻
44,2021-12-10,高德红外：拥有覆盖全防疫场景的完善产品体系,每日经济新闻
45,2021-12-10,高德红外：已成为部分型号产品项目唯一供应商,每日经济新闻
46,2021-12-10,高德红外：子公司轩辕智驾专攻智能安全驾驶领域，车载辅助驾驶系统可在油车及新能源汽车中应用,每日经济新闻
47,2021-12-10,高德红外：非公开发行募投项目将大幅提升红外核心器件的产能,每日经济新闻
48,2021-12-10,高德红外：目前非公开发行项目进展顺利，大部分设备已经调试完毕,每日经济新闻
49,2021-12-10,高德红外：公司自主研发的儿童遗忘检测系统利用超声波技术实现车内遗忘儿童检测和报警，已与国内汽车品牌达成合作并实现量产供货,每日经济新闻
50,2021-12-09,高德红外董事长黄立入选湖北省首批省特级专家名单 荣获“湖北省杰出人才奖”,证券日报网
51,2021-12-09,高德红外董事长黄立入选首批湖北省特级专家,e公司
52,2021-12-08,大基金二期频出手，这类芯片价格创六年新高，高增长概念股名单出炉,Wind
53,2021-12-07,国防军工ETF（512810）放量下跌3.45%，成交额创上市新高,Wind
54,2021-12-06,15股获券商买入评级，安恒信息目标涨幅达45.45%,Wind
55,2021-12-06,高德红外深度研究 | 中信建投军工,中信建投证券研究
56,2021-12-03,高德红外(002414)：中标型号产品彰显技术优势 红外龙头军民共振,新浪
57,2021-12-03,高德红外：公司拥有完整装备系统科研及生产资质,每日经济新闻
58,2021-12-03,高德红外：生产的多型综合光电系统可以作为机载设备安装相关产品上，比如机载光电吊舱等,每日经济新闻
59,2021-12-03,高德红外：公司根据交付计划合理制定了生产计划，按照生产进度提前备产,每日经济新闻
60,2021-12-03,中泰证券：维持高德红外(002414.SZ)“买入”评级 重点型号产品中标 红外制导导弹需求旺盛,智通财经
61,2021-12-03,15股获买入评级 最新:高德红外,中财网
62,2021-12-02,晚间重要公告2021年12月2日星期四,Wind
63,2021-12-02,高德红外(002414.SZ)：中标武汉高德红外股份有限公司某型号产品,格隆汇
64,2021-12-02,高德红外：中标某型号竞标项目,Wind
65,2021-12-01,高德红外：侯建军辞任公司副总经理等职 董监高成员变化,中证网
66,2021-12-01,高德红外(002414.SZ)副总经理侯建军辞职 董监高成员变化,智通财经
67,2021-12-01,高德红外：侯建军因个人原因辞去公司副总经理、公司子公司武汉高芯科技有限公司监事职务 董监高成员变化,Wind
68,2021-11-29,中信建投证券：2022看好军工全产业链,财经网
69,2021-11-25,融资客青睐4股，闰土股份买入占比高达42.47%,Wind
70,2021-11-24,2021Q3公募基金军工股持仓分析： 业绩兑现带动配置提升，景气如期增配空间显著,国防军工参考
71,2021-11-19,高德红外：公司拥有完全自主知识产权的非制冷、碲镉汞及Ⅱ类超晶格制冷型红外探测器芯片批产线,每日经济新闻
72,2021-11-19,高德红外：实现了制冷红外探测器全波段的百万像素规格布局,每日经济新闻
73,2021-11-18,鄂股聚焦丨军工民用并举 高德红外深耕全产业链,21世纪经济报道
74,2021-11-18,大公司创新情报（12月3日）：高德红外：收到《某型号竞标项目》中标通知函,亿欧网
75,2021-11-17,王缉慈：从创新集群视角谈谈武汉光电子信息产业,澎湃新闻
76,2021-11-12,高德红外：公司与高德导航无关联关系,每日经济新闻
77,2021-11-12,高德红外：非公开发行项目预计今年年底能够实现全面投产,每日经济新闻
78,2021-11-05,高德红外：为保证各类已签订订单的如期交付，公司根据客户订单合理制定了生产计划，按照生产进度提前备产,每日经济新闻
