,2021-12-31,2021年A股年终盘点：十大“水逆”板块在哪里？,Wind
0,2021-12-30,鹏鼎控股(002938.SZ)：收到全资子公司利润分配款5亿元,格隆汇
1,2021-12-30,鹏鼎控股(002938.SZ)收到全资子公司宏启胜精密电子5亿元利润分配款,智通财经
2,2021-12-29,调仓+减持，市场赚钱效应衰退,Wind
3,2021-12-28,年底大宗交易井喷，四大行业获机构扫货！,Wind
4,2021-12-28,12月股东减持超650亿，45家大额解禁来袭,Wind
5,2021-12-24,A股早报2021年12月24日星期五,Wind
6,2021-12-24,鹏鼎控股12月23日现31笔大宗交易,证券时报网
7,2021-12-23,A股共发生321宗大宗交易成交58.17亿元（12月23日）,Wind
8,2021-12-23,透视大宗交易：12月23日共成交321笔，鹏鼎控股成交11.2亿元,每经网
9,2021-12-23,"鹏鼎控股现31笔大宗交易 共成交112,033.78万元",新浪
10,2021-12-23,每经17点丨网信办开展打击流量造假、黑公关、网络水军专项行动；恒指收涨0.4%，京东跌超7%；鹏鼎控股现11.2亿元折价大宗交易,每日经济新闻
11,2021-12-23,鹏鼎控股今日大宗交易成交2800.84万股，成交价40.0元折价8.26%,Wind
12,2021-12-23,鹏鼎控股今日出现11.2亿元折价大宗交易，中金财富北京建国门外大街卖出、机构接盘,Wind
13,2021-12-23,鹏鼎控股出现11.2亿元折价大宗交易，机构买入,Wind
14,2021-12-22,"鹏鼎控股现1笔大宗交易 共成交4,120.00万元",新浪
15,2021-12-16,鹏鼎控股、生益科技、深南电路……谁是盈利能力最强的印制电路板企业？,Ofweek
16,2021-12-10,鹏鼎控股健友股份跌超3% 兴全大佬谢治宇是否倒仓？,中国经济网
17,2021-12-10,A股早报2021年12月10日星期五,Wind
18,2021-12-09,龙虎榜机构新动向：净买入13股 净卖出5股,证券时报网
19,2021-12-09,乾照光电涨超15%，1.33亿资金抢筹！机构、北向在这2股出现分歧,21经济网
20,2021-12-09,涨停板解密：资金青睐，汽车产业链机遇凸显！（12月9日）,Wind
21,2021-12-09,大盘放量走高 机构买多卖少,金融投资报
22,2021-12-09,鹏鼎控股龙虎榜数据（12月9日）,Wind
23,2021-12-09,鹏鼎控股涨停，四机构合计买入1.55亿元,Wind
24,2021-12-09,鹏鼎控股今日涨停 四机构合计买入1.55亿元,第一财经
25,2021-12-09,鹏鼎控股今日涨停，龙虎榜数据显示，深股通买入8308万元并卖出1.48亿元,新浪
26,2021-12-09,龙虎榜|鹏鼎控股涨停 四机构合计买入1.55亿元,财联社
27,2021-12-09,12月9日鹏鼎控股涨停分析：MiniLED，PCB板，深圳本地股概念热股,证券之星
28,2021-12-09,快讯：鹏鼎控股涨停 报于42.52元,金融界
29,2021-12-08,PCB行业深度：通讯／消费电子／汽车齐发力 FPC替代传统线束前景可期,新浪
30,2021-12-08,淮安经济技术开发区以招商引资助推高质量发展,中投网
31,2021-12-07,鹏鼎控股11月份营收同比下滑9.81% “电子产品之母”行情又遇冷？ 盈利能力下降,证券日报网
32,2021-12-07,干货！2022年中国印制电路板行业龙头企业分析——鹏鼎控股：营收规模持续增长,证券之星
33,2021-12-06,鹏鼎控股：11月合并营业收入同比减少9.81% 盈利能力下降,Wind
34,2021-12-06,中国银河维持电子行业推荐评级：《电子烟管理办法（征求意见稿）》出台，行业有望良性发展,每日经济新闻
35,2021-12-06,鹏鼎控股(002938.SZ)：11月合并营收42.22亿元 同比减少9.81% 盈利能力下降,格隆汇
36,2021-12-06,组团调研年底频现，这些公司受青睐,Wind
37,2021-12-01,隆基降价影响3万亿板块、神秘资金尾盘抢筹股曝光,Wind
38,2021-11-30,鹏鼎控股：公司淮安超薄线路板产能规划为9.3万平方米/月 目前订单饱满,财联社
39,2021-11-30,鹏鼎控股：目前不涉及IC载板业务,每日经济新闻
40,2021-11-29,银河电子周观点：国内10月手机出货量大幅增长 看好射频前端国产替代机遇,新浪
41,2021-11-28,电子行业周报：估值开始切换 乐观反映明年苹果、MINILED、半导体设备,新浪
42,2021-11-26,弘信电子：公司在国内的友商包括鹏鼎控股、东山精密、景旺电子等，公司系本土专业FPC制造领军企业,每日经济新闻
43,2021-11-24,鹏鼎控股回应“2021Q3利润增幅大幅超过营收增幅”原因,每日经济新闻
44,2021-11-23,晚间重要公告2021年11月23日星期二,Wind
45,2021-11-23,鹏鼎控股：控股股东的一致人拟减持不超1%股份 拟减持股份,e公司
46,2021-11-23,鹏鼎控股(002938.SZ)：集辉国际拟减持不超2321.4758万股 拟减持股份,格隆汇
47,2021-11-23,注意！鹏鼎控股：股东集辉国际计划减持不超过2321万股公司股份 拟减持股份,每日经济新闻
48,2021-11-23,鹏鼎控股(002938.SZ)股东集辉国际拟减持不超2321.48万股 拟减持股份,智通财经
49,2021-11-23,鹏鼎控股：控股股东一致人集辉国际有限公司拟减持不超1%公司股份 拟减持股份,财联社
50,2021-11-23,鹏鼎控股：集辉国际拟减持不超过1%公司股份 拟减持股份,Wind
51,2021-11-22,深度！2021年中国印制电路板行业竞争格局及市场份额分析 中低端领域竞争较为激烈,前瞻研究院
52,2021-11-22,电子行业周报：折叠屏关注度继续升温 德仪宣布大额扩产计划,新浪
53,2021-11-19,鹏鼎控股：公司税收政策目前没有变化,每日经济新闻
54,2021-11-19,消费电子概念走势活跃 共达电声、歌尔股份等拉升走高,证券时报网
55,2021-11-18,干货！2021年中国印制电路板行业龙头企业市场竞争格局分析 鹏鼎控股为“PCB之王”,前瞻研究院
56,2021-11-17,2021年中国印制电路板行业产业链现状及市场竞争格局分析 投资重心将在产能建设上,前瞻研究院
57,2021-11-17,高端印制电路板供需缺口扩大 行业迎持续复苏,证券时报
58,2021-11-16,行业深度！一文带你了解2021年中国印制电路板行业市场规模、竞争格局及发展前景,前瞻研究院
59,2021-11-16,缺货严重，龙头公司股价两年飙涨12倍！,Wind
60,2021-11-15,电子行业周报：杂音干扰的旺季VS乐观看待的明年,新浪
61,2021-11-14,鹏鼎控股(002938)公司信息更新报告：2021Q3迎来消费电子旺季 硬板能力持续强化,新浪
62,2021-11-10,消费电子概念再度活跃，昀冢科技大涨超12%，东尼电子等涨停,证券时报网
63,2021-11-10,电子行业2021年三季报回顾：板块分化 回调为主,新浪
64,2021-11-09,A股早报2021年11月9日星期二,Wind
65,2021-11-08,电子元件行业周报：PCB短期景气复苏 长期优选成长,新浪
66,2021-11-08,A股共发生196宗大宗交易成交33.79亿元（11月8日）,Wind
67,2021-11-08,鹏鼎控股现5笔大宗交易 总成交金额1.40亿元,证券时报网
68,2021-11-08,强势股追踪 主力资金连续5日净流入59股,证券时报网
69,2021-11-08,鹏鼎控股今日大宗交易成交366.10万股，成交价38.21元折价4.71%,Wind
70,2021-11-08,"鹏鼎控股现5笔大宗交易 共成交13,988.76万元",新浪
