,2021-12-31,龙佰集团：公司投资建设的磷酸铁锂项目所需的锂原料目前来源于外购,每日经济新闻
0,2021-12-31,龙佰集团：20万吨磷酸铁、20万吨磷酸铁锂和10万吨石墨负极项目一期正在进行试车前的准备工作,每日经济新闻
1,2021-12-30,“大化工”变革产业格局,胶粘剂网
2,2021-12-29,龙佰集团实控人许刚质押0.4%股份及解质1.28%股份,乐居财经
3,2021-12-29,龙佰集团(002601)：公司股东股份解除质押及质押,资本邦
4,2021-12-29,龙佰集团：许刚累计质押股数约为3.19亿股,每日经济新闻
5,2021-12-29,龙佰集团(002601.SZ)：董事长许刚质押950万股及解质3050万股,格隆汇
6,2021-12-29,科技+成长：大数据寻找2021年“预增王”,Wind
7,2021-12-28,云铝股份募资30亿降负债牛散2.65亿捧场 受益铝价上涨前三季盈利32亿增逾四倍,长江商报
8,2021-12-27,龙佰集团(002601.SZ)控股股东许刚质押3720万股,智通财经
9,2021-12-27,龙佰集团：许刚累计质押股数约为3.4亿股,每日经济新闻
10,2021-12-27,钛白粉迎来“十连涨”企业纷纷发函宣布涨价,中国经营报
11,2021-12-27,云铝股份“豪华定增团”现神秘自然人,Wind
12,2021-12-27,神秘自然人砸2.65亿元，一口气买3000万股，疑似百亿级河南富豪！知名基金、券商、外资巨头组团捧场,中证报
13,2021-12-26,龙佰集团：副产氢气暂未对外销售,中证网
14,2021-12-26,龙佰集团：公司副产氢气暂未对外销售，下步将用于公司新能源电池材料产业链等领域,每日经济新闻
15,2021-12-26,龙佰集团：公司投资建设的20万吨磷酸铁、20万吨磷酸铁锂和10万吨石墨负极项目一期项目预计年底建成试,每日经济新闻
16,2021-12-26,龙佰集团：公司目前暂未对钠离子电池材料进行研究,每日经济新闻
17,2021-12-25,103家公司预告2021年业绩，逾八成报喜,Wind
18,2021-12-24,市场“高低位”切换，如何寻找稳健板块,Wind
19,2021-12-23,鲁北化工：公司目前未有氯化法钛白粉扩产计划,Wind
20,2021-12-23,年报预告抢先看！超八成公司预喜，最高增幅超10倍,证券之星
21,2021-12-22,最高增幅超10倍！近百家A股公司披露全年业绩预告,Wind
22,2021-12-22,最高增幅超10倍！近百家A股公司披露全年业绩预告,中证报
23,2021-12-22,机构高关注的低位绩优股名单来了,第一财经
24,2021-12-22,低位股悄悄崛起，机构高关注的低位绩优股名单来了,Wind
25,2021-12-22,"最会炒股的上市公司出手，携近18亿资金相中了它。16连板牛股今日停牌, 低位股悄悄崛起，机构高关注的低位绩优股名单来了",微信
26,2021-12-20,化工周报：原油价格继续下挫；周期龙头、折叠屏材料相关标的表现活跃,新浪
27,2021-12-19,龙佰集团：公司已公告规划建设年产3万吨高端钛合金新材料项目,每日经济新闻
28,2021-12-19,龙佰集团：今年钛白粉销售价格上涨既有需求拉动因素也有成本推动因素，加之全球市场新增产能有限,每日经济新闻
29,2021-12-19,龙佰集团：公司暂未涉及磷酸锰铁锂产品,每日经济新闻
30,2021-12-19,龙佰集团：公司多年深耕钛白粉行业，已获得世界第三、亚洲第一的行业地位,每日经济新闻
31,2021-12-17,68家A股公司剧透年度业绩，三大行业高景气度跃然纸上,Wind
32,2021-12-16,钛白粉概念股或迎价值重估,金融投资报
33,2021-12-16,国际巨头提价，国内企业跟进上调明年钛白粉价格,Wind
34,2021-12-16,钛白粉价格明年继续涨 或成化工市场最大赢家？,证券日报
35,2021-12-15,钛白粉龙头企业宣涨明年价格 成本支撑减弱“涨声”能否持续,e公司
36,2021-12-15,A股早报2021年12月15日星期三,Wind
37,2021-12-15,“强心针”来了！钛白粉龙头官宣明年涨价，部分企业紧随其后， “涨声”能否持续？专家这么说,e公司
38,2021-12-15,多家钛白粉公司宣布涨价,Wind
39,2021-12-14,行业动态丨年底钛白粉企业扎堆发布涨价函 业内人士：执行有难度,财联社
40,2021-12-14,行业巨头纷纷提价 钛白粉迎来2022年第一波涨价潮,证券日报网
41,2021-12-14,钛白粉迎新一轮涨价潮！三企业：对业绩有积极影响,中新经纬
42,2021-12-14,钛白粉再涨价！切入新能源赛道，产业链获价值重估,Wind
43,2021-12-14,钛白粉迎来新一轮涨价潮 多家上市公司上调产品价格,第一财经
44,2021-12-14,能源化工行业周观点：政策发力稳增长 碳排放双控催生长期机遇,新浪
45,2021-12-14,宁德时代10亿成立新能源材料公司,Ofweek
46,2021-12-14,【机会挖掘】行业龙头上调钛白粉价格 机构：产业链切入新能源产业迎来价值重估,证券时报网
47,2021-12-14,A股早报2021年12月14日星期二,Wind
48,2021-12-14,【中证盘前】中国内地首次发现奥密克戎；多家公司宣布临时停产；龙佰集团明年起上调钛白粉销售价格；美股三大指数集体收跌,中证报
49,2021-12-14,早知道：中国内地首次检出奥密克戎变异株；龙佰集团明年起上调钛白粉售价,e公司
50,2021-12-14,上市公司正负面新闻2021年12月14日星期二,Wind
51,2021-12-13,实控人许刚所持龙佰集团1.47%股份解除质押,乐居财经
52,2021-12-13,晚间公告热点追踪：龙佰集团明年起上调钛白粉销售价格,新浪
53,2021-12-13,晚间重要公告2021年12月13日星期一,Wind
54,2021-12-13,钛白粉再涨价！龙佰集团明年起上调各型号钛白粉1000元人民币/吨,第一财经
55,2021-12-13,龙佰集团(002601.SZ)拟上调各型号钛白粉的销售价格,智通财经
56,2021-12-13,龙佰集团(002601.SZ)总裁许刚解除质押3500万股,智通财经
57,2021-12-13,龙佰集团(002601.SZ)：1月1日起上调各型号钛白粉售价,格隆汇
58,2021-12-13,龙佰集团：自2022年1月1日起 上调各型号钛白粉1000元人民币/吨,新浪
59,2021-12-13,龙佰集团：明年起上调钛白粉销售价格,e公司
60,2021-12-13,龙佰集团：许刚累计质押股数约为3.03亿股,每日经济新闻
61,2021-12-13,龙佰集团：上调各型号钛白粉销售价格,Wind
62,2021-12-13,磷酸铁锂成车企新宠，涨价、扩产潮来临,Wind
63,2021-12-13,11公司年净利润　预计翻倍,财富动力网
64,2021-12-12,龙佰集团：随着环保及能耗双控政策的实施，公司作为领先的钛白粉生产商之一，预期将进一步提高市场份额,每日经济新闻
65,2021-12-12,【安信化工】科学考核能耗双控，看好化工龙头,安信化工研究
66,2021-12-12,龙佰集团：公司2022年度向银行申请的授信额度总计为人民币560亿元,每日经济新闻
67,2021-12-12,龙佰集团：公司现每年副产超1亿方氢气,每日经济新闻
68,2021-12-12,龙佰集团：公司副产氢气可循环用于现有生产线及锂电材料生产线,每日经济新闻
69,2021-12-12,龙佰集团：公司目前钛白粉产能101万吨,每日经济新闻
70,2021-12-12,龙佰集团：公司参股投资的重庆国创轻合金研究院有限公司暂未开展研究铝电池技术,每日经济新闻
71,2021-12-12,龙佰集团：钛白粉产能规模位居全球第三及亚洲第一,每日经济新闻
72,2021-12-12,龙佰集团：公司投资建设的20万吨磷酸铁、20万吨磷酸铁锂和10万吨石墨负极项目一期预计年底建成试车,每日经济新闻
73,2021-12-12,龙佰集团：目前暂无投资硅碳负极材料规划,每日经济新闻
74,2021-12-12,龙佰集团：公司目前有硫钴精矿外售,每日经济新闻
75,2021-12-12,九连板后两连跌停，3.34万股东惊呆，这家上市公司被证监会立案！年报预增个股名单出炉，11股业绩翻倍,新浪
76,2021-12-10,持续加码新能源锂电材料 龙佰集团向一子公司增资7000万元,证券日报网
77,2021-12-10,龙佰集团与比克电池合作，共促锂电产业高质量发展,Ofweek
78,2021-12-10,A股早报2021年12月10日星期五,Wind
79,2021-12-10,35股获券商买入评级，恒为科技目标涨幅达96.28%,Wind
80,2021-12-09,盘后公告集锦|2500亿消费大白马百亿定增落地！高瓴、高毅等明星机构获配,财联社
81,2021-12-09,龙佰集团加码新能源锂电池 比克电池框定将最低采购2.3万吨锂电材料,e公司
82,2021-12-09,龙佰集团与比克电池签订战略协议 将在产业协同等领域深度捆绑发展,财联社
83,2021-12-09,龙佰集团(002601.SZ)与比克电池建立战略合作伙伴关系,智通财经
84,2021-12-09,龙佰集团：与比克电池签署《战略合作框架协议》,Wind
85,2021-12-09,龙佰集团(002601)：年内钛白粉行业高景气带动盈利增长 新能源业务布局进一步深化,西南证券
86,2021-12-09,光大证券：给予龙佰集团买入评级,证券之星
87,2021-12-08,龙佰集团(002601.SZ)：佰利联香港拟对山东龙佰钛业增资1.3亿元,格隆汇
88,2021-12-08,龙佰集团(002601.SZ)拟对子公司山东龙佰钛业增资1.3亿元,智通财经
89,2021-12-08,龙佰集团(002601)：钛白粉量价齐升 锂电材料不断加码,新浪
90,2021-12-08,龙佰集团(002601)：21年业绩符合预期 新能源持续布局,新浪
91,2021-12-08,龙佰集团：预计2021年全年盈利45.77亿至57.22亿元,资本邦
92,2021-12-08,国都证券研究所晨报,新浪
93,2021-12-08,龙佰集团今年业绩大幅预增，北向资金却连续5日减持 减持股份,第一财经
94,2021-12-08,龙佰集团发布全年业绩翻倍公告，北上资金连续5日减持 减持股份,阿尔法工场
95,2021-12-07,晚间要闻2021年12月7日星期二,Wind
96,2021-12-07,龙佰集团预计全年净利超45亿元，当前股价对应估值仅11倍出头,21世纪经济报道
